Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Macaque gene stable ID	Macaque chromosome/scaffold name	Macaque chromosome/scaffold start (bp)	Macaque chromosome/scaffold end (bp)	Macaque homology type	%id. target Macaque gene identical to query gene	%id. query gene identical to target Macaque gene	Macaque Gene-order conservation score	Macaque Whole-genome alignment coverage	dN with Macaque	dS with Macaque	Macaque orthology confidence [0 low, 1 high]
ENSRNOG00000033391	13	52887649	52888215	ENSMMUG00000017419	1	165643426	165644046	ortholog_one2one	74.4681	67.9612	100	0.00	0.158	0.9738	1
ENSRNOG00000038902	2	88344527	88350784	ENSMMUG00000041825	1	142846187	142846486	ortholog_one2many	74.2268	72.7273	0		0.15	0.4071	0
ENSRNOG00000038902	2	88344527	88350784	ENSMMUG00000006381	8	83616567	83622348	ortholog_one2many	75.2577	73	100	22.19	0.1474	0.4024	1
ENSRNOG00000038902	2	88344527	88350784	ENSMMUG00000040353	13	48477491	48479207	ortholog_one2many	63.9175	60.1942	0		0.2986	0.5878	0
ENSRNOG00000033540	17	3280311	3285451												
ENSRNOG00000001452	12	24473981	24476295	ENSMMUG00000047984	3	41994072	41995847	ortholog_one2one	96.1149	96.2775	100	100.00	0.0165	1.3021	1
ENSRNOG00000017462	2	124149872	124341131	ENSMMUG00000007422	5	121916003	122175686	ortholog_one2one	78.6223	83.9037	75	50.06	0.0972	0.4863	1
ENSRNOG00000005491	7	60015998	60057152	ENSMMUG00000004786	11	68403836	68460404	ortholog_one2one	68.6012	81.8828	100	100.00	0.0959	0.6827	1
ENSRNOG00000019804	1	225120061	225126579	ENSMMUG00000031126	14	11690209	11730946	ortholog_one2one	87.7612	78.6096	100	100.00	0.0803	0.5798	1
ENSRNOG00000042286	13	109669680	109696918	ENSMMUG00000019287	1	153743378	153797583	ortholog_one2one	66.9039	66.9039	100	100.00	0.2118	0.6681	1
ENSRNOG00000003073	13	83531018	83571505	ENSMMUG00000010395	1	199552836	199607988	ortholog_one2one	92.4242	84.2832	100	97.97	0.0379	0.6228	1
ENSRNOG00000021693	16	50049828	50107856	ENSMMUG00000039058	5	186645926	186680046	ortholog_one2one	38.7342	63.4855	100	26.36	0.2439	0.8049	0
ENSRNOG00000005151	6	7900972	7933796	ENSMMUG00000008077	13	44496251	44531653	ortholog_one2one	89.4587	89.4587	100	100.00	0.0578	0.6872	1
ENSRNOG00000006703	4	77519028	77545589												
ENSRNOG00000018567	3	121725859	121739173	ENSMMUG00000004574	13	107633641	107651587	ortholog_one2one	90.6021	90.2047	100	99.99	0.0503	0.3831	1
ENSRNOG00000004356	13	85672014	85695421	ENSMMUG00000015518	1	202104357	202124077	ortholog_one2one	73.5669	67.5439	100	0.00	0.1657	0.6017	1
ENSRNOG00000025619	15	33759001	33766438	ENSMMUG00000004144	7	84910071	84922493	ortholog_one2one	87.5159	87.5159	75	100.00	0.0698	0.4769	1
ENSRNOG00000039601	16	15105839	15111585												
ENSRNOG00000003633	10	54246250	54253996	ENSMMUG00000041092	16	9935949	9949843	ortholog_one2one	88.1188	89	100	100.00	0.065	0.7087	1
ENSRNOG00000015444	1	168028367	168029293												
ENSRNOG00000018767	17	70586394	70603267	ENSMMUG00000015152	9	6017355	6047918	ortholog_one2one	98.5185	99.5012	100	96.38	0.0023	0.4795	1
ENSRNOG00000027506	17	65497359	65503912	ENSMMUG00000002105	1	214260156	214268291	ortholog_one2one	62.5688	63.3829	75	0.00	0.2483	0.7464	1
ENSRNOG00000019575	18	31094965	31098536	ENSMMUG00000012591	6	139413405	139415886	ortholog_one2one	61.2583	79.3991	100	100.00	0.126	0.3805	1
ENSRNOG00000030830	7	12192088	12198551	ENSMMUG00000043577	19	1363339	1377763	ortholog_one2one	67.9758	71.5421	100	100.00	0.1763	47.9567	1
ENSRNOG00000001959	11	37891156	37914983	ENSMMUG00000015329	3	5221826	5251031	ortholog_one2many	65.3374	64.4478	25	48.01	0.2412	1.1501	0
ENSRNOG00000000954	12	9693779	9727489												
ENSRNOG00000009450	8	63600663	63639654	ENSMMUG00000016564	7	50496391	50542684	ortholog_one2one	94.7208	78.5354	100	0.00	0.0186	0.602	1
ENSRNOG00000008345	5	164811816	164844586	ENSMMUG00000007829	1	11069936	11109777	ortholog_one2one	93.908	93.1585	100	100.00	0.0329	0.5626	1
ENSRNOG00000050876	3	75088126	75089064	ENSMMUG00000016148	14	17168164	17174912	ortholog_one2many	78.2051	78.2051	50	0.00	0.1241	0.7928	0
ENSRNOG00000012718	9	38396449	38451656	ENSMMUG00000018582	4	58086354	58182102	ortholog_one2one	78.4221	77.7568	100	99.44	0.1255	0.5314	1
ENSRNOG00000047085	18	28012877	28017925	ENSMMUG00000017990	6	136597956	136599878	ortholog_one2one	71.6505	96.5969	75	100.00	0.021	0.1756	1
ENSRNOG00000028248	11	36512974	36533073	ENSMMUG00000010407	3	7246397	7281054	ortholog_one2one	56.0531	50.4478	75	79.36	0.3623	1.4186	1
ENSRNOG00000057153	11	64882288	64919579	ENSMMUG00000000902	2	40762686	40796160	ortholog_one2one	75.6579	75.6579	100	100.00	0.1516	0.631	1
ENSRNOG00000001647	11	36075709	36092495	ENSMMUG00000009063	3	7870121	7886845	ortholog_one2one	91.4894	91.6844	100	0.00	0.0407	0.7042	1
ENSRNOG00000017330	1	190964507	190965115												
ENSRNOG00000017265	9	43358588	43454078	ENSMMUG00000011428	13	92883606	93139590	ortholog_one2one	89.1952	86.3855	50	76.13	0.0558	0.4938	1
ENSRNOG00000009675	6	135746754	135830086	ENSMMUG00000008380	7	165221504	165354257	ortholog_one2one	88.7916	89.8936	100	100.00	0.0521	0.7744	1
ENSRNOG00000015850	5	166278187	166282831	ENSMMUG00000002219	1	9202584	9216480	ortholog_one2one	80.597	74.4828	100	100.00	0.1107	0.8993	1
ENSRNOG00000028865	2	193132222	193136520												
ENSRNOG00000010008	16	716683	755990	ENSMMUG00000005514	9	54303124	54361797	ortholog_one2one	97.8417	97.8417	25	93.70	0.0103	0.576	1
ENSRNOG00000034107	7	118023628	118025287	ENSMMUG00000016084	8	144304780	144306801	ortholog_one2one	61.7117	59.8253	50	0.00	0.2924	0.7466	0
ENSRNOG00000024780	10	102199837	102210764	ENSMMUG00000001269	16	66769855	66785453	ortholog_one2one	50.2825	44.0594	100	100.00	0.4236	0.661	0
ENSRNOG00000013963	2	44289393	44314944	ENSMMUG00000001893	6	56860029	56895577	ortholog_one2one	77.6344	76.6454	75	89.79	0.1304	0.7658	1
ENSRNOG00000010807	7	74723179	74735650	ENSMMUG00000041382	10	13920138	13920362	ortholog_one2many	56.5789	65.1515	0		0.238	0.5226	0
ENSRNOG00000028869	8	32431580	32431987												
ENSRNOG00000016631	19	56054212	56067581	ENSMMUG00000002506	20	74584903	74600170	ortholog_one2one	72.9064	82.3748	100	7.29	0.0949	0.7013	1
ENSRNOG00000008519	8	102088505	102159828	ENSMMUG00000017055	2	157782279	157807143	ortholog_one2one	29.0016	42.5581	100	100.00	0.0198	0.294	0
ENSRNOG00000024331	1	89060581	89068348	ENSMMUG00000006711	19	31591577	31604107	ortholog_one2one	91.7874	73.6434	75	100.00	0.0348	0.9963	1
ENSRNOG00000047768	8	117268337	117280517	ENSMMUG00000002952	2	93238746	93251031	ortholog_one2one	86.2299	86.7113	100	100.00	0.0754	0.5491	1
ENSRNOG00000015415	6	10533151	10568581	ENSMMUG00000005391	13	47277055	47315039	ortholog_one2one	99.5122	99.5122	100	100.00	0.0023	0.2758	1
ENSRNOG00000029613	15	27407962	27408258	ENSMMUG00000031987	X	64143477	64143791	ortholog_one2one	65.3061	68.8172	0		0.1701	0.3557	0
ENSRNOG00000037217	2	198831546	198834925	ENSMMUG00000016734	1	123501402	123505928	ortholog_one2one	72.8522	65.6347	100	100.00	0.1621	0.4221	1
ENSRNOG00000027232	18	30904498	30906924												
ENSRNOG00000038024	4	112357080	112357484	ENSMMUG00000046493	20	42938155	42943204	ortholog_one2many	73.1343	74.2424	0		0.1527	0.7619	0
ENSRNOG00000010804	7	140054592	140055527												
ENSRNOG00000024801	X	15453186	15461713	ENSMMUG00000004553	X	49138780	49149632	ortholog_one2one	95.6633	89.2857	75	100.00	0.0206	0.3747	1
ENSRNOG00000011492	16	21399553	21402858												
ENSRNOG00000026527	1	220874717	220878059	ENSMMUG00000019017	14	8584265	8608343	ortholog_one2one	88.3375	88.1188	75	100.00	0.0656	0.7616	1
ENSRNOG00000030736	2	198360301	198360678												
ENSRNOG00000028518	6	36876165	36876805	ENSMMUG00000008141	13	17768261	17768842	ortholog_one2one	80.2139	77.7202	100	100.00	0.1104	0.7549	1
ENSRNOG00000015105	5	78334284	78356460	ENSMMUG00000005851	15	26029476	26052959	ortholog_one2one	69.4196	76.9802	100	100.00	0.1244	0.6257	1
ENSRNOG00000019212	1	170588035	170594168	ENSMMUG00000007745	14	60161076	60166549	ortholog_one2one	66.0746	81.2227	100	100.00	0.1182	0.5583	1
ENSRNOG00000031555	X	24059516	24061857												
ENSRNOG00000020939	1	227136154	227149748	ENSMMUG00000011166	14	13552358	13567360	ortholog_one2one	64.9402	65.2	50	0.00	0.2558	0.606	0
ENSRNOG00000001430	12	23587222	23592774	ENSMMUG00000012019	3	127872308	127877756	ortholog_one2one	100	90	75	50.00	0	0	1
ENSRNOG00000002208	14	16622760	16903242	ENSMMUG00000020919	5	57771208	57841260	ortholog_one2one	66.6331	67.7584	100	92.25	0.201	0.7421	1
ENSRNOG00000000693	12	48292273	48351084	ENSMMUG00000015108	11	108826737	108925979	ortholog_one2one	96.5328	96.5328	100	76.17	0.0166	0.619	1
ENSRNOG00000060066	KL567939.1	74712	78732												
ENSRNOG00000054513	14	86652365	86661441	ENSMMUG00000002652	3	64019322	64030693	ortholog_one2many	88.8043	92.0045	75	1.97	0.0407	0.4446	1
ENSRNOG00000020182	1	198420806	198450047	ENSMMUG00000016422	20	28212841	28246156	ortholog_one2one	89.8967	87.682	100	100.00	0.0496	0.7155	1
ENSRNOG00000049674	19	28263095	28266488												
ENSRNOG00000011762	15	61826711	61868343	ENSMMUG00000007880	17	20225421	20300341	ortholog_one2one	87.3171	86.7528	50	100.00	0.0683	0.4754	1
ENSRNOG00000028130	4	71588974	71589933	ENSMMUG00000005967	3	169816077	169817048	ortholog_one2one	63.9498	63.1579	100	0.00	0.2312	0.671	1
ENSRNOG00000045816	10	42614713	42760200	ENSMMUG00000009287	6	151525357	151900998	ortholog_one2one	93.7425	85.0437	75	72.04	0.0427	0.5976	1
ENSRNOG00000050468	1	175586209	175586802												
ENSRNOG00000021657	10	46142801	46145548	ENSMMUG00000013344	16	17335751	17339516	ortholog_one2one	82.8829	76.0331	75	100.00	0.0931	1.1149	1
ENSRNOG00000039543	15	27973491	27975471												
ENSRNOG00000057043	11	43486904	43487827	ENSMMUG00000037913	2	19099854	19100786	ortholog_many2many	70.684	70	50		0.1875	0.957	0
ENSRNOG00000057043	11	43486904	43487827	ENSMMUG00000041766	2	19146040	19148296	ortholog_many2many	70.0326	69.5793	50		0.1912	0.864	0
ENSRNOG00000024707	5	171355876	171415354	ENSMMUG00000016569	1	2605285	2697709	ortholog_one2one	77.924	90.8007	100	97.30	0.0463	1.0277	1
ENSRNOG00000011634	15	46784963	47173335	ENSMMUG00000011343	8	8539571	8882976	ortholog_one2one	94.1824	93.7402	100	50.00	0.0257	0.266	1
ENSRNOG00000011222	12	47074200	47076572	ENSMMUG00000001194	11	120728636	120731060	ortholog_one2one	100	100	100	100.00	0	0	1
ENSRNOG00000028919	16	21518873	21524286												
ENSRNOG00000050105	1	81643816	81650094												
ENSRNOG00000027343	6	2886764	2895118	ENSMMUG00000030864	13	39240304	39241587	ortholog_one2one	53.8079	76.1124	100	100.00	0.1495	0.5953	1
ENSRNOG00000057389	9	100076958	100078788	ENSMMUG00000037810	12	123295129	123299100	ortholog_one2one	76.6871	71.0227	100	50.00	0.1171	1.5717	1
ENSRNOG00000032009	2	178117466	178231479	ENSMMUG00000003488	5	158838568	158932098	ortholog_one2one	17.5258	46.7033	50	70.31	0.5361	1.5151	0
ENSRNOG00000052383	KL568472.1	9356	10892												
ENSRNOG00000026941	4	83967696	83972540	ENSMMUG00000020183	3	79199080	79201515	ortholog_one2one	87.9162	87.9162	100	100.00	0.0565	1.0184	1
ENSRNOG00000010846	X	15742978	15754925	ENSMMUG00000008623	X	49467617	49484005	ortholog_one2one	88.6762	88.6762	100	100.00	0.061	0.548	1
ENSRNOG00000046516	8	20993743	20994660												
ENSRNOG00000026503	1	164849974	164914499	ENSMMUG00000021039	14	66975094	67078086	ortholog_one2one	74.7141	73.5	100	100.00	0.1634	0.5272	1
ENSRNOG00000057338	5	137873745	137874692												
ENSRNOG00000006139	14	77402953	77492910	ENSMMUG00000020204	5	4673234	4804093	ortholog_one2many	92.515	92.2388	50	100.00	0.0393	0.5766	1
ENSRNOG00000006139	14	77402953	77492910	ENSMMUG00000047610	16	24130876	24132759	ortholog_one2many	67.3653	74.7508	0		0.0984	0.5808	0
ENSRNOG00000039305	X	17250687	17252877												
ENSRNOG00000045945	9	8898896	8899144	ENSMMUG00000046349	9	45639958	45640209	ortholog_many2many	54.2169	66.1765	0		0.2693	0.174	0
ENSRNOG00000045945	9	8898896	8899144	ENSMMUG00000040497	12	9471605	9471856	ortholog_many2many	67.4699	67.4699	0		0.2353	0.088	0
ENSRNOG00000045945	9	8898896	8899144	ENSMMUG00000046304	13	15712812	15713063	ortholog_many2many	67.4699	67.4699	0		0.2343	0.0537	0
ENSRNOG00000045945	9	8898896	8899144	ENSMMUG00000003699	9	38788746	38788997	ortholog_many2many	68.6747	68.6747	0	0.00	0.2285	0.0533	0
ENSRNOG00000045945	9	8898896	8899144	ENSMMUG00000038213	4	25117537	25117788	ortholog_many2many	67.4699	67.4699	0		0.2345	0.0711	0
ENSRNOG00000024499	17	25228437	25439938												
ENSRNOG00000050553	6	42585934	42630983	ENSMMUG00000010320	13	10721761	10791513	ortholog_one2one	91.2281	83.2952	100	99.47	0.0535	0.6294	1
ENSRNOG00000004505	7	11152038	11177664	ENSMMUG00000003439	19	3326987	3478823	ortholog_one2one	93.3941	80.7087	100	83.05	0.0259	0.9457	1
ENSRNOG00000056144	1	150209396	150210403												
ENSRNOG00000019019	15	34251606	34253073	ENSMMUG00000014390	7	85543066	85545523	ortholog_one2one	94.5205	96.5035	100	100.00	0.0175	0.596	1
ENSRNOG00000013579	5	59911431	59913348	ENSMMUG00000045704	6	125155800	125157275	ortholog_one2many	66.0907	73.031	0		0.1318	0.3455	0
ENSRNOG00000013579	5	59911431	59913348	ENSMMUG00000003032	12	21720594	21721977	ortholog_one2many	82.0734	86.758	0		0.0679	0.3052	0
ENSRNOG00000006353	3	81276028	81282157	ENSMMUG00000002611	14	20125529	20131861	ortholog_one2one	83.913	80.3051	100	41.34	0.0853	0.6405	1
ENSRNOG00000050514	2	210115784	210116038	ENSMMUG00000029877	6	106764458	106764712	ortholog_many2many	72.619	72.619	0		0.1744	0.6528	0
ENSRNOG00000050514	2	210115784	210116038	ENSMMUG00000042172	19	49439053	49442984	ortholog_many2many	63.0952	72.6027	0		0.1749	0.9441	0
ENSRNOG00000050514	2	210115784	210116038	ENSMMUG00000028890	19	9824618	9824872	ortholog_many2many	75	75	0		0.1526	0.8184	0
ENSRNOG00000013855	5	145105997	145123861	ENSMMUG00000016479	1	34238464	34279327	ortholog_one2one	63.7186	55.5166	50	100.00	0.2328	0.6737	1
ENSRNOG00000046227	5	171456302	171459488	ENSMMUG00000003785	1	2576815	2581106	ortholog_one2one	91.3534	89.3382	100	50.00	0.0432	0.7689	1
ENSRNOG00000018047	8	128610291	128622337	ENSMMUG00000020144	2	103565179	103576447	ortholog_one2one	78.8889	80.6818	100	100.00	0.1071	0.4922	1
ENSRNOG00000054828	3	19772056	19772382												
ENSRNOG00000060665	14	79919717	79988110	ENSMMUG00000043581	5	8018118	8165522	ortholog_one2one	88.3064	88.7838	100	65.31	0.0506	1.082	1
ENSRNOG00000014230	3	113251778	113272186	ENSMMUG00000007255	7	19926149	19947121	ortholog_one2one	77.6709	80.4467	100	100.00	0.1102	0.4892	1
ENSRNOG00000032132	X	37026408	37026872	ENSMMUG00000004807	17	65240447	65241380	ortholog_one2one	77.9221	77.9221	0		0.1229	0.7096	0
ENSRNOG00000001592	11	27130172	27141881	ENSMMUG00000003023	3	17806368	17824176	ortholog_one2one	93.0657	96.4083	100	99.84	0.0176	0.5418	1
ENSRNOG00000025938	20	50486809	50564987	ENSMMUG00000014470	4	105181317	105295368	ortholog_one2one	77.8598	85.0806	75	100.00	0.0809	0.5077	1
ENSRNOG00000001928	11	77463954	77593207	ENSMMUG00000022562	2	197239164	197384974	ortholog_one2one	89.0511	88.7918	100	94.00	0.0616	0.6131	1
ENSRNOG00000046260	10	109911922	109913879												
ENSRNOG00000008680	8	63067300	63092009	ENSMMUG00000003638	7	49930126	49945226	ortholog_one2one	54.9342	78.9598	100		0.1402	1.2567	1
ENSRNOG00000031899	1	72183354	72184265												
ENSRNOG00000033372	11	84615760	84633504	ENSMMUG00000008067	2	109366943	109414241	ortholog_one2one	22.2037	99.2537	50		0.0034	0.3584	0
ENSRNOG00000049797	9	101307764	101319845	ENSMMUG00000008592	12	124716972	124725264	ortholog_one2many	62.3693	62.1528	25	49.72	0.2699	0.8745	0
ENSRNOG00000049482	15	30018481	30019055	ENSMMUG00000045206	7	83389322	83390985	ortholog_one2many	60.6897	68.75	25		0.227	0.5797	0
ENSRNOG00000007359	3	48626038	48661317	ENSMMUG00000019590	12	49052201	49096606	ortholog_one2one	78.6364	79.3578	100	100.00	0.118	0.5951	1
ENSRNOG00000048837	9	105246120	105282292												
ENSRNOG00000032558	10	78416946	78417317	ENSMMUG00000011229	11	75391261	75391614	ortholog_one2many	72.3577	76.0684	0	0.00	0.1648	1.0939	0
ENSRNOG00000004588	7	129749714	129787093	ENSMMUG00000018833	10	91917360	91920875	ortholog_one2one	82.6644	82.6644	100	100.00	0.0944	0.8978	1
ENSRNOG00000050654	3	74411668	74412633												
ENSRNOG00000048275	1	213577122	213580542	ENSMMUG00000029058	20	74932818	74936277	ortholog_one2one	78.0142	78.0142	0	0.00	0.1295	1.1064	0
ENSRNOG00000022890	5	122766879	122828398	ENSMMUG00000000647	1	66847392	66910452	ortholog_one2one	39.6825	37.155	50	97.03	0.5052	0.7622	0
ENSRNOG00000029479	10	76280933	76281283												
ENSRNOG00000029773	8	58015940	58120045	ENSMMUG00000004153	14	101149302	101283107	ortholog_one2one	83.812	84.0314	100	100.00	0.0906	0.5439	1
ENSRNOG00000004649	3	121876263	121882726	ENSMMUG00000042751	13	107818918	107828254	ortholog_one2one	66.4179	66.4179	50	50.00	0.2431	0.6508	0
ENSRNOG00000052232	2	210988869	210991509	ENSMMUG00000005816	1	110506487	110514667	ortholog_one2one	89.083	88.3117	100	100.00	0.0556	0.3005	1
ENSRNOG00000050521	9	14513037	14514416	ENSMMUG00000021169	4	41992326	41995381	ortholog_one2one	69.7531	66.4706	100	100.00	0.2053	0.7408	1
ENSRNOG00000037124	3	118268739	118427851	ENSMMUG00000009840	7	25639731	25919296	ortholog_one2one	52.8796	60	100	0.00	0.2677	0.7353	1
ENSRNOG00000045918	17	20184245	20364714	ENSMMUG00000015362	4	15533691	15815163	ortholog_one2one	92.7066	91.8138	50	95.26	0.0345	0.3866	1
ENSRNOG00000014834	17	57304933	57394985	ENSMMUG00000012451	9	32465160	32579144	ortholog_one2one	93.9633	85.6459	0	73.53	0.0308	0.4078	0
ENSRNOG00000003357	9	52023295	52059217	ENSMMUG00000021286	12	76381451	76418766	ortholog_one2one	72.864	86.3158	50	100.00	0.0937	0.4923	1
ENSRNOG00000020460	1	220744195	220746224	ENSMMUG00000038819	7	131096002	131096266	ortholog_one2many	82.0225	89.0244	0		0.0501	0.3271	0
ENSRNOG00000020460	1	220744195	220746224	ENSMMUG00000043780	JSUE03156941.1	455	719	ortholog_one2many	82.0225	89.0244	0		0.0501	0.3271	0
ENSRNOG00000046741	6	30098380	30187337	ENSMMUG00000009408	13	24425862	24549681	ortholog_one2one	91.7832	93.0301	50	100.00	0.031	0.4262	1
ENSRNOG00000013225	9	23503236	23527496												
ENSRNOG00000032310	1	129227595	129228068	ENSMMUG00000029997	4	7495054	7495574	ortholog_one2one	59.8684	59.0909	0		0.2899	0.3819	0
ENSRNOG00000019592	9	97183214	97290639	ENSMMUG00000017404	12	119026478	119194268	ortholog_one2one	69.0141	70.7581	100	100.00	0.2083	1.1185	1
ENSRNOG00000011745	1	183733567	183744586	ENSMMUG00000016446	14	51823281	51921074	ortholog_one2one	97.3384	93.7729	75	99.71	0.0143	0.4594	1
ENSRNOG00000001271	2	54810110	54824033	ENSMMUG00000023808	6	41401536	41416000	ortholog_one2one	53.6412	58.2449	100	94.62	0.2944	0.6284	1
ENSRNOG00000020821	1	88750462	88765220												
ENSRNOG00000021274	3	125566643	125607735	ENSMMUG00000013749	10	38933876	38989321	ortholog_one2one	55.5391	89.5238	100	100.00	0.0526	0.4994	1
ENSRNOG00000014187	1	128924966	129206516	ENSMMUG00000012305	7	77525445	77594375	ortholog_one2many	79.1514	91.8506	25	99.99	0.0508	0.7179	1
ENSRNOG00000014187	1	128924966	129206516	ENSMMUG00000046172	7	77277138	77424279	ortholog_one2many	15.4353	94.1964	50	97.66	0.0313	0.4463	0
ENSRNOG00000016100	7	144503534	144503839	ENSMMUG00000011853	6	74352298	74435742	ortholog_one2many	90.1961	70.229	0	0.00	0.0543	0.8939	0
ENSRNOG00000003210	10	45939178	45940137												
ENSRNOG00000004438	7	133400485	133586677	ENSMMUG00000021163	11	38640032	38881092	ortholog_one2one	93.4378	87.7645	100	98.74	0.0352	0.7344	1
ENSRNOG00000000963	12	32808022	33016885	ENSMMUG00000000031	11	128474710	128913454	ortholog_one2one	71.3619	76.8072	50	96.40	0.1231	1.19	1
ENSRNOG00000042229	4	78371121	78375223	ENSMMUG00000040065	3	176685565	176686443	ortholog_one2one	58.7248	60.9756	25	50.00	0.2449	3.2365	0
ENSRNOG00000009431	15	85930044	86105273	ENSMMUG00000021197	17	56515110	56726701	ortholog_one2one	89.3812	90.1387	75	100.00	0.0537	0.6072	1
ENSRNOG00000057118	8	43566788	43567726												
ENSRNOG00000014743	10	14216155	14230515	ENSMMUG00000000737	20	1801043	1819802	ortholog_one2one	83.4951	72.4719	100	50.00	0.0835	0.8872	1
ENSRNOG00000010821	7	120282822	120295618	ENSMMUG00000015254	10	79834203	79852015	ortholog_one2one	78.0645	85.5124	75	100.00	0.0295	0.8474	1
ENSRNOG00000015304	1	78417719	78420427												
ENSRNOG00000015359	3	154996750	155041816	ENSMMUG00000002745	10	25412734	25440064	ortholog_one2one	68.3036	75.1227	100	100.00	0.1495	0.6348	1
ENSRNOG00000013906	3	119994537	120003090	ENSMMUG00000012863	13	91824949	91837929	ortholog_one2one	83.2709	83.8994	100	30.26	0.0964	0.6106	1
ENSRNOG00000054681	17	89772928	89780691												
ENSRNOG00000022669	1	82964683	82987253	ENSMMUG00000021062	19	38643324	38658661	ortholog_one2many	26.2836	44.7917	0	0.00	0.5376	1.3526	0
ENSRNOG00000010492	10	84890932	84920886	ENSMMUG00000004765	16	41981108	41997615	ortholog_one2one	91.0131	82.7637	75	100.00	0.0562	0.4754	1
ENSRNOG00000048917	4	82173293	82263302												
ENSRNOG00000008518	4	169020683	169036950	ENSMMUG00000017637	11	13758637	13777308	ortholog_one2one	63.6126	71.4706	50	100.00	0.1739	0.5574	1
ENSRNOG00000001964	11	53514595	53575175	ENSMMUG00000008791	2	29124725	29169514	ortholog_one2many	65.1811	72.4458	75	51.76	0.201	0.7002	1
