Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gorilla gene stable ID	Gorilla chromosome/scaffold name	Gorilla chromosome/scaffold start (bp)	Gorilla chromosome/scaffold end (bp)	Gorilla homology type	%id. target Gorilla gene identical to query gene	%id. query gene identical to target Gorilla gene	Gorilla Gene-order conservation score	Gorilla Whole-genome alignment coverage	dN with Gorilla	dS with Gorilla	Gorilla orthology confidence [0 low, 1 high]
ENSRNOG00000018762	1	47426258	47477524	ENSGGOG00000003870	6	161812999	161835937	ortholog_one2one	64.6067	61.6071	100	100.00	0.2559	0.6983	1
ENSRNOG00000000415	20	34894419	34909265	ENSGGOG00000010053	6	121161534	121176718	ortholog_one2one	98.0392	98.0392	100	100.00	0.0089	0.3705	1
ENSRNOG00000013102	3	2617805	2623445	ENSGGOG00000011714	9	120501668	120507076	ortholog_one2one	73.945	81.4141	100	0.00	0.1051	0.7058	1
ENSRNOG00000058883	9	90787787	90806126	ENSGGOG00000001015	2B	117621411	117644825	ortholog_one2many	63.8158	63.956	0	0.00	0.2293	0.6636	0
ENSRNOG00000040242	1	5448958	5571512	ENSGGOG00000041932	6	148402190	148507235	ortholog_one2one	76.1329	91.6364	100	49.60	0.0397	0.6387	1
ENSRNOG00000007027	4	15433295	15505362	ENSGGOG00000003432	7	96569894	96641976	ortholog_one2one	88.0495	87.4488	100	100.00	0.0661	0.5551	1
ENSRNOG00000014268	3	2648885	2668809	ENSGGOG00000011658	9	120457905	120480454	ortholog_one2one	91.742	90.8093	100	89.49	0.0394	1.0737	1
ENSRNOG00000003508	10	16821880	16910641	ENSGGOG00000008455	5	156964187	157082303	ortholog_one2one	90.0958	97.2414	100	76.52	0.0147	0.8346	1
ENSRNOG00000014185	16	24949425	24951612	ENSGGOG00000011873	4	176180829	176183505	ortholog_one2one	80.8612	81.12	100	0.00	0.1083	0.7869	1
ENSRNOG00000050854	11	82862695	82876051	ENSGGOG00000038977	3	187465910	187466578	ortholog_one2many	8.93054	92.0455	25		0.0519	0.67	0
ENSRNOG00000033391	13	52887649	52888215												
ENSRNOG00000038902	2	88344527	88350784	ENSGGOG00000027464	8	29989098	29995043	ortholog_one2one	78.3505	76	100	0.00	0.1271	0.4044	1
ENSRNOG00000033540	17	3280311	3285451												
ENSRNOG00000001452	12	24473981	24476295	ENSGGOG00000016553	7	72027755	72029530	ortholog_one2one	95.6081	95.7699	100	100.00	0.0181	1.3225	1
ENSRNOG00000017462	2	124149872	124341131	ENSGGOG00000000590	4	134890718	135291472	ortholog_one2one	84.6793	79.8432	100	51.85	0.0916	0.4752	1
ENSRNOG00000005491	7	60015998	60057152	ENSGGOG00000009266	12	68764973	68824014	ortholog_one2one	84.375	84.8802	100	52.40	0.0807	0.5214	1
ENSRNOG00000019804	1	225120061	225126579												
ENSRNOG00000042286	13	109669680	109696918	ENSGGOG00000003473	1	192531641	192595950	ortholog_one2one	67.9715	67.9715	100	100.00	0.2079	0.6576	1
ENSRNOG00000003073	13	83531018	83571505	ENSGGOG00000012683	1	147103608	147155950	ortholog_one2one	92.803	89.2532	100	97.97	0.0358	0.5938	1
ENSRNOG00000021693	16	50049828	50107856	ENSGGOG00000011490	4	198987330	199040904	ortholog_one2one	55.9494	60.631	100	0.00	0.2788	0.8058	1
ENSRNOG00000005151	6	7900972	7933796	ENSGGOG00000023339	2A	63391837	63428126	ortholog_one2one	88.8889	88.8889	100	100.00	0.0587	0.7157	1
ENSRNOG00000006703	4	77519028	77545589	ENSGGOG00000005812	7	148740489	148775943	ortholog_one2one	90.3577	87.3684	100	0.00	0.052	0.521	1
ENSRNOG00000018567	3	121725859	121739173	ENSGGOG00000004942	2B	1127329	1142073	ortholog_one2one	67.4009	90.7115	100	85.37	0.0497	0.464	1
ENSRNOG00000004356	13	85672014	85695421	ENSGGOG00000007321	1	144514890	144534847	ortholog_one2one	75.4777	75.7188	100	98.53	0.1536	0.5688	1
ENSRNOG00000025619	15	33759001	33766438	ENSGGOG00000014786	14	21808193	21816752	ortholog_one2one	87.2611	87.2611	100	100.00	0.0721	0.5067	1
ENSRNOG00000039601	16	15105839	15111585												
ENSRNOG00000003633	10	54246250	54253996	ENSGGOG00000008541	17	9941663	9952001	ortholog_one2one	87.1287	88	100	100.00	0.0625	0.7481	1
ENSRNOG00000015444	1	168028367	168029293	ENSGGOG00000013989	11	4576888	4577859	ortholog_one2one	80.8442	77.0898	75	0.00	0.1149	0.5046	1
ENSRNOG00000018767	17	70586394	70603267	ENSGGOG00000044184	CABD030158288.1	223	3168	ortholog_one2one	29.8765	97.5806	0		0.0078	0.44	0
ENSRNOG00000027506	17	65497359	65503912	ENSGGOG00000011614	1	217665501	217674057	ortholog_one2one	62.0183	62.8253	75	0.00	0.2607	0.7174	1
ENSRNOG00000019575	18	31094965	31098536	ENSGGOG00000016383	5	125188873	125196664	ortholog_one2one	83.1126	80.9677	100	100.00	0.101	0.3947	1
ENSRNOG00000030830	7	12192088	12198551	ENSGGOG00000001083	19	1352218	1364267	ortholog_one2one	61.4804	80.754	100	50.00	0.0726	1.6262	1
ENSRNOG00000001959	11	37891156	37914983	ENSGGOG00000001560	21	32677942	32705029	ortholog_one2many	65.9509	64.9547	25	50.00	0.2345	1.0798	0
ENSRNOG00000000954	12	9693779	9727489												
ENSRNOG00000009450	8	63600663	63639654	ENSGGOG00000008824	15	52042130	52087795	ortholog_one2one	95.736	78.3874	100	0.00	0.0202	0.6496	1
ENSRNOG00000008345	5	164811816	164844586	ENSGGOG00000012934	1	11547220	11584031	ortholog_one2one	96.5517	96.6628	100	100.00	0.0153	0.5553	1
ENSRNOG00000050876	3	75088126	75089064												
ENSRNOG00000012718	9	38396449	38451656	ENSGGOG00000036272	6	58056079	58135984	ortholog_one2one	77.8517	77.1913	100	91.28	0.1257	0.5357	1
ENSRNOG00000047085	18	28012877	28017925	ENSGGOG00000041000	5	122380104	122385718	ortholog_one2one	98.2524	98.062	100	100.00	0.0084	0.1473	1
ENSRNOG00000028248	11	36512974	36533073	ENSGGOG00000013149	21	30590915	30631069	ortholog_one2one	57.2139	51.4925	75	65.11	0.3457	1.3634	1
ENSRNOG00000057153	11	64882288	64919579	ENSGGOG00000003020	3	121312375	121349090	ortholog_one2one	80.0439	80.0439	100	100.00	0.1215	0.5365	1
ENSRNOG00000001647	11	36075709	36092495	ENSGGOG00000015464	21	29990226	30005112	ortholog_one2one	91.4894	91.6844	100	65.87	0.0408	0.695	1
ENSRNOG00000017330	1	190964507	190965115												
ENSRNOG00000017265	9	43358588	43454078	ENSGGOG00000001521	2A	2607831	2840270	ortholog_one2one	90.1874	86.8826	50	88.26	0.0522	0.4824	1
ENSRNOG00000009675	6	135746754	135830086	ENSGGOG00000004285	14	86970113	87056260	ortholog_one2one	89.1419	90.3016	100	100.00	0.0522	0.7592	1
ENSRNOG00000015850	5	166278187	166282831	ENSGGOG00000028335	1	9702871	9721686	ortholog_one2one	88.806	88.806	100	100.00	0.057	0.7462	1
ENSRNOG00000028865	2	193132222	193136520	ENSGGOG00000003499	1	131817767	131819506	ortholog_one2one	51.216	61.8307	100	100.00	0.2691	0.7447	1
ENSRNOG00000010008	16	716683	755990	ENSGGOG00000027729	10	31669908	31730645	ortholog_one2one	96.5468	96.7556	50	100.00	0.0168	0.5711	1
ENSRNOG00000034107	7	118023628	118025287	ENSGGOG00000016769	8	146749040	146752585	ortholog_one2one	60.8108	58.952	25	0.00	0.3085	0.668	0
ENSRNOG00000024780	10	102199837	102210764	ENSGGOG00000012758	5	9817676	9834388	ortholog_one2one	48.7759	42.5287	100	100.00	0.4336	0.7033	0
ENSRNOG00000013963	2	44289393	44314944	ENSGGOG00000003727	17	39962901	39999781	ortholog_one2one	25.5914	72.3404	75	69.66	0.1722	0.8386	0
ENSRNOG00000010807	7	74723179	74735650												
ENSRNOG00000028869	8	32431580	32431987												
ENSRNOG00000016631	19	56054212	56067581	ENSGGOG00000010960	16	81013960	81030406	ortholog_one2one	79.803	79.1531	100	93.54	0.1161	0.6938	1
ENSRNOG00000008519	8	102088505	102159828	ENSGGOG00000015140	3	146161390	146181604	ortholog_one2one	29.0016	42.5581	100	100.00	0.0201	0.3051	0
ENSRNOG00000024331	1	89060581	89068348	ENSGGOG00000004770	19	35162656	35181924	ortholog_one2one	77.2947	58.6081	100	100.00	0.1685	1.283	1
ENSRNOG00000047768	8	117268337	117280517	ENSGGOG00000014907	3	50096235	50107856	ortholog_one2one	87.8401	87.9866	100	100.00	0.0683	0.523	1
ENSRNOG00000015415	6	10533151	10568581	ENSGGOG00000023494	2A	60593586	60631485	ortholog_one2one	81.4634	83.5	100	100.00	0.1129	0.4932	1
ENSRNOG00000029613	15	27407962	27408258	ENSGGOG00000024523	14	60283562	60283876	ortholog_one2one	75.5102	71.1538	0		0.1352	0.4424	0
ENSRNOG00000037217	2	198831546	198834925	ENSGGOG00000007275	1	125628320	125631678	ortholog_one2one	71.8213	63.7195	100	0.00	0.1688	0.4081	1
ENSRNOG00000027232	18	30904498	30906924												
ENSRNOG00000038024	4	112357080	112357484	ENSGGOG00000036488	16	49408044	49415092	ortholog_one2many	73.1343	75.3846	0		0.1324	0.6702	0
ENSRNOG00000010804	7	140054592	140055527												
ENSRNOG00000024801	X	15453186	15461713	ENSGGOG00000011437	X	49530901	49540220	ortholog_one2one	96.4286	89.7862	75	100.00	0.0179	0.3977	1
ENSRNOG00000011492	16	21399553	21402858												
ENSRNOG00000026527	1	220874717	220878059	ENSGGOG00000010801	11	65045972	65065634	ortholog_one2one	85.6079	85.1852	100	95.04	0.073	0.7962	1
ENSRNOG00000030736	2	198360301	198360678												
ENSRNOG00000028518	6	36876165	36876805	ENSGGOG00000012168	2A	89632787	89633368	ortholog_one2one	80.2139	77.7202	100	100.00	0.1057	0.8032	1
ENSRNOG00000015105	5	78334284	78356460	ENSGGOG00000006968	9	95906033	95926941	ortholog_one2one	68.75	76.6169	100	100.00	0.1306	0.6291	1
ENSRNOG00000019212	1	170588035	170594168	ENSGGOG00000000398	11	6334609	6341285	ortholog_one2one	87.9218	87.9218	100	100.00	0.0674	0.4388	1
ENSRNOG00000031555	X	24059516	24061857												
ENSRNOG00000020939	1	227136154	227149748	ENSGGOG00000000229	11	59833366	59849208	ortholog_one2one	65.3386	65.6	50	0.00	0.2503	0.6272	0
ENSRNOG00000001430	12	23587222	23592774	ENSGGOG00000004519	7	75575829	75579370	ortholog_one2one	81.1966	76	50		0.0314	1.3342	0
ENSRNOG00000002208	14	16622760	16903242	ENSGGOG00000004907	4	87365241	87722143	ortholog_one2one	69.8037	69.489	100	29.60	0.1789	0.7036	1
ENSRNOG00000000693	12	48292273	48351084	ENSGGOG00000014918	12	108849324	108906060	ortholog_one2one	60.0365	95.3623	100	93.82	0.0236	0.6198	1
ENSRNOG00000060066	KL567939.1	74712	78732	ENSGGOG00000002218	7	27200170	27202478	ortholog_one2many	96.5665	96.5665	100		0.0141	0.3083	1
ENSRNOG00000054513	14	86652365	86661441	ENSGGOG00000003051	7	45376185	45389888	ortholog_one2many	91.6304	91.6304	50	62.41	0.0422	0.4523	0
ENSRNOG00000020182	1	198420806	198450047	ENSGGOG00000015603	16	29964833	29994907	ortholog_one2one	89.8967	87.682	100	100.00	0.0492	0.687	1
ENSRNOG00000049674	19	28263095	28266488												
ENSRNOG00000011762	15	61826711	61868343	ENSGGOG00000010760	13	22723711	22777159	ortholog_one2one	87.3171	86.7528	50	100.00	0.0678	0.4613	1
ENSRNOG00000028130	4	71588974	71589933	ENSGGOG00000016558	7	142938129	142939100	ortholog_one2one	64.2633	63.4675	100	100.00	0.2254	0.6913	1
ENSRNOG00000045816	10	42614713	42760200	ENSGGOG00000014845	5	137243992	137567078	ortholog_one2one	93.7425	85.0437	100	78.59	0.0429	0.572	1
ENSRNOG00000050468	1	175586209	175586802												
ENSRNOG00000021657	10	46142801	46145548	ENSGGOG00000025206	5	61527873	61531294	ortholog_one2one	73.8739	74.8858	75	100.00	0.0776	1.3361	1
ENSRNOG00000039543	15	27973491	27975471												
ENSRNOG00000057043	11	43486904	43487827	ENSGGOG00000036263	3	99492463	99493440	ortholog_many2many	69.0554	65.2308	50		0.2079	0.8756	0
ENSRNOG00000057043	11	43486904	43487827	ENSGGOG00000039890	3	99537956	99538720	ortholog_many2many	60.2606	72.8346	50		0.1643	0.7675	0
ENSRNOG00000057043	11	43486904	43487827	ENSGGOG00000012895	3	99348314	99349255	ortholog_many2many	71.3355	69.968	50		0.1826	0.8392	0
ENSRNOG00000057043	11	43486904	43487827	ENSGGOG00000044109	3	99465376	99466353	ortholog_many2many	70.3583	66.4615	50		0.1935	0.784	0
ENSRNOG00000057043	11	43486904	43487827	ENSGGOG00000009200	3	99511040	99511984	ortholog_many2many	71.6612	70.0637	50		0.1726	0.9046	0
ENSRNOG00000057043	11	43486904	43487827	ENSGGOG00000008551	3	99384545	99385578	ortholog_many2many	68.0782	67.4194	50		0.2031	0.8017	0
ENSRNOG00000024707	5	171355876	171415354	ENSGGOG00000015559	1	3363738	3446062	ortholog_one2one	83.3333	89.6226	100	97.87	0.0526	0.9924	1
ENSRNOG00000011634	15	46784963	47173335	ENSGGOG00000009379	8	10058355	10389496	ortholog_one2one	67.1384	94.8889	100	0.00	0.0232	0.2751	1
ENSRNOG00000011222	12	47074200	47076572	ENSGGOG00000022114	12	120541359	120570593	ortholog_one2one	100	100	100	100.00	0	0	1
ENSRNOG00000028919	16	21518873	21524286												
ENSRNOG00000050105	1	81643816	81650094												
ENSRNOG00000027343	6	2886764	2895118	ENSGGOG00000022727	2A	68500092	68501402	ortholog_one2one	50.1656	74.6305	100	100.00	0.1556	0.6311	1
ENSRNOG00000057389	9	100076958	100078788	ENSGGOG00000040849	2B	133927184	133927973	ortholog_one2one	60.7362	56.25	100		0.1636	1.2669	1
ENSRNOG00000032009	2	178117466	178231479	ENSGGOG00000000301	4	171466646	171613282	ortholog_one2one	6.18557	27.7778	75	45.70	0.8484	51.704	0
ENSRNOG00000052383	KL568472.1	9356	10892												
ENSRNOG00000026941	4	83967696	83972540	ENSGGOG00000026471	7	29047355	29049790	ortholog_one2one	88.2861	88.2861	100	100.00	0.0548	0.9352	1
ENSRNOG00000010846	X	15742978	15754925	ENSGGOG00000000912	X	49824608	49839702	ortholog_one2one	88.3573	88.3573	100	100.00	0.0625	0.5544	1
ENSRNOG00000046516	8	20993743	20994660												
ENSRNOG00000026503	1	164849974	164914499	ENSGGOG00000014505	11	73952001	74061777	ortholog_one2one	72.2999	71.8434	100	100.00	0.1756	0.5374	1
ENSRNOG00000057338	5	137873745	137874692												
ENSRNOG00000006139	14	77402953	77492910	ENSGGOG00000028443	5	53416094	53417174	ortholog_one2many	79.3413	84.6645	0	0.00	0.0829	0.6094	0
ENSRNOG00000006139	14	77402953	77492910	ENSGGOG00000011121	4	4534558	4660009	ortholog_one2many	90.4192	89.881	75	100.00	0.0574	0.6405	1
ENSRNOG00000039305	X	17250687	17252877												
ENSRNOG00000045945	9	8898896	8899144	ENSGGOG00000024950	9	116852328	116853041	ortholog_one2many	68.6747	60	0		0.2323	0.1338	0
ENSRNOG00000024499	17	25228437	25439938												
ENSRNOG00000050553	6	42585934	42630983	ENSGGOG00000002273	2A	96703931	96768344	ortholog_one2one	90.9774	83.0664	100	99.47	0.0549	0.598	1
ENSRNOG00000004505	7	11152038	11177664	ENSGGOG00000006557	19	3075122	3221056	ortholog_one2one	92.2551	75	100	87.07	0.0351	0.9715	1
ENSRNOG00000056144	1	150209396	150210403	ENSGGOG00000010021	1	227790548	227791492	ortholog_one2many	64.4776	68.7898	25	0.00	0.2122	0.8358	0
ENSRNOG00000019019	15	34251606	34253073	ENSGGOG00000040509	14	21249877	21251478	ortholog_one2one	95.5479	95.5479	50		0.0222	0.6243	0
ENSRNOG00000013579	5	59911431	59913348	ENSGGOG00000037201	2B	28118227	28121619	ortholog_one2one	79.2657	88.0096	0		0.0641	0.3488	0
ENSRNOG00000006353	3	81276028	81282157	ENSGGOG00000002302	11	46190154	46196231	ortholog_one2one	84.4928	80.8599	100	100.00	0.0813	0.634	1
ENSRNOG00000050514	2	210115784	210116038												
ENSRNOG00000013855	5	145105997	145123861	ENSGGOG00000028505	1	35391231	35414157	ortholog_one2one	63.4171	55.1573	100	98.56	0.2364	0.6945	1
ENSRNOG00000046227	5	171456302	171459488	ENSGGOG00000015547	1	3337035	3341774	ortholog_one2one	27.0677	93.5065	100	0.00	0.0431	0.6338	0
ENSRNOG00000018047	8	128610291	128622337	ENSGGOG00000024764	3	39866607	39878326	ortholog_one2one	79.3333	81.1364	100	100.00	0.108	0.5553	1
ENSRNOG00000054828	3	19772056	19772382												
ENSRNOG00000060665	14	79919717	79988110	ENSGGOG00000015836	4	7947423	8059393	ortholog_one2one	89.9194	82.1867	100	0.00	0.0531	0.9626	1
ENSRNOG00000014230	3	113251778	113272186	ENSGGOG00000004634	15	21673232	21693937	ortholog_one2one	81.1546	80.4341	100	100.00	0.1106	0.4804	1
ENSRNOG00000032132	X	37026408	37026872												
ENSRNOG00000001592	11	27130172	27141881	ENSGGOG00000039475	1	126428736	126430394	ortholog_one2many	80.8394	87.8968	0		0.0737	0.5835	0
ENSRNOG00000001592	11	27130172	27141881	ENSGGOG00000006344	21	20104606	20121390	ortholog_one2many	96.7153	96.7153	100	99.65	0.0163	0.5475	1
ENSRNOG00000025938	20	50486809	50564987	ENSGGOG00000015437	6	107169425	107304940	ortholog_one2one	77.1218	81.0078	75	92.24	0.0924	0.4823	1
ENSRNOG00000001928	11	77463954	77593207	ENSGGOG00000012048	3	193812674	193955070	ortholog_one2one	89.1971	88.9374	100	99.63	0.0592	0.5716	1
ENSRNOG00000046260	10	109911922	109913879												
ENSRNOG00000008680	8	63067300	63092009	ENSGGOG00000014810	15	52597663	52623133	ortholog_one2one	85.0329	90.0697	100	0.00	0.0473	0.8337	1
ENSRNOG00000031899	1	72183354	72184265												
ENSRNOG00000033372	11	84615760	84633504	ENSGGOG00000028174	3	186738145	186785566	ortholog_one2one	99.1653	99	50	100.00	0.0039	0.4429	1
ENSRNOG00000049797	9	101307764	101319845	ENSGGOG00000014312	2B	135217550	135226799	ortholog_one2many	60.6272	60.4167	25	49.55	0.2847	0.8689	0
ENSRNOG00000049482	15	30018481	30019055	ENSGGOG00000041364	14	23276192	23276494	ortholog_one2many	49.6552	72	25		0.21	0.4933	0
ENSRNOG00000007359	3	48626038	48661317	ENSGGOG00000036884	2B	54592536	54611953	ortholog_one2one	79.5455	80.6452	100		0.1107	0.5957	1
ENSRNOG00000048837	9	105246120	105282292												
ENSRNOG00000032558	10	78416946	78417317	ENSGGOG00000038559	6	34919102	34920101	ortholog_one2many	69.9187	79.6296	0		0.1032	0.9753	0
ENSRNOG00000004588	7	129749714	129787093	ENSGGOG00000009913	22	33791523	33795038	ortholog_one2one	82.4936	82.4936	75	0.32	0.0949	0.94	1
ENSRNOG00000050654	3	74411668	74412633	ENSGGOG00000043858	11	55395975	55396970	ortholog_one2many	71.028	73.7864	25		0.1821	0.7282	0
ENSRNOG00000048275	1	213577122	213580542												
ENSRNOG00000022890	5	122766879	122828398	ENSGGOG00000002630	1	67929967	67965017	ortholog_one2one	35.1474	38.75	50	99.29	0.5352	0.7351	0
ENSRNOG00000029479	10	76280933	76281283												
ENSRNOG00000029773	8	58015940	58120045	ENSGGOG00000010362	11	108088604	108220804	ortholog_one2one	82.8655	83.9894	100	100.00	0.0912	0.5534	1
ENSRNOG00000004649	3	121876263	121882726	ENSGGOG00000006387	2B	1324409	1331529	ortholog_one2one	67.9104	67.658	50	0.00	0.2325	0.5435	0
ENSRNOG00000052232	2	210988869	210991509	ENSGGOG00000007309	1	110860490	110872247	ortholog_one2one	85.1528	77.6892	100	100.00	0.094	0.3607	1
ENSRNOG00000050521	9	14513037	14514416	ENSGGOG00000012082	6	41818192	41820038	ortholog_one2one	70.3704	67.0588	100	0.00	0.2035	0.7023	1
ENSRNOG00000037124	3	118268739	118427851	ENSGGOG00000042553	15	27553216	27833095	ortholog_one2one	52.7051	59.9206	75	3.34	0.2718	0.7019	1
ENSRNOG00000045918	17	20184245	20364714	ENSGGOG00000005536	6	15684174	15973295	ortholog_one2one	92.7877	91.8941	50	75.77	0.0342	0.3954	1
ENSRNOG00000014834	17	57304933	57394985	ENSGGOG00000008088	10	88387937	88499526	ortholog_one2one	93.832	85.5263	0	85.97	0.0311	0.3917	1
ENSRNOG00000003357	9	52023295	52059217	ENSGGOG00000016523	2B	81687547	81726080	ortholog_one2one	90.499	90.3138	75	100.00	0.0594	0.4537	1
ENSRNOG00000020460	1	220744195	220746224	ENSGGOG00000036835	10	148244757	148245020	ortholog_one2many	66.2921	81.9444	0		0.1047	0.2529	0
ENSRNOG00000020460	1	220744195	220746224	ENSGGOG00000027298	11	65217392	65219469	ortholog_one2many	96.6292	96.6292	100		0.016	0.3148	1
ENSRNOG00000020460	1	220744195	220746224	ENSGGOG00000022102	2B	124073373	124073642	ortholog_one2many	94.382	94.382	0		0.0268	0.293	0
ENSRNOG00000020460	1	220744195	220746224	ENSGGOG00000037254	1	153885093	153885362	ortholog_one2many	68.5393	80.2632	0		0.0992	0.291	0
ENSRNOG00000046741	6	30098380	30187337	ENSGGOG00000007583	2A	83097500	83253679	ortholog_one2one	92.2494	93.2823	50	100.00	0.0292	0.4337	1
ENSRNOG00000013225	9	23503236	23527496	ENSGGOG00000024118	6	50761996	50797263	ortholog_one2one	67.4897	58.9928	0		0.1985	0.7787	0
ENSRNOG00000032310	1	129227595	129228068	ENSGGOG00000026556	4	74277247	74278114	ortholog_one2one	33.5526	52.0408	0		0.1723	0.3105	0
ENSRNOG00000019592	9	97183214	97290639	ENSGGOG00000013083	2B	129732789	129929235	ortholog_one2one	69.3662	71.2048	100	100.00	0.2005	1.1469	1
ENSRNOG00000011745	1	183733567	183744586	ENSGGOG00000039837	X	80319713	80325123	ortholog_one2one	65.7795	76.5487	0		0.0903	0.6237	0
ENSRNOG00000001271	2	54810110	54824033	ENSGGOG00000003251	17	54456805	54482009	ortholog_one2one	53.5524	58.1485	75	100.00	0.2964	0.6189	1
ENSRNOG00000020821	1	88750462	88765220	ENSGGOG00000000887	19	35520960	35538939	ortholog_one2many	98.5375	98.5375	100	100.00	0.0068	0.5061	1
ENSRNOG00000021274	3	125566643	125607735	ENSGGOG00000013823	20	5992412	6040162	ortholog_one2one	88.6263	88.6263	100	100.00	0.0599	0.5902	1
ENSRNOG00000014187	1	128924966	129206516	ENSGGOG00000012828	15	77645334	77958365	ortholog_one2one	94.2941	94.2941	25	99.78	0.0313	0.6281	1
ENSRNOG00000016100	7	144503534	144503839	ENSGGOG00000038135	1	14665554	14666044	ortholog_one2many	73.5294	74.2574	0		0.1372	1.3685	0
ENSRNOG00000003210	10	45939178	45940137												
ENSRNOG00000004438	7	133400485	133586677	ENSGGOG00000016609	12	45316954	45480428	ortholog_one2one	93.9275	93.2879	100	99.08	0.0341	0.7827	1
ENSRNOG00000000963	12	32808022	33016885	ENSGGOG00000008667	12	128432537	128877143	ortholog_one2one	77.5187	75	100	80.00	0.1199	1.1742	1
ENSRNOG00000042229	4	78371121	78375223												
ENSRNOG00000009431	15	85930044	86105273	ENSGGOG00000015734	13	57693872	57888383	ortholog_one2one	89.152	89.9075	75	100.00	0.0543	0.6086	1
ENSRNOG00000057118	8	43566788	43567726												
ENSRNOG00000014743	10	14216155	14230515	ENSGGOG00000012252	16	1857948	1872094	ortholog_one2one	74.7573	88.8462	100	0.00	0.0527	1.0226	1
ENSRNOG00000010821	7	120282822	120295618	ENSGGOG00000001486	22	21428768	21446487	ortholog_one2one	82.9032	85.9532	100	100.00	0.0294	0.6966	1
ENSRNOG00000015304	1	78417719	78420427	ENSGGOG00000013410	19	46288695	46291444	ortholog_one2one	94.6809	94.6809	100	100.00	0.0327	0.9508	1
ENSRNOG00000015359	3	154996750	155041816	ENSGGOG00000004403	20	37392235	37417223	ortholog_one2one	59.2262	71.9711	100	100.00	0.1767	0.601	1
ENSRNOG00000013906	3	119994537	120003090	ENSGGOG00000024206	2A	1107200	1117446	ortholog_one2one	83.3958	84.0252	75	22.83	0.0958	0.6037	1
ENSRNOG00000054681	17	89772928	89780691												
ENSRNOG00000022669	1	82964683	82987253	ENSGGOG00000037146	4	183502560	183503314	ortholog_many2many	7.94621	45.1389	0		0.4664	72.6877	0
ENSRNOG00000022669	1	82964683	82987253	ENSGGOG00000014979	19	42586776	42599873	ortholog_many2many	24.2054	47.7108	25	0.00	0.4621	1.2212	0
ENSRNOG00000010492	10	84890932	84920886	ENSGGOG00000005330	5	35565934	35601825	ortholog_one2one	94.1176	93.9641	100	100.00	0.0303	0.4289	1
ENSRNOG00000048917	4	82173293	82263302	ENSGGOG00000002218	7	27200170	27202478	ortholog_one2many	96.5665	96.5665	100	60.32	0.0141	0.3083	1
ENSRNOG00000008518	4	169020683	169036950	ENSGGOG00000008565	12	12903854	12923301	ortholog_one2one	64.3979	67.9558	50	37.16	0.1608	0.544	0
ENSRNOG00000001964	11	53514595	53575175	ENSGGOG00000007652	3	109425537	109473088	ortholog_one2many	64.0668	71.2074	75	79.22	0.2052	0.6898	1
