Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gorilla gene stable ID	Gorilla chromosome/scaffold name	Gorilla chromosome/scaffold start (bp)	Gorilla chromosome/scaffold end (bp)	Gorilla homology type	%id. target Gorilla gene identical to query gene	%id. query gene identical to target Gorilla gene	Gorilla Gene-order conservation score	Gorilla Whole-genome alignment coverage	dN with Gorilla	dS with Gorilla	Gorilla orthology confidence [0 low, 1 high]
ENSMUSG00000096826	4	42655251	42656005	ENSGGOG00000039700	9	14801512	14802201	ortholog_many2many	56.6667	60.7143	25		0.2937	0.4061	0
ENSMUSG00000025076	19	56397129	56442344	ENSGGOG00000007342	10	128611334	128662415	ortholog_one2one	76.8977	60.0515	100	100.00	0.1522	0.8536	1
ENSMUSG00000071037	17	85090726	85458139	ENSGGOG00000044220	2A	62412764	62823344	ortholog_one2one	82.9721	82.9721	100	74.83	0.1018	0.2308	1
ENSMUSG00000024907	19	3409919	3414472	ENSGGOG00000000252	11	67975503	67981731	ortholog_one2one	69.3548	69.9187	100	0.00	0.1644	1.1736	1
ENSMUSG00000024970	19	7356464	7383026	ENSGGOG00000010130	11	62984163	62998336	ortholog_one2one	83.2021	83.2021	100	0.00	0.0958	0.6856	1
ENSMUSG00000057858	19	60198586	60226697	ENSGGOG00000010566	10	133337713	133370240	ortholog_one2one	77.1186	78.1116	100	100.00	0.1246	0.3892	1
ENSMUSG00000025228	19	46376814	46395735	ENSGGOG00000011237	10	117154856	117178491	ortholog_one2one	100	100	75	100.00	0	0	1
ENSMUSG00000094791	JH584299.1	314841	317584												
ENSMUSG00000024587	18	64499665	64516557	ENSGGOG00000009419	18	54921903	54943482	ortholog_one2one	91.5921	93.4307	100	100.00	0.0339	0.612	1
ENSMUSG00000040541	9	40148122	40150880	ENSGGOG00000016554	11	124000320	124003102	ortholog_one2one	45.2174	46.2222	100	0.00	0.4661	0.6595	0
ENSMUSG00000094869	Y	29655497	29683370	ENSGGOG00000002946	12	101563478	101574587	ortholog_one2many	25.9036	17.7686	50		0.7131	4.1233	0
ENSMUSG00000071659	19	8819401	8834142	ENSGGOG00000011722	11	61853414	61865736	ortholog_one2one	95.0336	94.6524	100	100.00	0.0221	0.3046	1
ENSMUSG00000024885	19	3913493	3929761	ENSGGOG00000004995	11	67282359	67303116	ortholog_one2one	83.9744	79.8781	75	0.00	0.0804	1.0227	1
ENSMUSG00000025092	19	58795751	58860984	ENSGGOG00000000981	10	131644848	131826799	ortholog_one2one	94.0741	91.763	100	100.00	0.0217	0.593	1
ENSMUSG00000095019	JH584303.1	81607	82689												
ENSMUSG00000034039	17	25318654	25322681												
ENSMUSG00000024352	18	35656690	35662186												
ENSMUSG00000024306	18	21810897	22171396	ENSGGOG00000023038	18	29697360	30162764	ortholog_one2one	50	48.5971	100	93.24	0.4336	1.1314	0
ENSMUSG00000067279	19	36731737	36736653	ENSGGOG00000008830	10	106000473	106005121	ortholog_one2one	86.1199	86.1199	100	65.47	0.0703	0.5374	1
ENSMUSG00000091938	4	42629719	42631714	ENSGGOG00000002939	9	14772630	14774383	ortholog_one2many	64.8148	71.4286	50	32.59	0.1915	0.3847	0
ENSMUSG00000025016	19	41210842	41264004	ENSGGOG00000015606	10	111034299	111104861	ortholog_one2one	94.8893	93.9292	100	100.00	0.0308	0.52	1
ENSMUSG00000044201	18	34732997	34751533	ENSGGOG00000000830	5	121780795	121844712	ortholog_one2one	62.8635	55.315	50	100.00	0.2651	0.567	1
ENSMUSG00000073639	18	6765205	6790231	ENSGGOG00000008086	10	93298419	93334636	ortholog_one2one	99.0291	86.8085	50	83.56	0.0045	0.2666	1
ENSMUSG00000094155	X	34450524	34452020												
ENSMUSG00000024425	18	38418975	38464399	ENSGGOG00000004879	5	125691720	125737369	ortholog_one2one	97.2851	97.2851	75	84.59	0.0129	0.2591	1
ENSMUSG00000024989	19	38055025	38074425	ENSGGOG00000003954	10	107886316	107923912	ortholog_one2one	74.6753	73.5608	100	100.00	0.1588	0.6072	1
ENSMUSG00000037013	18	14624198	14682914	ENSGGOG00000004461	18	22659785	22734393	ortholog_one2many	96.4115	96.4115	100	100.00	0.017	0.355	1
ENSMUSG00000037013	18	14624198	14682914	ENSGGOG00000043245	3	47546999	47553532	ortholog_one2many	75.3588	72.7483	0		0.102	0.5065	0
ENSMUSG00000024854	19	4231899	4233631	ENSGGOG00000016028	11	66580242	66582298	ortholog_one2one	83.1776	83.1776	100	100.00	0.0828	0.5789	1
ENSMUSG00000052673	12	69371835	69372458												
ENSMUSG00000060375	12	107488632	107489636												
ENSMUSG00000043445	17	24470473	24471591	ENSGGOG00000041986	16	2284757	2287091	ortholog_one2one	35.8255	94.2623	75	100.00	0.0283	0.3388	0
ENSMUSG00000092004	6	115227343	115259294												
ENSMUSG00000008482	17	24715839	24718057	ENSGGOG00000009376	3	72002087	72004212	ortholog_one2one	69.4561	68.0328	0	0.00	0.2072	0.6857	0
ENSMUSG00000092097	18	8694077	8694541	ENSGGOG00000014915	16	1402517	1450865	ortholog_one2many	86.3636	18.1694	0	0.00	0.0808	0.9547	0
ENSMUSG00000090673	19	41582370	41586536	ENSGGOG00000005550	10	111463478	111501656	ortholog_one2one	64.5733	51.5093	100	100.00	0.2285	0.6626	1
ENSMUSG00000054134	17	30954679	31010708	ENSGGOG00000008453	21	33305386	33372298	ortholog_one2one	61.9436	58.2287	50	50.25	0.2444	0.9817	0
ENSMUSG00000096379	Y	38574609	38575691												
ENSMUSG00000091285	18	9726197	9726670	ENSGGOG00000038761	9	51831815	51832435	ortholog_one2one	64.9682	80.315	0		0.0943	0.4598	0
ENSMUSG00000095240	X	39862919	39863604												
ENSMUSG00000095229	X	31336454	31337950												
ENSMUSG00000095602	Y	7405010	7405552												
ENSMUSG00000024485	18	36528157	36541293	ENSGGOG00000000287	5	123881425	123896167	ortholog_one2one	80.9473	79.5767	100	100.00	0.1115	0.4676	1
ENSMUSG00000057561	18	46597704	46610225	ENSGGOG00000037004	CABD030131212.1	2262	2696	ortholog_many2many	90.2778	94.2029	0		0.0282	1.8575	0
ENSMUSG00000057561	18	46597704	46610225	ENSGGOG00000043430	13	307182	307616	ortholog_many2many	90.2778	94.2029	0		0.0282	1.8575	0
ENSMUSG00000053729	18	44166358	44175073												
ENSMUSG00000033825	17	25366550	25368094												
ENSMUSG00000094462	7	42578466	42578588												
ENSMUSG00000097112	2	67432816	67433181												
ENSMUSG00000059734	19	3908870	3912717	ENSGGOG00000005001	11	67304264	67310521	ortholog_one2one	87.2642	88.0952	100	0.00	0.069	1.2342	1
ENSMUSG00000096550	JH584299.1	477246	480331												
ENSMUSG00000079438	5	88154023	88154099												
ENSMUSG00000025025	19	53310506	53375810	ENSGGOG00000040667	10	125087968	125172083	ortholog_one2one	95.2542	95.2542	100	88.82	0.0212	0.3427	1
ENSMUSG00000071036	17	86497732	86505232												
ENSMUSG00000094855	JH584299.1	921942	924675												
ENSMUSG00000039954	18	43207697	43317481	ENSGGOG00000004405	5	130841238	130991824	ortholog_one2one	87.6884	85.1219	100	99.36	0.07	0.5619	1
ENSMUSG00000036743	18	14706151	14762299	ENSGGOG00000016377	18	22777557	22833494	ortholog_one2one	94.4	94.4	75	99.70	0.0317	0.5624	1
ENSMUSG00000039840	18	77938467	78035027	ENSGGOG00000007816	18	42877955	43003951	ortholog_one2one	83.7092	83.482	75	100.00	0.0958	0.4882	1
ENSMUSG00000031600	8	40511783	40551134	ENSGGOG00000043297	5	138264215	138265758	ortholog_one2many	63.2242	77.2308	0		0.1319	0.5113	0
ENSMUSG00000031600	8	40511783	40551134	ENSGGOG00000011650	8	16314619	16354170	ortholog_one2many	90.1763	90.1763	100	93.99	0.0512	0.3625	1
ENSMUSG00000036278	19	7056768	7198061	ENSGGOG00000012120	11	63159610	63334755	ortholog_one2one	85.4489	84.9231	75	100.00	0.0743	0.6936	1
ENSMUSG00000045094	18	61493794	61536536	ENSGGOG00000001871	5	133268480	133324140	ortholog_one2one	79.142	79.2593	100	100.00	0.1322	0.6667	1
ENSMUSG00000073789	4	101020298	101020696												
ENSMUSG00000003779	18	34624624	34633265	ENSGGOG00000007112	5	121674228	121683177	ortholog_one2one	87.2604	86.9663	100	100.00	0.0699	0.4912	1
ENSMUSG00000095386	4	104857329	104859137												
ENSMUSG00000042705	18	46958862	47087992	ENSGGOG00000007326	5	99244443	99453048	ortholog_one2one	89.1089	89.1089	75	32.64	0.0609	0.6711	1
ENSMUSG00000095754	X	31253894	31255381	ENSGGOG00000041892	X	57746718	57748592	ortholog_one2many	34.252	55.414	0		0.3252	0.8024	0
ENSMUSG00000073565	18	51117898	51304641	ENSGGOG00000016737	5	103691509	103910629	ortholog_one2one	92.4342	92.4342	50	0.00	0.04	0.3376	0
ENSMUSG00000096597	18	80089297	80089962												
ENSMUSG00000024510	18	52331536	52332986	ENSGGOG00000001510	5	105077937	105078665	ortholog_one2one	77.6371	76.0331	75	100.00	0.1194	0.9247	1
ENSMUSG00000024078	17	74717750	74863570	ENSGGOG00000012734	2A	74505090	74698719	ortholog_one2one	84.1795	84.5789	100	95.56	0.0905	0.5075	1
ENSMUSG00000071648	19	8927382	8929356	ENSGGOG00000013599	11	61736837	61739475	ortholog_one2one	85.1852	85.1852	75	0.00	0.0924	0.3795	1
ENSMUSG00000054069	8	106500522	106507342												
ENSMUSG00000045730	18	62177817	62179959	ENSGGOG00000005445	5	132505799	132507040	ortholog_one2one	87.0813	88.1356	100	100.00	0.0645	0.6314	1
ENSMUSG00000024027	17	30901867	30936510	ENSGGOG00000014531	6	39733216	39772796	ortholog_one2one	91.7927	91.7927	50	97.29	0.0398	0.7631	1
ENSMUSG00000074720	GL456354.1	25923	27230												
ENSMUSG00000071855	18	46282151	46311928	ENSGGOG00000001120	5	98428836	98463793	ortholog_one2one	77.5238	79.3372	75	0.00	0.111	0.8584	1
ENSMUSG00000052713	18	54888045	54990180	ENSGGOG00000015745	5	107877719	107996208	ortholog_one2one	93.3819	93.3201	100	100.00	0.0332	0.3695	1
ENSMUSG00000075480	11	106160850	106161158												
ENSMUSG00000091230	19	47170469	47171134	ENSGGOG00000001435	6	28446695	28447375	ortholog_one2many	74.6606	73.0089	0	0.00	0.16	6.8461	0
ENSMUSG00000000673	17	83831356	83846790	ENSGGOG00000040480	2A	64488026	64494917	ortholog_one2one	56.6434	82.6531	100		0.1025	0.7923	1
ENSMUSG00000116275	1	133619871	133661380	ENSGGOG00000027663	6	67090701	67094262	ortholog_many2many	74.3687	73.0769	0		0.1505	0.4873	0
ENSMUSG00000116275	1	133619871	133661380	ENSGGOG00000004438	1	183615548	183675833	ortholog_many2many	81.0606	79.2593	25	7.41	0.1073	0.4867	0
ENSMUSG00000116275	1	133619871	133661380	ENSGGOG00000008911	1	199627086	199638917	ortholog_many2many	50.1263	58.5546	25	2.93	0.2956	0.7465	0
ENSMUSG00000024687	19	11965844	11994105	ENSGGOG00000011343	11	58718510	58758746	ortholog_one2one	88.1988	92.6893	75	100.00	0.0148	0.3962	1
ENSMUSG00000056399	17	25298394	25300161												
ENSMUSG00000094293	4	42091207	42092287												
ENSMUSG00000024248	17	83501919	83514333	ENSGGOG00000010739	2A	64894531	64913578	ortholog_one2one	73.1343	85.9649	100	0.91	0.0672	0.3483	1
ENSMUSG00000048799	18	53681724	53744547	ENSGGOG00000008568	5	106548114	106627391	ortholog_one2one	89.6761	89.858	100	100.00	0.0546	0.6429	1
ENSMUSG00000063590	19	8062209	8131982	ENSGGOG00000003608	11	62521941	62562332	ortholog_one2many	53.0797	52.9837	50	0.00	0.3705	0.658	0
ENSMUSG00000024530	18	67464849	67480581	ENSGGOG00000022115	18	2329824	2352844	ortholog_one2one	78.4884	74.5856	75	100.00	0.0755	0.9008	1
ENSMUSG00000062432	19	37685581	37693398	ENSGGOG00000009105	10	107452837	107460428	ortholog_one2one	87.0656	86.3985	100	100.00	0.0729	0.9414	1
ENSMUSG00000052387	19	22139119	22989884	ENSGGOG00000016086	9	52152830	53189059	ortholog_one2one	97.1528	97.7206	100	90.10	0.0103	0.4224	1
ENSMUSG00000025423	18	77065208	77155708	ENSGGOG00000025821	18	43820127	43930785	ortholog_one2one	96.6184	97.8793	100	86.99	0.0092	0.2668	1
ENSMUSG00000024661	19	9982703	9985092	ENSGGOG00000023151	11	76798862	76803347	ortholog_one2many	75.8242	85.1852	0		0.091	0.489	0
ENSMUSG00000024661	19	9982703	9985092	ENSGGOG00000027722	11	61091255	61099143	ortholog_one2many	92.3077	91.8033	100		0.0363	0.3966	1
ENSMUSG00000024661	19	9982703	9985092	ENSGGOG00000027119	9	34239356	34239998	ortholog_one2many	84.0659	86.9318	0		0.061	0.4055	0
ENSMUSG00000024661	19	9982703	9985092	ENSGGOG00000043304	3	74100984	74103569	ortholog_one2many	74.1758	85.443	0		0.074	0.4308	0
ENSMUSG00000024661	19	9982703	9985092	ENSGGOG00000024641	17	78183443	78183784	ortholog_one2many	54.3956	87.6106	0		0.0549	0.4096	0
ENSMUSG00000024661	19	9982703	9985092	ENSGGOG00000022472	X	148240288	148244072	ortholog_one2many	79.6703	87.8788	0		0.0585	0.4053	0
ENSMUSG00000024758	19	7425901	7483289	ENSGGOG00000009872	11	62839703	62913950	ortholog_one2one	70.0207	65.407	75	0.00	0.2063	0.4266	1
ENSMUSG00000094845	11	69876684	69878018	ENSGGOG00000039735	17	7373441	7374871	ortholog_one2many	63.0682	62.7119	50		0.2559	0.5975	0
ENSMUSG00000094845	11	69876684	69878018	ENSGGOG00000042434	17	7370077	7372157	ortholog_one2many	63.0682	62.7119	75		0.2559	0.5975	1
ENSMUSG00000024107	17	88741549	88791976	ENSGGOG00000008461	2A	58363454	58433797	ortholog_one2one	82	81.883	75	100.00	0.1045	0.5256	1
ENSMUSG00000097386	11	69120054	69122589												
ENSMUSG00000024570	18	80192265	80200658	ENSGGOG00000003131	18	77817748	77834525	ortholog_one2one	57.7143	58.8921	100	0.00	0.2874	0.9106	1
ENSMUSG00000094354	Y	40380441	40381523												
ENSMUSG00000094227	Y	13941738	13942280												
ENSMUSG00000024036	17	31295483	31350696	ENSGGOG00000012067	21	33732654	33815567	ortholog_one2one	86.8173	86.4916	100	91.92	0.0741	0.8485	1
ENSMUSG00000097078	4	88721805	88722842												
ENSMUSG00000091195	11	31182376	31182462												
ENSMUSG00000091821	X	123221399	123222481												
ENSMUSG00000032937	17	88985170	89200612	ENSGGOG00000014436	2A	57941471	58140892	ortholog_one2one	87.8613	87.482	50	97.44	0.0657	0.4806	1
ENSMUSG00000045053	17	83585957	83631895	ENSGGOG00000039053	2A	64769418	64819604	ortholog_one2one	96.3048	95.6422	100	100.00	0.0174	0.3068	1
ENSMUSG00000056481	19	5068078	5070637	ENSGGOG00000000467	11	65517018	65519291	ortholog_one2one	78.3007	79.1281	100	100.00	0.1182	0.5335	1
ENSMUSG00000091731	10	58713606	58718210												
ENSMUSG00000078488	10	6740629	6761761												
ENSMUSG00000096271	GL456350.1	211325	212455	ENSGGOG00000025682	9	14753690	14755107	ortholog_one2many	70.6767	70.1493	0	17.01	0.1785	0.5264	0
ENSMUSG00000094727	X	32973897	32975846												
ENSMUSG00000094661	JH584294.1	102539	104139	ENSGGOG00000002939	9	14772630	14774383	ortholog_one2many	64.8148	71.4286	50	68.65	0.1915	0.3847	0
ENSMUSG00000058881	18	82910879	83005314	ENSGGOG00000003996	18	74157828	74234870	ortholog_one2one	79.3431	79.9652	100	19.98	0.1065	0.9873	1
ENSMUSG00000024940	19	5740904	5758532	ENSGGOG00000000714	11	64744244	64763611	ortholog_one2one	93.5355	91.2062	100	91.95	0.0264	0.878	1
ENSMUSG00000090942	18	60293380	60303016												
ENSMUSG00000040888	17	24693191	24696156	ENSGGOG00000006835	16	2029645	2034728	ortholog_one2one	77.7778	75.1219	100	100.00	0.1178	0.8729	1
ENSMUSG00000091306	14	54640952	54648293												
ENSMUSG00000024565	18	80966376	80986578	ENSGGOG00000008127	18	76802004	76819110	ortholog_one2one	81.9712	78.6923	100	96.73	0.0869	1.5001	1
ENSMUSG00000047379	19	5038826	5041134	ENSGGOG00000010525	11	65548397	65550642	ortholog_one2one	96.6265	96.6265	100	100.00	0.0164	0.7681	1
ENSMUSG00000024131	17	85028347	85064243	ENSGGOG00000011896	2A	62864798	62911429	ortholog_one2one	81.3139	81.3139	100	100.00	0.1005	0.6825	1
ENSMUSG00000074302	8	65075033	65077480												
ENSMUSG00000045008	10	43174704	43176562												
ENSMUSG00000024912	19	5447703	5455945	ENSGGOG00000011411	11	65103551	65112055	ortholog_one2one	88.6447	89.2989	100	100.00	0.0616	0.7433	1
ENSMUSG00000051412	GL456233.1	10738	39148	ENSGGOG00000001709	X	156217316	156250634	ortholog_one2one	77.7273	74.3478	50	100.00	0.1518	0.7208	1
ENSMUSG00000079580	17	29526033	29549593	ENSGGOG00000004336	6	37864855	37913192	ortholog_one2one	52.9101	43.6681	100	0.00	0.3517	2.0777	0
ENSMUSG00000090853	13	41273803	41273977												
ENSMUSG00000056917	19	5651185	5663707	ENSGGOG00000011796	11	64849285	64859122	ortholog_one2one	89.9807	89.6353	100	60.05	0.0504	0.7195	1
ENSMUSG00000073682	4	155614413	155645408												
ENSMUSG00000061613	17	31647082	31658754	ENSGGOG00000025487	15	12923873	12926191	ortholog_one2one	72.8033	88.3249	0		0.0544	0.7593	0
ENSMUSG00000090291	19	10455371	10457447												
ENSMUSG00000025200	19	44108644	44135876												
ENSMUSG00000057506	19	44139266	44146446	ENSGGOG00000025362	10	114883085	114892579	ortholog_one2one	93.7063	94.3662	100	0.00	0.0223	0.663	1
ENSMUSG00000033717	19	54045182	54048982	ENSGGOG00000025054	10	125922180	125923577	ortholog_one2one	92.4731	92.4731	100	100.00	0.0331	1.2006	1
ENSMUSG00000024246	17	81026327	81065085	ENSGGOG00000001608	2A	67434833	67542116	ortholog_one2one	63.447	66.6004	75	100.00	0.2106	0.6917	1
ENSMUSG00000024696	19	12798606	12833807	ENSGGOG00000001916	11	57622925	57674026	ortholog_one2one	83.9378	82.8644	75	100.00	0.0911	0.3905	1
ENSMUSG00000072437	19	60755987	60759913												
ENSMUSG00000095755	JH584293.1	83395	84475												
ENSMUSG00000091159	9	22454290	22462062												
ENSMUSG00000090625	2	174330319	174346712												
ENSMUSG00000095567	4	156236010	156247616	ENSGGOG00000007732	1	578643	593657	ortholog_one2many	74.5333	75.0336	75	0.00	0.1459	1.1911	1
ENSMUSG00000095567	4	156236010	156247616	ENSGGOG00000025539	2B	23255937	23257939	ortholog_one2many	59.7333	75.2941	0	0.00	0.1401	1.2625	0
ENSMUSG00000066936	1	132229048	132229767												
ENSMUSG00000095316	X	21174439	21175653	ENSGGOG00000012057	X	53295589	53313296	ortholog_many2many	36.1702	36.5591	25	0.00	0.5511	0.386	0
ENSMUSG00000095316	X	21174439	21175653	ENSGGOG00000010688	X	48808915	48820179	ortholog_many2many	38.2979	14.6341	0	50.00	0.576	0.3859	0
ENSMUSG00000095316	X	21174439	21175653	ENSGGOG00000024103	X	48776540	48838022	ortholog_many2many	23.4043	12.0219	25	0.00	0.6392	0.2451	0
ENSMUSG00000095316	X	21174439	21175653	ENSGGOG00000026107	X	48999017	49008331	ortholog_many2many	35.1064	17.5532	25	50.00	0.6427	0.4795	0
ENSMUSG00000095316	X	21174439	21175653	ENSGGOG00000016307	X	53233122	53241476	ortholog_many2many	37.234	16.2791	25	0.00	0.586	0.4676	0
ENSMUSG00000079773	GL456350.1	173252	174286	ENSGGOG00000038318	9	14798487	14799113	ortholog_one2many	65.5172	78.0822	0		0.1169	0.2557	0
ENSMUSG00000033863	19	23141226	23166911	ENSGGOG00000042777	9	52002766	52032552	ortholog_one2one	96.7213	96.7213	100	72.01	0.0141	0.2646	1
ENSMUSG00000024614	18	90510154	90543267	ENSGGOG00000005485	18	66383739	66424836	ortholog_one2one	90.3509	90.7489	50	52.48	0.0495	0.4086	0
ENSMUSG00000033960	18	4634929	4682868	ENSGGOG00000017151	10	90748804	90789901	ortholog_one2one	54.697	53.1273	75	0.00	0.329	0.7604	1
ENSMUSG00000096100	GL456211.1	66955	67326												
ENSMUSG00000095860	Y	10553453	10553992												
ENSMUSG00000096930	4	56740070	56741377												
ENSMUSG00000090551	4	108847399	108848619												
ENSMUSG00000050370	19	34473786	34475135	ENSGGOG00000024451	10	103554697	103555515	ortholog_one2one	71.1409	77.9412	100	89.80	0.1154	1.3155	1
ENSMUSG00000039615	17	25830636	25833361	ENSGGOG00000043504	16	702121	705898	ortholog_one2one	97.3684	97.6898	100		0.0099	1.171	1
ENSMUSG00000024665	19	10064164	10101503	ENSGGOG00000012374	11	60945667	60980643	ortholog_one2one	47.7477	83.1373	100	33.58	0.0812	0.7575	0
ENSMUSG00000091614	17	29519281	29519790												
ENSMUSG00000038498	19	5335741	5344153	ENSGGOG00000013686	11	65232145	65241787	ortholog_one2one	48.688	42.8205	100	0.00	0.4184	1.16	0
ENSMUSG00000037346	18	13006990	13022882	ENSGGOG00000005579	18	21044325	21062805	ortholog_one2one	67.7749	67.9487	75	100.00	0.2294	0.6595	1
ENSMUSG00000066878	17	89908511	89910449	ENSGGOG00000042705	9	89439034	89446194	ortholog_many2many	69.1871	80.7947	0		0.1135	0.561	0
ENSMUSG00000066878	17	89908511	89910449	ENSGGOG00000027535	5	15084838	15097570	ortholog_many2many	89.603	92.9412	0		0.04	0.579	0
ENSMUSG00000066878	17	89908511	89910449	ENSGGOG00000042585	4	91037647	91039236	ortholog_many2many	66.9187	79.5506	0		0.1166	0.53	0
ENSMUSG00000096553	10	5069192	5071975												
ENSMUSG00000074739	2	149015732	149017237												
ENSMUSG00000071497	19	53588204	53589067	ENSGGOG00000023925	16	58944860	58970308	ortholog_one2one	100	100	0		0	0	0
ENSMUSG00000116057	13	23099071	23100129												
ENSMUSG00000096734	9	124493731	124493793												
ENSMUSG00000095470	12	19954505	19954840												
ENSMUSG00000074219	8	83932329	83955205												
ENSMUSG00000063277	14	7640895	7643972												
ENSMUSG00000079600	X	165003765	165004829												
ENSMUSG00000067085	19	53371566	53371766												
ENSMUSG00000059455	18	42178675	42196709	ENSGGOG00000008260	5	129653937	129673757	ortholog_one2one	78.5311	78.5311	75	0.00	0.1304	0.6818	1
ENSMUSG00000067038	19	59322290	59322783	ENSGGOG00000012234	6	135289534	135292662	ortholog_one2many	99.2424	99.2424	0		0.0035	0.4179	0
ENSMUSG00000044026	19	38395980	38405607	ENSGGOG00000025811	10	108335174	108343946	ortholog_one2one	77.9891	78.6301	100	100.00	0.1309	0.4663	1
ENSMUSG00000005873	18	34344889	34373415	ENSGGOG00000037456	5	95959960	96000088	ortholog_one2one	93.1217	93.1217	25	100.00	0.0293	0.5194	1
ENSMUSG00000024074	17	78200248	78376592	ENSGGOG00000011996	2A	70687417	70840994	ortholog_one2one	79.2671	88.8649	75	99.88	0.0571	0.4755	1
ENSMUSG00000096244	GL456219.1	149261	150163												
ENSMUSG00000071586	15	102503722	102503886												
ENSMUSG00000095759	Y	13223386	13223928												
ENSMUSG00000096923	11	6200029	6201643												
ENSMUSG00000090408	3	67365461	67375163												
