Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Human gene stable ID	Human chromosome/scaffold name	Human chromosome/scaffold start (bp)	Human chromosome/scaffold end (bp)	Human homology type	%id. target Human gene identical to query gene	%id. query gene identical to target Human gene	Human Gene-order conservation score	Human Whole-genome alignment coverage	dN with Human	dS with Human	Human orthology confidence [0 low, 1 high]
MGP_CAROLIEiJ_G0013949	1	7082427	7385938	ENSG00000046889	8	67952118	68237030	ortholog_one2one	93.8048	93.3375	100	100.00	0.0299	0.6365	1
MGP_CAROLIEiJ_G0025314	3	88656015	88670157	ENSG00000159409	1	151702404	151716814	ortholog_one2one	92.9006	98.4946	100	100.00	0.0049	0.267	1
MGP_CAROLIEiJ_G0020589	16	17878471	17883109	ENSG00000163882	3	184361718	184368596	ortholog_one2one	81.3333	69.7143	100	100.00	0.1295	0.9691	1
MGP_CAROLIEiJ_G0024019	2	97072795	97106301	ENSG00000135387	11	34051683	34101156	ortholog_one2one	97.1711	96.897	100	63.63	0.0133	0.3301	1
MGP_CAROLIEiJ_G0022819	19	19300245	20137321	ENSG00000083067	9	70529063	71446904	ortholog_one2one	93.6665	94.4347	100	52.72	0.0328	0.4541	1
MGP_CAROLIEiJ_G0023051	19	43783555	43817294	ENSG00000138172	10	103446786	103452402	ortholog_one2one	91.9505	91.9505	100	100.00	0.0423	0.9251	1
MGP_CAROLIEiJ_G0023610	2	62001429	62080557	ENSG00000163092	2	166888487	167259753	ortholog_one2one	63.0383	67.2302	100	99.81	0.1658	0.641	1
MGP_CAROLIEiJ_G0028756	6	110832084	110874503	ENSG00000088726	3	12733525	12769457	ortholog_one2one	45.7364	75.9657	100	61.14	0.1225	0.7212	0
MGP_CAROLIEiJ_G0019002	14	13702409	13799287	ENSG00000035403	10	73995193	74121363	ortholog_one2one	99.2495	93.2981	100	100.00	0.0031	0.3799	1
MGP_CAROLIEiJ_G0015333	10	52878078	52981921	ENSG00000256671	2	110446640	110473075	ortholog_one2many	26.0101	88.0342	25	100.00	0.062	0.5704	0
MGP_CAROLIEiJ_G0015333	10	52878078	52981921	ENSG00000169756	2	108534355	108687246	ortholog_one2many	85.3535	87.3385	75	100.00	0.0444	0.6654	1
MGP_CAROLIEiJ_G0015333	10	52878078	52981921	ENSG00000257207	2	110402934	110473075	ortholog_one2many	56.3131	89.9194	25	100.00	0.0549	0.7571	1
MGP_CAROLIEiJ_G0015333	10	52878078	52981921	ENSG00000284337	2	109898432	109968557	ortholog_one2many	56.3131	89.9194	0	100.00	0.0549	0.7571	1
MGP_CAROLIEiJ_G0015333	10	52878078	52981921	ENSG00000256977	2	109898428	109924868	ortholog_one2many	26.0101	88.0342	25	100.00	0.062	0.5704	0
MGP_CAROLIEiJ_G0025222	3	82761036	82819042	ENSG00000143569	1	154220179	154271510	ortholog_one2one	95.9532	98.1601	100	58.13	0.0092	0.1907	1
MGP_CAROLIEiJ_G0027913	5	131021860	131028127	ENSG00000213420	7	100169606	100177372	ortholog_one2many	80.4836	80.4836	75	100.00	0.1227	0.6447	1
MGP_CAROLIEiJ_G0015623	10	75181946	75183160												
MGP_CAROLIEiJ_G0031234	8	66955877	66965868	ENSG00000100302	22	35540868	35554001	ortholog_one2one	95.1128	95.1128	50	100.00	0.024	2.053	1
MGP_CAROLIEiJ_G0023149	2	1851962	1896668	ENSG00000123240	10	13099449	13138308	ortholog_one2one	76.0274	76.9497	100	54.47	0.132	0.7727	1
MGP_CAROLIEiJ_G0024720	2	160196493	160218090	ENSG00000026559	20	51003656	51023129	ortholog_one2one	92.8016	92.9825	100	100.00	0.0292	1.806	1
MGP_CAROLIEiJ_G0021325	17	24431030	24439313	ENSG00000197753	6	35805293	35833874	ortholog_one2one	98.1735	98.1735	100	98.99	0.0076	0.9144	1
MGP_CAROLIEiJ_G0015434	10	68994723	69044833	ENSG00000128266	22	23070361	23125037	ortholog_one2one	98.3099	98.3099	75	100.00	0.0068	0.8106	1
MGP_CAROLIEiJ_G0014837	1	160448717	160470872	ENSG00000152332	1	162497251	162529629	ortholog_one2one	99.0909	78.043	100	54.89	0.0042	0.3036	1
MGP_CAROLIEiJ_G0025936	4	37571601	37573233	ENSG00000137078	9	35649295	35650950	ortholog_one2one	76.6667	70.4082	100	100.00	0.1305	0.4707	1
MGP_CAROLIEiJ_G0033170	X	69031721	69090754	ENSG00000169057	X	154021573	154137103	ortholog_one2one	94.6108	95.1807	100	100.00	0.0252	0.3621	1
MGP_CAROLIEiJ_G0020003	15	73072345	73091445	ENSG00000100129	22	37848868	37889407	ortholog_one2one	99.6454	99.6454	100	100.00	0.0015	0.9514	1
MGP_CAROLIEiJ_G0031133	8	62358402	62375060	ENSG00000213999	19	19145568	19170289	ortholog_one2many	71.9198	68.2065	100	50.97	0.1705	1.0515	1
MGP_CAROLIEiJ_G0015533	10	73647208	73654429	ENSG00000141933	19	507497	519654	ortholog_one2one	83.1683	86.8966	100	100.00	0.0712	2.4077	1
MGP_CAROLIEiJ_G0025126	3	78984943	79575672	ENSG00000198589	4	150264531	151015727	ortholog_one2one	90.4345	90.1502	75	100.00	0.0524	0.4332	1
MGP_CAROLIEiJ_G0026770	4	134195967	134214425	ENSG00000157330	1	12746215	12763699	ortholog_one2one	75	75.7732	50	51.68	0.1548	0.5908	0
MGP_CAROLIEiJ_G0016953	11	84247322	84267720	ENSG00000121060	17	56836387	56914080	ortholog_one2one	72.2835	72.8571	100	100.00	0.1695	0.9868	1
MGP_CAROLIEiJ_G0032788	9	113915752	113995845	ENSG00000144674	3	37243177	37366751	ortholog_one2one	71.5204	69.416	50	99.01	0.1986	0.9988	1
MGP_CAROLIEiJ_G0019778	15	41786311	42983212	ENSG00000164796	8	112222928	113437099	ortholog_one2one	97.4739	95.7648	100	100.00	0.0117	0.4426	1
MGP_CAROLIEiJ_G0030602	7	137702181	137852211	ENSG00000132334	10	127907061	128085855	ortholog_one2one	93.133	93	100	100.00	0.032	0.7344	1
MGP_CAROLIEiJ_G0023471	2	30758708	30776955												
MGP_CAROLIEiJ_G0018021	12	94817343	94827713												
MGP_CAROLIEiJ_G0020379	15	97247862	97267023	ENSG00000170627	12	54455950	54473602	ortholog_one2one	79.2746	91.6168	100	100.00	0.0449	0.3463	1
MGP_CAROLIEiJ_G0021652	17	42355501	42382700	ENSG00000137216	6	44126914	44155519	ortholog_one2one	98.0769	98.0769	100	64.74	0.0082	0.4319	1
MGP_CAROLIEiJ_G0015597	10	74683220	74699574	ENSG00000172081	19	2071038	2096673	ortholog_one2one	94.47	94.47	100	100.00	0.0223	3.5261	1
MGP_CAROLIEiJ_G0015471	10	70602590	70608771	ENSG00000160284	21	46161148	46184476	ortholog_one2one	83.9181	84.4118	100	100.00	0.0776	1.4932	1
MGP_CAROLIEiJ_G0024961	3	35439148	35479819	ENSG00000164074	4	127965306	128039927	ortholog_one2one	94.3925	21.7672	100	99.04	0.0192	0.3291	0
MGP_CAROLIEiJ_G0030677	7	143290961	143300421	ENSG00000185187	11	405716	417455	ortholog_one2one	81.1736	80.9756	100	100.00	0.0998	0.7935	1
MGP_CAROLIEiJ_G0028440	6	52347801	52348821	ENSG00000197617	1	247255972	247257210	ortholog_one2many	6.16438	5.05618	25	44.52	3.4965	2.4341	0
MGP_CAROLIEiJ_G0024632	2	156024920	156026209	ENSG00000168703	20	45123425	45124465	ortholog_one2one	51.7647	39.6396	100	100.00	0.51	1.2646	0
MGP_CAROLIEiJ_G0015239	10	32582731	32610622	ENSG00000196591	6	113933028	114011308	ortholog_one2one	99.5902	99.5902	100	51.50	0.0018	0.4579	1
MGP_CAROLIEiJ_G0022354	18	62435323	62489225												
MGP_CAROLIEiJ_G0032415	9	68982362	69241246	ENSG00000140262	15	56918623	57299281	ortholog_one2one	95.7507	95.7507	100	66.90	0.0204	0.3326	1
MGP_CAROLIEiJ_G0019443	14	58018251	58020386												
MGP_CAROLIEiJ_G0029962	7	89074921	89075942												
MGP_CAROLIEiJ_G0028457	6	59193833	59195966	ENSG00000172238	4	93828753	93830964	ortholog_one2one	88.3191	87.5706	100	100.00	0.0571	0.5649	1
MGP_CAROLIEiJ_G0017902	12	75259645	75314777	ENSG00000100647	14	69611596	69715142	ortholog_one2one	82.9721	88.4488	100	98.76	0.0555	0.3567	1
MGP_CAROLIEiJ_G0028087	6	2969533	2995866												
MGP_CAROLIEiJ_G0028725	6	108494560	108498545	ENSG00000156990	3	9837849	9844602	ortholog_one2one	72.3837	70.9402	100	100.00	0.1871	0.603	1
MGP_CAROLIEiJ_G0022623	19	3646864	3649610	ENSG00000173486	11	64241003	64244132	ortholog_one2one	97.1429	95.7747	100	84.95	0.0126	0.5995	1
MGP_CAROLIEiJ_G0028483	6	68168536	68182452	ENSG00000172086	2	88027205	88055729	ortholog_one2one	73.4375	72.5869	75	54.26	0.1465	0.3299	1
MGP_CAROLIEiJ_G0014081	1	35077980	35113016	ENSG00000115604	2	102311529	102398775	ortholog_one2one	62.0818	61.7375	100	100.00	0.2766	0.8796	1
MGP_CAROLIEiJ_G0017417	11	111662692	111670989	ENSG00000182173	17	75516060	75524739	ortholog_one2one	80.381	80.2281	100	100.00	0.1188	0.6341	1
MGP_CAROLIEiJ_G0021753	17	52527626	52534475												
MGP_CAROLIEiJ_G0032335	9	60815017	60925455	ENSG00000166949	15	67063763	67195195	ortholog_one2one	100	100	100	68.41	0	0	1
MGP_CAROLIEiJ_G0019317	14	47184002	47185790	ENSG00000213906	14	24305734	24312053	ortholog_one2one	91.9444	92.4581	100	100.00	0.0374	0.7959	1
MGP_CAROLIEiJ_G0031710	8	115868550	115880027	ENSG00000173409	1	230978981	231000595	ortholog_one2one	80.0752	78.5978	100	100.00	0.1112	0.8047	1
MGP_CAROLIEiJ_G0026474	4	116070556	116097880	ENSG00000171812	1	36095236	36125220	ortholog_one2one	93.7233	93.4566	100	54.60	0.0382	0.375	1
MGP_CAROLIEiJ_G0018724	13	69277419	69291191												
MGP_CAROLIEiJ_G0031537	8	98571543	98689571	ENSG00000198373	16	69762306	69941741	ortholog_one2one	95.6322	95.6322	50	100.00	0.0203	0.5116	1
MGP_CAROLIEiJ_G0027057	5	24871974	24966300	ENSG00000115155	2	26457203	26558698	ortholog_one2one	94.9424	94.9424	100	100.00	0.0232	0.7526	1
MGP_CAROLIEiJ_G0032915	X	2301433	2324334	ENSG00000068354	X	48539457	48562609	ortholog_one2one	87.1968	94.0407	100	67.81	0.0312	0.5368	1
MGP_CAROLIEiJ_G0022298	18	55422826	55442684	ENSG00000066583	5	129094751	129114028	ortholog_one2one	94.6128	94.2953	100	100.00	0.0292	0.6151	1
MGP_CAROLIEiJ_G0023085	19	51784911	52094562	ENSG00000151532	10	112446998	112818744	ortholog_one2one	95.3917	95.3917	100	100.00	0.021	0.4444	1
MGP_CAROLIEiJ_G0016276	11	44546796	44548299	ENSG00000161055	5	180590103	180591540	ortholog_one2one	56.7308	56.7308	100	100.00	0.3422	1.3326	1
MGP_CAROLIEiJ_G0030278	7	110272648	110273758												
MGP_CAROLIEiJ_G0020808	16	52358230	52393146	ENSG00000182504	3	101723925	101770562	ortholog_one2one	77.6347	76.6474	100	54.31	0.1359	0.5816	1
MGP_CAROLIEiJ_G0018272	13	16668494	16669958	ENSG00000189134	6	28259320	28260958	ortholog_one2one	67.6768	66.6667	100	100.00	0.1902	0.7873	1
MGP_CAROLIEiJ_G0024678	2	156909617	156948171	ENSG00000124140	20	46021690	46060152	ortholog_one2one	98.2441	98.2441	100	100.00	0.0088	0.5544	1
MGP_CAROLIEiJ_G0018360	13	21031354	21050012	ENSG00000152954	6	24126122	24154900	ortholog_one2one	91.3265	91.7949	100	65.00	0.0435	0.5579	1
MGP_CAROLIEiJ_G0028018	5	138740521	138805226												
MGP_CAROLIEiJ_G0020366	15	96815610	96865806	ENSG00000172789	12	54032853	54035358	ortholog_one2one	99.5496	99.5496	0	100.00	0.0021	0.0344	1
MGP_CAROLIEiJ_G0029022	6	138286384	138462050	ENSG00000052126	12	19129752	19376400	ortholog_one2one	86.3422	85.8034	100	100.00	0.0774	0.5384	1
MGP_CAROLIEiJ_G0014871	1	161676419	161684345	ENSG00000158773	1	161039251	161045977	ortholog_one2one	97.7419	97.7419	100	61.72	0.0092	0.4188	1
MGP_CAROLIEiJ_G0026810	4	138993853	138995583	ENSG00000241563	1	10449719	10451902	ortholog_one2one	50	52.381	100	88.02	0.3045	1.1285	1
MGP_CAROLIEiJ_G0014032	1	30916782	30926460	ENSG00000163121	2	96497643	96508109	ortholog_one2one	68.8976	66.7939	50	100.00	0.1864	1.1497	1
MGP_CAROLIEiJ_G0029051	6	143647761	143655059	ENSG00000123095	12	26120026	26125127	ortholog_one2one	78.0488	66.39	75	100.00	0.1277	0.675	1
MGP_CAROLIEiJ_G0023701	2	74340629	74378582	ENSG00000138434	2	181891833	181930738	ortholog_one2one	80.3671	79.9841	100	100.00	0.1215	0.6374	1
MGP_CAROLIEiJ_G0015571	10	74214444	74231272	ENSG00000160953	19	1354711	1378431	ortholog_one2one	60.9971	58.5091	100	92.96	0.2739	1.4352	1
MGP_CAROLIEiJ_G0019121	14	26712628	26803610	ENSG00000107779	10	86756601	86932838	ortholog_one2one	97.5564	97.5564	100	98.97	0.0115	0.4047	1
MGP_CAROLIEiJ_G0021810	17	53802779	53828080	ENSG00000125730	19	6677704	6730562	ortholog_one2one	77.4368	77.3903	100	100.00	0.1303	0.9327	1
MGP_CAROLIEiJ_G0032931	X	4018891	4148251	ENSG00000156313	X	38269163	38327564	ortholog_one2one	42.4301	38.1944	100	100.00	0.6035	1.1371	0
MGP_CAROLIEiJ_G0033191	X	70600112	70614027	ENSG00000130826	X	154762742	154777689	ortholog_one2one	88.4454	81.9066	75	95.81	0.0467	0.426	1
MGP_CAROLIEiJ_G0022736	19	9320241	9321312												
MGP_CAROLIEiJ_G0023094	19	53257649	53292583	ENSG00000165813	10	114120862	114174232	ortholog_one2one	81.5703	83.2962	100	100.00	0.0901	0.802	1
MGP_CAROLIEiJ_G0015566	10	74125345	74132537	ENSG00000099624	19	1241746	1244826	ortholog_one2one	87.5	87.5	100	100.00	0.0692	1.9668	1
MGP_CAROLIEiJ_G0026763	4	133075276	133081005												
MGP_CAROLIEiJ_G0014522	1	112213776	112290970	ENSG00000115107	2	119223831	119265652	ortholog_one2one	81.1787	85.743	100	51.55	0.0785	1.0494	1
MGP_CAROLIEiJ_G0025682	3	131899483	131904291												
MGP_CAROLIEiJ_G0024860	3	11040179	11090242	ENSG00000260861	20	1540144	1620009	ortholog_one2many	22.0994	45.1977	25	50.82	0.3809	0.7739	0
MGP_CAROLIEiJ_G0026178	4	88829664	88862869												
MGP_CAROLIEiJ_G0024578	2	149526921	149529316												
MGP_CAROLIEiJ_G0026890	4	145379863	145381610	ENSG00000178821	1	1917590	1919273	ortholog_one2one	72.9592	68.4211	100	100.00	0.1636	0.7644	1
MGP_CAROLIEiJ_G0026920	4	146002804	146022041	ENSG00000131591	1	1081818	1116361	ortholog_one2one	71.5	37.6316	100	79.33	0.1771	0.7648	0
MGP_CAROLIEiJ_G0031620	8	110671111	110725126	ENSG00000140943	16	84053761	84116906	ortholog_one2one	95.9125	95.9125	100	100.00	0.0207	0.5045	1
MGP_CAROLIEiJ_G0031640	8	111814393	111829598	ENSG00000131148	16	85771758	85799608	ortholog_one2one	93.7198	92.381	100	100.00	0.0299	0.8711	1
MGP_CAROLIEiJ_G0028617	6	83885926	83909051	ENSG00000172780	3	129087569	129122801	ortholog_one2one	91.4286	90.566	50	100.00	0.0415	0.9052	1
MGP_CAROLIEiJ_G0029695	7	47018530	47027112	ENSG00000142552	19	49527618	49546962	ortholog_one2one	92.3781	92.3781	100	67.16	0.0352	0.9618	1
MGP_CAROLIEiJ_G0016106	11	13128437	13156962	ENSG00000119865	2	68284171	68320051	ortholog_one2one	67.4699	68.2927	100	100.00	0.2197	1.0535	1
MGP_CAROLIEiJ_G0015299	10	40912969	41001650	ENSG00000187772	6	104936616	105083332	ortholog_one2one	79.3358	86	75	75.96	0.0691	0.4415	1
MGP_CAROLIEiJ_G0029554	7	30159212	30174034	ENSG00000105699	19	35248330	35267964	ortholog_one2one	81.2816	74.2681	100	77.42	0.1018	0.8291	1
MGP_CAROLIEiJ_G0016619	11	64915420	64921817	ENSG00000132514	17	7074537	7080307	ortholog_one2one	54.3689	17.7215	100	7.07	0.3	1.1743	0
