Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Chimpanzee gene stable ID	Chimpanzee chromosome/scaffold name	Chimpanzee chromosome/scaffold start (bp)	Chimpanzee chromosome/scaffold end (bp)	Chimpanzee homology type	%id. target Chimpanzee gene identical to query gene	%id. query gene identical to target Chimpanzee gene	Chimpanzee Gene-order conservation score	Chimpanzee Whole-genome alignment coverage	dN with Chimpanzee	dS with Chimpanzee	Chimpanzee orthology confidence [0 low, 1 high]
MGP_PahariEiJ_G0023972	22	29606392	29670311	ENSPTRG00000018440	6	102614405	102684013	ortholog_one2one	85.3301	98.0337	100	83.48	0.0087	0.3768	1
MGP_PahariEiJ_G0015985	11	45265833	45267688	ENSPTRG00000034409	5	61860219	61877475	ortholog_one2one	97.4026	97.4026	100	38.36	0.0114	0.5927	1
MGP_PahariEiJ_G0015361	10	80481394	80628557	ENSPTRG00000018377	6	85952521	86127342	ortholog_one2one	79.3478	75.0643	100	100.00	0.1212	0.4366	1
MGP_PahariEiJ_G0031221	9	53920396	54175623	ENSPTRG00000005165	12	26764602	27050028	ortholog_one2one	96.4912	96.3035	100	43.82	0.015	0.4852	1
MGP_PahariEiJ_G0028847	6	80362338	80386852												
MGP_PahariEiJ_G0019305	16	23086333	23148321	ENSPTRG00000019091	7	37073081	37122461	ortholog_one2one	63.2027	63.0952	100	65.44	0.2693	0.7023	1
MGP_PahariEiJ_G0015250	10	61914360	61917847												
MGP_PahariEiJ_G0024067	22	47730830	47759485	ENSPTRG00000023593	9	35749386	35773953	ortholog_one2one	88.75	88.75	100	57.37	0.0596	0.4386	1
MGP_PahariEiJ_G0020986	19	1484694	1492617	ENSPTRG00000011491	19	57564161	57571717	ortholog_one2one	90.6736	90.6736	100	100.00	0.047	0.8493	1
MGP_PahariEiJ_G0026428	4	46943125	46953424	ENSPTRG00000047496	17	21814067	21814335	ortholog_one2one	65.8824	82.3529	0		0.0847	0.6605	0
MGP_PahariEiJ_G0028792	6	76152742	76181460	ENSPTRG00000047980	1	36846184	36871175	ortholog_one2one	91.6667	87.5622	100		0.0286	0.5935	1
MGP_PahariEiJ_G0017791	14	38915498	38998606	ENSPTRG00000023499	19	50306066	50412840	ortholog_one2one	27.1825	25.5121	0		0.7701	60.805	0
MGP_PahariEiJ_G0028237	5	154920011	155049920	ENSPTRG00000002014	1	202377081	202520688	ortholog_one2one	91.4286	91.6155	100	100.00	0.0422	0.4133	1
MGP_PahariEiJ_G0016862	13	25120002	25142058	ENSPTRG00000014240	22	16919882	16942639	ortholog_one2one	98.1037	97.8562	100	19.62	0.0091	0.4823	1
MGP_PahariEiJ_G0031559	X	29902695	29909900	ENSPTRG00000051014	X	119876208	119878226	ortholog_one2one	87.9104	87.6488	75		0.0632	0.3173	1
MGP_PahariEiJ_G0025719	3	112005326	112043162	ENSPTRG00000012360	2A	110266987	110324802	ortholog_one2one	88.1081	88.1081	100	55.21	0.0722	0.3734	1
MGP_PahariEiJ_G0019877	17	39739229	39742723	ENSPTRG00000030920	8	145333956	145335146	ortholog_one2one	92.6768	92.6768	100	100.00	0.0326	2.2982	1
MGP_PahariEiJ_G0016294	12	16256273	16266207	ENSPTRG00000015694	3	188365528	188371864	ortholog_one2one	71.3483	71.9547	100		0.1777	0.3354	1
MGP_PahariEiJ_G0018215	14	65863590	65872650	ENSPTRG00000009102	17	17882471	17892230	ortholog_one2one	89.5327	86.3063	100		0.0538	0.6937	1
MGP_PahariEiJ_G0031358	9	82276958	82318622	ENSPTRG00000005329	12	99685931	99732130	ortholog_one2one	85.0227	85.1515	100	99.09	0.0862	0.4779	1
MGP_PahariEiJ_G0026704	4	82688113	82695048												
MGP_PahariEiJ_G0027500	5	52965134	52970876	ENSPTRG00000012918	2B	109300228	109307929	ortholog_one2one	98.4674	98.4674	100	100.00	0.0034	0.4959	1
MGP_PahariEiJ_G0017978	14	48248450	48533588	ENSPTRG00000008991	17	24350241	24727685	ortholog_one2one	97.1173	97.1173	100	38.65	0.0122	0.5175	1
MGP_PahariEiJ_G0017536	14	26482391	26483407	ENSPTRG00000030061	1	228024907	228025953	ortholog_many2many	75.7962	68.3908	50		0.1474	0.5234	0
MGP_PahariEiJ_G0017536	14	26482391	26483407	ENSPTRG00000023676	1	228202378	228203343	ortholog_many2many	74.8408	74.6032	75		0.142	0.5877	1
MGP_PahariEiJ_G0028003	5	134642337	134649917	ENSPTRG00000001690	1	151026369	151034245	ortholog_one2one	75.7143	75.7143	100	100.00	0.1319	0.4138	1
MGP_PahariEiJ_G0019575	16	52511979	52536679	ENSPTRG00000044749	4	169569866	169575828	ortholog_one2many	48.2403	57.7002	0		0.2813	0.656	0
MGP_PahariEiJ_G0019575	16	52511979	52536679	ENSPTRG00000021109	9	70002622	70030549	ortholog_one2many	62.9185	62.7032	50	55.43	0.2304	0.5574	0
MGP_PahariEiJ_G0018430	14	72640407	72700804	ENSPTRG00000009508	17	62060549	62126458	ortholog_one2one	90.2637	90.2637	75	98.01	0.0469	0.6639	1
MGP_PahariEiJ_G0026775	4	85355289	85358278	ENSPTRG00000001277	1	129124682	129125236	ortholog_one2one	94.5652	94.5652	100	100.00	0.0302	1.0015	1
MGP_PahariEiJ_G0031481	X	3979718	3984387	ENSPTRG00000047112	X	38890024	38890575	ortholog_one2one	86.8852	86.8852	50	100.00	0.0617	0.7792	1
MGP_PahariEiJ_G0030520	8	64131604	64164379	ENSPTRG00000005860	10	33934903	33935397	ortholog_many2many	84.7059	87.8049	0		0.0652	0.8006	0
MGP_PahariEiJ_G0030520	8	64131604	64164379	ENSPTRG00000042329	13	33026897	33035393	ortholog_many2many	84.7059	87.8049	50	98.57	0.0651	0.774	1
MGP_PahariEiJ_G0027179	4	133957144	133993147	ENSPTRG00000000900	1	84820373	84836611	ortholog_one2one	70.4225	69.2521	75	100.00	0.1974	0.5588	1
MGP_PahariEiJ_G0026929	4	95719301	95737493	ENSPTRG00000049663	1	124805557	124815572	ortholog_one2many	62.877	58.1545	100		0.2415	0.8171	1
MGP_PahariEiJ_G0019527	16	44269481	44437625	ENSPTRG00000017727	6	11273693	11406918	ortholog_one2one	87.9952	87.3659	50	76.63	0.0647	0.6489	1
MGP_PahariEiJ_G0014473	1	155068605	155111680	ENSPTRG00000002832	10	101090236	101138011	ortholog_one2one	93.7086	93.5537	100	81.03	0.0352	0.5239	1
MGP_PahariEiJ_G0016046	11	57039691	57048807	ENSPTRG00000040193	10	121423866	121427601	ortholog_one2many	21.0714	71.9512	0		0.2228	1.1151	0
MGP_PahariEiJ_G0016046	11	57039691	57048807	ENSPTRG00000016783	5	79462438	79469729	ortholog_one2many	90	89.3617	100	100.00	0.0531	0.4644	1
MGP_PahariEiJ_G0025550	3	99373676	99579773	ENSPTRG00000006901	15	17253057	17462940	ortholog_one2one	99.3711	99.3711	100	100.00	0.0029	0.1883	1
MGP_PahariEiJ_G0018288	14	67525252	67529479												
MGP_PahariEiJ_G0019522	16	44057128	44065944	ENSPTRG00000017724	6	10950132	10959686	ortholog_one2one	68.254	67.9842	100		0.2037	0.517	1
MGP_PahariEiJ_G0016517	12	50341721	50406769	ENSPTRG00000015164	3	103299301	103401650	ortholog_one2one	71.301	70.138	100	94.19	0.2061	0.6052	1
MGP_PahariEiJ_G0025519	3	95624424	95625386	ENSPTRG00000047900	15	82911482	82912420	ortholog_one2one	84.0625	86.2179	75		0.082	0.5847	1
MGP_PahariEiJ_G0014954	10	37530834	37626789	ENSPTRG00000004395	11	121509033	121568789	ortholog_one2one	93.4389	97.4057	100	77.15	0.0124	0.5775	1
MGP_PahariEiJ_G0023567	21	20733934	20737701	ENSPTRG00000044934	16	803469	807554	ortholog_one2one	46.2243	46.1187	100	100.00	0.4532	1.2371	0
MGP_PahariEiJ_G0028805	6	77351236	77378824	ENSPTRG00000000532	1	35414029	35445473	ortholog_one2one	93.4192	70.9012	100	100.00	0.0432	0.4345	1
MGP_PahariEiJ_G0023199	20	40115740	40141762												
MGP_PahariEiJ_G0027995	5	133910168	133938858	ENSPTRG00000001698	1	152224941	152258773	ortholog_one2one	83.9204	84.9612	100	37.11	0.0853	0.5048	1
MGP_PahariEiJ_G0024260	23	11327081	11340071	ENSPTRG00000005470	12	115239216	115270485	ortholog_one2one	75	74.2268	100		0.1513	0.556	1
MGP_PahariEiJ_G0029369	7	9273867	9278557												
MGP_PahariEiJ_G0027135	4	126421958	126561106	ENSPTRG00000016299	4	100913972	101098376	ortholog_one2one	95.2224	95.0658	100	42.80	0.0246	0.4148	1
MGP_PahariEiJ_G0025331	3	74056908	74057846	ENSPTRG00000050737	11	55095167	55096279	ortholog_one2many	69.8718	58.7601	50		0.1899	0.7542	0
MGP_PahariEiJ_G0031444	X	1834625	1853127	ENSPTRG00000021880	X	49192495	49209048	ortholog_one2one	89.3482	85.0227	100	99.60	0.0605	0.4461	1
MGP_PahariEiJ_G0023227	20	42994699	43026347	ENSPTRG00000008419	16	75769059	75826604	ortholog_one2one	92.9577	80.9816	100		0.0327	1.1141	1
MGP_PahariEiJ_G0021001	19	1766630	1786492	ENSPTRG00000049040	19	57845375	57850679	ortholog_one2one	44.8148	88	75	100.00	0.0699	0.6654	0
MGP_PahariEiJ_G0024280	23	12203391	12231430	ENSPTRG00000029541	12	113664268	113705750	ortholog_one2one	68.9713	69.0878	100	92.41	0.2045	0.7752	1
MGP_PahariEiJ_G0017704	14	37405880	37422666	ENSPTRG00000008705	17	7961930	7979039	ortholog_one2one	78.0488	75.9124	100		0.1349	0.5553	1
MGP_PahariEiJ_G0021892	2	43207356	43726213	ENSPTRG00000019632	7	126839597	127411950	ortholog_one2one	95.6288	95.7757	100	100.00	0.0189	0.4318	1
MGP_PahariEiJ_G0014530	1	157926470	157947727	ENSPTRG00000002898	10	104169196	104190956	ortholog_one2one	90.0621	90.0621	100	63.23	0.0463	0.712	1
MGP_PahariEiJ_G0014228	1	123776180	123820497	ENSPTRG00000048858	11	59560779	59610731	ortholog_one2one	96.5398	96.2069	100		0.0207	0.4873	1
MGP_PahariEiJ_G0028680	6	68165643	68237770	ENSPTRG00000000665	1	44376370	44527929	ortholog_one2one	92.4883	87.1681	100	19.05	0.0368	0.364	1
MGP_PahariEiJ_G0017608	14	29519294	29525300	ENSPTRG00000008867	17	37097214	37103879	ortholog_one2one	92.2604	92.0343	100		0.0381	0.5507	1
MGP_PahariEiJ_G0031885	X	94896308	94901852												
MGP_PahariEiJ_G0015977	11	43806741	43833064	ENSPTRG00000016868	5	60095014	60123868	ortholog_one2one	83.5772	86.9712	100	55.33	0.07	1.227	1
MGP_PahariEiJ_G0030939	9	44051672	44059260	ENSPTRG00000010141	19	174646	185365	ortholog_one2one	84.058	75.0809	50		0.096	0.9158	0
MGP_PahariEiJ_G0026527	4	70436709	70538341	ENSPTRG00000016555	4	162666143	162803651	ortholog_one2one	75.2022	71.7224	100	14.43	0.1597	0.5745	1
MGP_PahariEiJ_G0025457	3	88070242	88126480												
MGP_PahariEiJ_G0021524	19	70536731	70635791	ENSPTRG00000016609	4	179879022	180253710	ortholog_one2one	99.2806	99.2806	100	74.93	0.0034	0.3587	1
MGP_PahariEiJ_G0026735	4	83271978	83273271												
MGP_PahariEiJ_G0013084	1	45694846	45769389	ENSPTRG00000049717	15	73235043	73305322	ortholog_one2one	97.0667	97.0667	75	100.00	0.0144	0.4245	1
MGP_PahariEiJ_G0028362	6	7128091	7140182	ENSPTRG00000021217	9	82575365	82587939	ortholog_many2many	82.9959	82.9959	75		0.0944	0.5286	1
MGP_PahariEiJ_G0028362	6	7128091	7140182	ENSPTRG00000021218	9	82591551	82605591	ortholog_many2many	77.7328	77.7328	50		0.1287	0.5348	0
MGP_PahariEiJ_G0027054	4	112882701	112892505												
MGP_PahariEiJ_G0028551	6	53881302	53903819	ENSPTRG00000050524	1	66739901	66767332	ortholog_one2one	63.5838	61.4525	100		0.3011	0.7672	1
MGP_PahariEiJ_G0022532	2	133296739	133299310												
MGP_PahariEiJ_G0017874	14	43163621	43171632	ENSPTRG00000008536	17	1744153	1754930	ortholog_one2one	74.1344	74.1344	100	97.41	0.154	0.5865	1
MGP_PahariEiJ_G0030382	8	50297840	50308004	ENSPTRG00000005874	13	34499828	34538478	ortholog_one2many	51.8828	37.4622	75	100.00	0.2952	0.512	0
MGP_PahariEiJ_G0027902	5	113359209	113531996	ENSPTRG00000001809	1	176031151	176254298	ortholog_one2one	76.0142	75.9602	100	68.53	0.1417	0.4611	1
MGP_PahariEiJ_G0029153	6	99585961	99600278	ENSPTRG00000049552	13	45344200	45345438	ortholog_one2many	47.5845	86.4035	0		0.0829	0.5559	0
MGP_PahariEiJ_G0029153	6	99585961	99600278	ENSPTRG00000048576	AACZ04050857.1	23810	36616	ortholog_one2many	95.8937	95.8937	50		0.0189	0.5426	0
MGP_PahariEiJ_G0029153	6	99585961	99600278	ENSPTRG00000000136	1	10463719	10476430	ortholog_one2many	95.8937	95.8937	100		0.0189	0.5426	1
MGP_PahariEiJ_G0029153	6	99585961	99600278	ENSPTRG00000052781	2B	129364765	129366646	ortholog_one2many	50	84.1463	0		0.0789	0.5898	0
MGP_PahariEiJ_G0023758	21	41737006	41819272	ENSPTRG00000029383	6	142736697	142845552	ortholog_one2one	55.5806	54.5354	100	44.82			1
MGP_PahariEiJ_G0023367	21	4370747	4464669	ENSPTRG00000018769	6	164684035	164793591	ortholog_one2one	88.0218	87.2302	100	76.33	0.065	0.5636	1
MGP_PahariEiJ_G0030663	9	5610104	5806940	ENSPTRG00000018511	6	115277578	115377322	ortholog_one2one	90.5085	99.4413	100	70.00	0.0025	0.3107	1
MGP_PahariEiJ_G0017405	14	17631553	17637435												
MGP_PahariEiJ_G0016705	12	87152384	87166239	ENSPTRG00000013915	21	25877833	25895229	ortholog_one2one	94.2529	94.2529	100	0.90	0.0288	0.8077	1
MGP_PahariEiJ_G0028627	6	62566491	62610729												
MGP_PahariEiJ_G0021060	19	9841390	9848477	ENSPTRG00000011598	19	61266253	61272871	ortholog_one2one	93.4132	93.4132	100		0.0301	0.7651	1
MGP_PahariEiJ_G0023804	21	46901472	46907038												
MGP_PahariEiJ_G0013447	1	75821151	75849952	ENSPTRG00000003290	11	6247833	6273213	ortholog_one2one	94.7581	93.75	100	100.00	0.0322	0.5318	1
MGP_PahariEiJ_G0012901	1	17508699	17532579	ENSPTRG00000034260	19	52126370	52165918	ortholog_one2one	64.6875	70.2886	75	100.00	0.1785	1.6509	1
MGP_PahariEiJ_G0022629	2	140214621	140250278	ENSPTRG00000004580	12	6877858	6915460	ortholog_one2one	98.0107	95.3452	100		0.0065	0.4401	1
MGP_PahariEiJ_G0031875	X	93227673	93248856	ENSPTRG00000022058	X	79466691	79488036	ortholog_one2one	70.6215	72.1154	100	99.06	0.171	0.4297	1
MGP_PahariEiJ_G0027781	5	102766337	102813738	ENSPTRG00000012497	2B	25433952	25489462	ortholog_one2one	79.1192	79.2423	100	100.00	0.1247	0.7531	1
MGP_PahariEiJ_G0012725	1	2851739	2864659												
MGP_PahariEiJ_G0026274	4	2040097	2060055	ENSPTRG00000020359	8	78257249	78258166	ortholog_one2one	87.8689	87.8689	100		0.0662	0.4838	1
MGP_PahariEiJ_G0024566	23	34164632	34248120	ENSPTRG00000019433	7	101012897	101115647	ortholog_one2many	77.8976	76.9128	100	83.69	0.1292	0.7511	1
MGP_PahariEiJ_G0024566	23	34164632	34248120	ENSPTRG00000046742	KV420882.1	314522	417217	ortholog_one2many	77.8976	76.9128	100	100.00	0.1292	0.7511	1
MGP_PahariEiJ_G0019807	17	21032567	21174593	ENSPTRG00000020537	8	122124752	122307510	ortholog_one2one	97.5369	96.8215	100	59.56	0.0109	0.5513	1
MGP_PahariEiJ_G0012691	1	1737124	1739655	ENSPTRG00000010948	19	40946064	40948534	ortholog_one2one	83.4532	84.058	100		0.0885	3.3655	1
MGP_PahariEiJ_G0022776	2	153055389	153072077	ENSPTRG00000004737	14	6949434	6949901	ortholog_one2many	81.9355	81.9355	0		0.1042	1.0837	0
MGP_PahariEiJ_G0022776	2	153055389	153072077	ENSPTRG00000049907	12	16978796	17000806	ortholog_one2many	81.2903	81.2903	75	99.86	0.1073	1.0868	1
MGP_PahariEiJ_G0019899	17	40590543	40606042	ENSPTRG00000020648	8	145899466	145902257	ortholog_one2one	88.75	88.1988	100	100.00	0.0588	0.5003	1
MGP_PahariEiJ_G0031311	9	72443719	72465061	ENSPTRG00000005272	12	87806709	87828454	ortholog_one2one	96.6258	96.6258	100	100.00	0.0152	0.4388	1
MGP_PahariEiJ_G0019631	16	58222124	58240022	ENSPTRG00000017587	5	178164159	178178324	ortholog_one2one	90.372	89.9782	100		0.0503	0.8195	1
MGP_PahariEiJ_G0027313	5	19513343	19524920	ENSPTRG00000030401	2A	99465750	99478891	ortholog_one2one	64.2384	63.3987	75		0.2104	0.4417	1
MGP_PahariEiJ_G0031533	X	28466730	28474622	ENSPTRG00000022220	X	118848161	118856380	ortholog_one2one	95.3846	95.3846	75		0.0204	0.3882	1
MGP_PahariEiJ_G0029766	7	92792506	92800553	ENSPTRG00000047008	14	72810950	72811963	ortholog_one2one	78.635	78.635	100	49.77	0.1255	0.8028	1
MGP_PahariEiJ_G0022486	2	129350303	129362157	ENSPTRG00000014612	3	10359803	10371422	ortholog_one2one	98.6667	98.6667	100	100.00	0.0055	0.3557	1
MGP_PahariEiJ_G0016779	13	11475971	11614800	ENSPTRG00000011994	2A	67820358	67960755	ortholog_one2one	98.9247	98.9247	100	100.00	0.005	0.1289	1
MGP_PahariEiJ_G0021853	2	29685348	29887950	ENSPTRG00000051077	7	6701044	6994969	ortholog_one2many	66.0377	76.6423	75	63.24	0.1271	0.4304	1
MGP_PahariEiJ_G0025576	3	102552967	102575130	ENSPTRG00000006927	15	21203392	21222775	ortholog_one2one	84.0426	84.0426	100	49.21	0.0839	0.4603	1
MGP_PahariEiJ_G0014030	1	116469740	116484437	ENSPTRG00000003918	11	66386276	66391082	ortholog_one2one	97.0085	97.0085	100	100.00	0.0148	1.6645	1
MGP_PahariEiJ_G0019828	17	24596873	24639772	ENSPTRG00000020565	8	126724075	126785028	ortholog_one2one	91.8803	80.5243	100	21.14	0.0382	0.2829	1
MGP_PahariEiJ_G0031082	9	47078527	47079793												
MGP_PahariEiJ_G0024720	3	12441600	12442987	ENSPTRG00000021599	9	115585237	115586988	ortholog_one2one	96.6387	96.6387	100	76.43	0.0148	1.5693	1
MGP_PahariEiJ_G0014519	1	157477929	157490597	ENSPTRG00000002886	10	103684545	103696531	ortholog_one2one	98.0132	98.0132	100	100.00	0.0071	0.9962	1
MGP_PahariEiJ_G0027532	5	53744350	53762220	ENSPTRG00000012952	2B	110208926	110228856	ortholog_one2one	87.3727	87.6404	100	90.61	0.0659	0.4757	1
MGP_PahariEiJ_G0023184	20	35299458	35311423	ENSPTRG00000008362	16	66560180	66571749	ortholog_one2one	100	100	100		0	0	1
MGP_PahariEiJ_G0030216	8	41197589	41211848												
MGP_PahariEiJ_G0020240	17	63155403	63172067	ENSPTRG00000041051	12	41173576	41224640	ortholog_one2one	78.626	78.626	100		0.1215	0.7329	1
MGP_PahariEiJ_G0031913	X	107031421	107057747												
MGP_PahariEiJ_G0026714	4	82853158	82853391												
MGP_PahariEiJ_G0018436	14	73325405	73347080	ENSPTRG00000009514	17	62998510	63021933	ortholog_one2one	89.4737	85.5131	100	67.72	0.0523	0.6324	1
MGP_PahariEiJ_G0024414	23	25536048	25550333	ENSPTRG00000045639	KV420890.1	91898	107400	ortholog_one2many	88.2231	87.6797	75		0.0613	1.0841	1
MGP_PahariEiJ_G0024414	23	25536048	25550333	ENSPTRG00000019269	7	75945206	75964321	ortholog_one2many	88.2231	87.6797	100		0.0613	1.0841	1
MGP_PahariEiJ_G0017015	13	54704283	54864976	ENSPTRG00000015976	4	37630499	37831840	ortholog_one2one	94.5465	94.5465	100	92.52	0.0267	0.531	1
MGP_PahariEiJ_G0019774	17	8658259	8663120	ENSPTRG00000020502	8	108731448	108742422	ortholog_one2one	80	78.7402	75		0.1166	0.5734	1
MGP_PahariEiJ_G0028212	5	152895636	152927034	ENSPTRG00000002046	1	205164529	205206648	ortholog_one2one	88.1905	87.6894	100	55.28	0.0623	0.4647	1
MGP_PahariEiJ_G0028127	5	144781771	144818333	ENSPTRG00000001542	1	138295058	138330249	ortholog_one2one	83.2364	83.4791	75	96.79	0.101	0.7104	1
MGP_PahariEiJ_G0016904	13	27158565	27174207	ENSPTRG00000015836	4	2061591	2077166	ortholog_one2one	92.394	91.7079	100		0.0349	1.172	1
MGP_PahariEiJ_G0012783	1	3795466	3811305	ENSPTRG00000010840	19	37238597	37294032	ortholog_one2one	59.5597	60.6848	100	16.02	0.2835	0.9606	1
MGP_PahariEiJ_G0030005	8	12100564	12150199												
MGP_PahariEiJ_G0024216	23	5898916	5943480	ENSPTRG00000040726	12	122808779	122866363	ortholog_one2one	68.8889	85.3211	100	63.58	0.0761	0.7545	1
MGP_PahariEiJ_G0016657	12	82083727	82114317	ENSPTRG00000043084	KV421332.1	125818	163727	ortholog_one2many	95.4298	95.6379	75	100.00	0.0207	0.4372	1
MGP_PahariEiJ_G0016657	12	82083727	82114317	ENSPTRG00000013861	21	19172304	19210221	ortholog_one2many	95.4298	95.6379	100	100.00	0.0207	0.4372	1
MGP_PahariEiJ_G0015005	10	40189527	40212199	ENSPTRG00000004336	11	118675218	118700859	ortholog_one2one	88.5593	88.9362	100	11.57	0.0636	0.5653	1
MGP_PahariEiJ_G0026953	4	97284679	97286628												
MGP_PahariEiJ_G0017077	13	63725535	63771596	ENSPTRG00000016049	4	83011023	83087363	ortholog_one2one	82.5465	82.5465	100	90.97	0.0959	0.6269	1
MGP_PahariEiJ_G0025762	3	114175769	114188773	ENSPTRG00000013200	20	3530698	3545375	ortholog_one2one	70.9068	69.2497	100		0.1861	0.8197	1
MGP_PahariEiJ_G0031195	9	49801410	49806479	ENSPTRG00000022781	12	32296544	32300455	ortholog_one2one	91.0714	79.6875	100	100.00	0.0442	0.3528	1
MGP_PahariEiJ_G0028355	6	6571760	6618108	ENSPTRG00000021207	9	81920874	81968055	ortholog_one2one	92.0235	91.5622	100	99.84	0.0403	0.4663	1
MGP_PahariEiJ_G0012792	1	3979677	3988161	ENSPTRG00000010829	19	37060392	37070747	ortholog_one2one	73.8636	45.4545	100	97.06	0.1668	1.5706	0
MGP_PahariEiJ_G0016888	13	26156565	26163255												
MGP_PahariEiJ_G0024777	3	13754765	13796838												
MGP_PahariEiJ_G0017009	13	45922416	46021707	ENSPTRG00000015970	4	27019501	27190337	ortholog_one2one	97.3384	97.3384	100	30.96	0.0126	0.3143	1
MGP_PahariEiJ_G0016022	11	53346015	53447148	ENSPTRG00000045930	5	74970981	75132671	ortholog_one2one	75.0861	77.9499	100	60.59	0.1247	0.5862	1
MGP_PahariEiJ_G0024361	23	19620238	19647589	ENSPTRG00000005641	12	135573672	135605813	ortholog_one2one	84.6021	80.9603	50		0.0885	1.1116	0
MGP_PahariEiJ_G0022138	2	70842523	70849908	ENSPTRG00000019017	7	26328259	26335111	ortholog_one2many	91.2664	90.8696	100	100.00	0.0386	0.3725	1
MGP_PahariEiJ_G0022138	2	70842523	70849908	ENSPTRG00000047796	KV420913.1	223032	224849	ortholog_one2many	91.2664	90.8696	100	100.00	0.0386	0.3725	1
MGP_PahariEiJ_G0030224	8	41371782	41378318	ENSPTRG00000006085	AACZ04046261.1	5499	6473	ortholog_one2many	87.8594	84.8765	25		0.0733	0.488	0
