Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Macaque gene stable ID	Macaque chromosome/scaffold name	Macaque chromosome/scaffold start (bp)	Macaque chromosome/scaffold end (bp)	Macaque homology type	%id. target Macaque gene identical to query gene	%id. query gene identical to target Macaque gene	Macaque Gene-order conservation score	Macaque Whole-genome alignment coverage	dN with Macaque	dS with Macaque	Macaque orthology confidence [0 low, 1 high]
MGP_CAROLIEiJ_G0029143	7	1696978	1709633	ENSMMUG00000043621	19	53566338	53569512	ortholog_one2many	85.6333	87.2832	75		0.0594	1.3351	1
MGP_CAROLIEiJ_G0018253	13	14932753	14957897	ENSMMUG00000044379	3	70795847	70826098	ortholog_one2one	78.5714	80.7339	100	100.00	0.0975	0.7307	1
MGP_CAROLIEiJ_G0028743	6	109393641	109428107	ENSMMUG00000005917	2	55270131	55291831	ortholog_one2one	97.9967	97.9967	100	80.47	0.0093	0.8119	1
MGP_CAROLIEiJ_G0030036	7	102535218	102597235	ENSMMUG00000021039	14	66975094	67078086	ortholog_one2one	75.1908	73.875	75	96.75	0.1591	0.5076	1
MGP_CAROLIEiJ_G0021718	17	44974847	44984915	ENSMMUG00000003674	4	42237360	42257124	ortholog_one2one	35.9649	33.3333	100		0.6946	0.9177	0
MGP_CAROLIEiJ_G0022258	18	43727538	43736889												
MGP_CAROLIEiJ_G0030557	7	132540342	132581376	ENSMMUG00000012044	9	117957304	117977651	ortholog_one2one	62.2047	67.5214	100		0.2484	0.6432	1
MGP_CAROLIEiJ_G0016585	11	64418614	64421572												
MGP_CAROLIEiJ_G0025953	4	37816584	37818035	ENSMMUG00000016342	15	48348488	48348838	ortholog_one2one	55.0459	51.7241	100		0.3642	0.934	1
MGP_CAROLIEiJ_G0024060	2	104328989	104329927												
MGP_CAROLIEiJ_G0031909	9	18492742	18899258	ENSMMUG00000002886	3	74464661	74954547	ortholog_one2one	77.7778	14.2052	50	50.42	0.1571	0.9298	0
MGP_CAROLIEiJ_G0019833	15	56006532	56011549	ENSMMUG00000014601	8	127089827	127097896	ortholog_one2one	90.3084	90.1099	75	36.64	0.0467	0.7149	1
MGP_CAROLIEiJ_G0020012	15	73347718	73359115	ENSMMUG00000045506	10	80221275	80235392	ortholog_one2one	89.7436	85.3659	100		0.0482	0.7762	1
MGP_CAROLIEiJ_G0015559	10	73978450	73997375	ENSMMUG00000015303	19	810968	835582	ortholog_one2one	76.6036	77.2812	100		0.1436	1.2188	1
MGP_CAROLIEiJ_G0032748	9	106198078	106200404												
MGP_CAROLIEiJ_G0031328	8	76419182	76419577												
MGP_CAROLIEiJ_G0016045	11	1905187	1915828	ENSMMUG00000021376	10	71114053	71120440	ortholog_one2one	87.1681	86.7841	75	100.00	0.0666	0.7154	1
MGP_CAROLIEiJ_G0018461	13	36954503	36955335												
MGP_CAROLIEiJ_G0017054	11	93138361	93174209	ENSMMUG00000020531	16	44029147	44079103	ortholog_one2one	97.5779	90.0958	100	66.24	0.0111	0.3282	1
MGP_CAROLIEiJ_G0030669	7	143143585	143144869	ENSMMUG00000004626	14	110278	111605	ortholog_one2one	79.8507	81.0606	75		0.1019	0.8995	1
MGP_CAROLIEiJ_G0014403	1	81562368	81643107	ENSMMUG00000013808	12	117525709	117587477	ortholog_one2one	92.3077	92.2118	100	100.00	0.0366	0.933	1
MGP_CAROLIEiJ_G0015303	10	45955257	46041925	ENSMMUG00000022285	4	98925024	98999859	ortholog_one2one	96.2092	96.0835	25	91.96	0.0196	0.56	1
MGP_CAROLIEiJ_G0031685	8	114420621	114435926	ENSMMUG00000002506	20	74584903	74600170	ortholog_one2one	71.8241	81.8182	100	88.26	0.096	0.7713	1
MGP_CAROLIEiJ_G0016259	11	43886286	43939884												
MGP_CAROLIEiJ_G0028055	5	143168365	143190691	ENSMMUG00000013707	17	10687783	10713878	ortholog_one2one	89.8601	90.493	100	50.26	0.0551	0.7182	1
MGP_CAROLIEiJ_G0020137	15	80129207	80171844	ENSMMUG00000020950	10	88921990	88980676	ortholog_one2one	84.9341	81.7029	100		0.0876	0.9258	1
MGP_CAROLIEiJ_G0029911	7	83459382	83469791	ENSMMUG00000002403	7	62789930	62801432	ortholog_one2one	79.0795	50.8064	75	48.63	0.125	0.3656	1
MGP_CAROLIEiJ_G0018945	14	1518907	1540952	ENSMMUG00000006231	2	83481796	83546534	ortholog_one2one	91.6667	75.4286	100	1.38	0.037	1.1824	1
MGP_CAROLIEiJ_G0028068	6	21391	62101	ENSMMUG00000004456	3	118509987	118546802	ortholog_one2one	86.1771	86.3636	50	100.00	0.0789	0.4786	1
MGP_CAROLIEiJ_G0028075	6	983823	1020458	ENSMMUG00000039654	3	119752300	119788038	ortholog_one2one	89.8688	90.2635	100	98.46	0.0605	0.3787	1
MGP_CAROLIEiJ_G0026630	4	124525533	124557051	ENSMMUG00000011156	1	24123094	24181671	ortholog_one2one	59.0909	59.2326	100		0.3311	0.7054	1
MGP_CAROLIEiJ_G0031486	8	96691836	96758731												
MGP_CAROLIEiJ_G0018440	13	33507728	33553321	ENSMMUG00000014784	4	7611151	7658867	ortholog_one2one	73.8467	95.4709	50	94.54	0.0214	0.7183	1
MGP_CAROLIEiJ_G0029345	7	23940251	23944430	ENSMMUG00000003568	19	38679161	38682878	ortholog_one2one	50.4	48.8372	50	31.93	0.4095	1.0148	0
MGP_CAROLIEiJ_G0018346	13	19763416	19763805												
MGP_CAROLIEiJ_G0029482	7	28530537	28544343	ENSMMUG00000003493	19	33924140	33938872	ortholog_one2one	96.2312	98.2051	100	54.98	0.0108	0.4123	1
MGP_CAROLIEiJ_G0021439	17	30361345	30368150	ENSMMUG00000003858	4	34037565	34044797	ortholog_one2one	88.2353	94.7047	100	100.00	0.0167	0.2998	1
MGP_CAROLIEiJ_G0013949	1	7082427	7385938	ENSMMUG00000016023	8	66110785	66390503	ortholog_one2one	90.9262	92.0203	100	89.73	0.0389	0.6723	1
MGP_CAROLIEiJ_G0025314	3	88656015	88670157	ENSMMUG00000016952	1	126220670	126234686	ortholog_one2one	90.4665	96.3283	100	100.00	0.0169	0.3655	1
MGP_CAROLIEiJ_G0020589	16	17878471	17883109	ENSMMUG00000007524	2	108674493	108682203	ortholog_one2one	80.6667	70.7602	100		0.1382	1.0692	1
MGP_CAROLIEiJ_G0024019	2	97072795	97106301	ENSMMUG00000021643	14	31806006	31855945	ortholog_one2one	86.2801	97.1338	100	27.15	0.0132	0.3611	1
MGP_CAROLIEiJ_G0022819	19	19300245	20137321	ENSMMUG00000006156	15	86727513	87637582	ortholog_one2one	94.7705	93.2	100	44.26	0.0296	0.4658	1
MGP_CAROLIEiJ_G0023051	19	43783555	43817294	ENSMMUG00000007061	9	99260846	99266448	ortholog_one2one	92.5697	92.5697	100	100.00	0.0403	1.1523	1
MGP_CAROLIEiJ_G0023610	2	62001429	62080557	ENSMMUG00000013251	12	53875193	54222814	ortholog_one2one	63.0383	67.2113	100	94.17	0.1685	0.6501	1
MGP_CAROLIEiJ_G0028756	6	110832084	110874503	ENSMMUG00000010276	2	53667044	53685430	ortholog_one2one	41.8605	80.597	75		0.1019	0.6534	0
MGP_CAROLIEiJ_G0019002	14	13702409	13799287	ENSMMUG00000020823	9	58244942	58371632	ortholog_one2one	98.9681	93.0335	100	64.64	0.0044	0.3797	1
MGP_CAROLIEiJ_G0015333	10	52878078	52981921	ENSMMUG00000009156	13	104189892	104258034	ortholog_one2one	72.4747	79.2818	75		0.1011	0.9543	1
MGP_CAROLIEiJ_G0025222	3	82761036	82819042	ENSMMUG00000010810	1	128832313	128891814	ortholog_one2one	91.3669	88.6562	75	46.02	0.0326	0.2394	1
MGP_CAROLIEiJ_G0027913	5	131021860	131028127												
MGP_CAROLIEiJ_G0015623	10	75181946	75183160												
MGP_CAROLIEiJ_G0031234	8	66955877	66965868												
MGP_CAROLIEiJ_G0023149	2	1851962	1896668	ENSMMUG00000005601	9	13184907	13218373	ortholog_one2one	76.8836	73.7274	100	13.75	0.13	0.7311	1
MGP_CAROLIEiJ_G0024720	2	160196493	160218090	ENSMMUG00000000683	10	13379722	13390104	ortholog_one2one	92.8016	92.9825	100	100.00	0.03	1.8501	1
MGP_CAROLIEiJ_G0021325	17	24431030	24439313	ENSMMUG00000015385	4	36732033	36749558	ortholog_one2one	98.1735	98.1735	100	85.51	0.0077	0.9834	1
MGP_CAROLIEiJ_G0015434	10	68994723	69044833	ENSMMUG00000001776	10	65015402	65072020	ortholog_one2one	98.3099	98.3099	50	97.13	0.0068	0.9244	1
MGP_CAROLIEiJ_G0014837	1	160448717	160470872	ENSMMUG00000019513	1	137274416	137301888	ortholog_one2one	98.7879	77.8043	100		0.0056	0.3194	1
MGP_CAROLIEiJ_G0025936	4	37571601	37573233	ENSMMUG00000047202	15	48609912	48613748	ortholog_one2one	67.7778	57.5472	100	100.00	0.169	0.6068	1
MGP_CAROLIEiJ_G0033170	X	69031721	69090754	ENSMMUG00000018704	X	147508616	147577240	ortholog_one2one	89.2216	88.8668	100	46.55	0.0434	0.4306	1
MGP_CAROLIEiJ_G0020003	15	73072345	73091445	ENSMMUG00000019785	10	79857335	79898935	ortholog_one2one	98.227	89.0675	100		0.0093	1.0217	1
MGP_CAROLIEiJ_G0031133	8	62358402	62375060	ENSMMUG00000018368	19	19242857	19250737	ortholog_one2many	69.341	67.036	100		0.1977	1.0982	1
MGP_CAROLIEiJ_G0015533	10	73647208	73654429	ENSMMUG00000008590	19	262250	273035	ortholog_one2one	78.5479	85.3047	100	100.00	0.0795	2.2062	1
MGP_CAROLIEiJ_G0025126	3	78984943	79575672	ENSMMUG00000047467	5	150756082	150763572	ortholog_one2many	3.43378	79.0323	25		0.1482	0.7326	0
MGP_CAROLIEiJ_G0025126	3	78984943	79575672	ENSMMUG00000002212	5	150123853	150431504	ortholog_one2many	25.1577	94.723	25	72.00	0.0247	0.5054	0
MGP_CAROLIEiJ_G0025126	3	78984943	79575672	ENSMMUG00000046574	5	150928446	150928673	ortholog_one2many	2.41766	92	50		0.0339	0.2564	0
MGP_CAROLIEiJ_G0026770	4	134195967	134214425	ENSMMUG00000021870	1	12047400	12062878	ortholog_one2one	75	75.7732	75	35.52	0.1545	0.6578	1
MGP_CAROLIEiJ_G0016953	11	84247322	84267720	ENSMMUG00000005790	16	32756742	32783610	ortholog_one2one	72.2835	72.8571	100	86.79	0.1662	1.0667	1
MGP_CAROLIEiJ_G0032788	9	113915752	113995845	ENSMMUG00000021918	2	105399471	105519056	ortholog_one2one	71.7042	69.347	50	63.11	0.1994	0.9818	0
MGP_CAROLIEiJ_G0019778	15	41786311	42983212	ENSMMUG00000007342	8	111229077	112498512	ortholog_one2one	95.14	96.1699	75	100.00	0.0094	0.4657	1
MGP_CAROLIEiJ_G0030602	7	137702181	137852211	ENSMMUG00000005383	9	124175866	124203304	ortholog_one2many	74.535	75.289	100	84.22	0.1577	1.2628	1
MGP_CAROLIEiJ_G0030602	7	137702181	137852211	ENSMMUG00000046132	KQ743522.1	35599	52229	ortholog_one2many	21.7453	82.1622	0		0.0974	0.8344	0
MGP_CAROLIEiJ_G0023471	2	30758708	30776955												
MGP_CAROLIEiJ_G0018021	12	94817343	94827713												
MGP_CAROLIEiJ_G0020379	15	97247862	97267023	ENSMMUG00000003758	11	53144867	53180582	ortholog_one2one	81.3472	79.2929	100		0.1431	0.4201	1
MGP_CAROLIEiJ_G0021652	17	42355501	42382700	ENSMMUG00000016230	4	45255650	45286285	ortholog_one2one	98.0769	98.0769	100	85.20	0.0081	0.4335	1
MGP_CAROLIEiJ_G0015597	10	74683220	74699574	ENSMMUG00000010984	19	1934572	1961771	ortholog_one2one	91.7051	90.0452	100	96.49	0.0323	5.0373	1
MGP_CAROLIEiJ_G0015471	10	70602590	70608771												
MGP_CAROLIEiJ_G0024961	3	35439148	35479819	ENSMMUG00000020931	5	127296700	127353035	ortholog_one2one	94.3925	21.7672	100	7.64	0.0192	0.3318	0
MGP_CAROLIEiJ_G0030677	7	143290961	143300421	ENSMMUG00000002917	14	249882	257039	ortholog_one2one	73.1051	60.8961	100	100.00	0.1811	0.8962	1
MGP_CAROLIEiJ_G0028440	6	52347801	52348821												
MGP_CAROLIEiJ_G0024632	2	156024920	156026209	ENSMMUG00000013217	10	19339173	19339775	ortholog_one2one	51.7647	39.2857	100		0.5255	1.1429	0
MGP_CAROLIEiJ_G0015239	10	32582731	32610622	ENSMMUG00000008937	4	153951348	153982430	ortholog_one2one	91.3934	94.8936	75	0.03	0.0306	0.5983	1
MGP_CAROLIEiJ_G0022354	18	62435323	62489225												
MGP_CAROLIEiJ_G0032415	9	68982362	69241246	ENSMMUG00000004091	7	33387940	33761966	ortholog_one2one	95.6091	94.8034	50	38.16	0.021	0.3234	0
MGP_CAROLIEiJ_G0019443	14	58018251	58020386												
MGP_CAROLIEiJ_G0029962	7	89074921	89075942												
MGP_CAROLIEiJ_G0028457	6	59193833	59195966	ENSMMUG00000002367	5	92369991	92371055	ortholog_one2one	86.8946	86.1582	100	100.00	0.0645	0.6101	1
MGP_CAROLIEiJ_G0017902	12	75259645	75314777	ENSMMUG00000022407	7	131883382	131994963	ortholog_one2one	79.8762	85.4305	100	93.49	0.0807	0.3728	1
MGP_CAROLIEiJ_G0028087	6	2969533	2995866												
MGP_CAROLIEiJ_G0028725	6	108494560	108498545	ENSMMUG00000010628	2	56552480	56560328	ortholog_one2one	68.0233	69.6429	100		0.2003	0.642	1
MGP_CAROLIEiJ_G0022623	19	3646864	3649610	ENSMMUG00000048072	14	10281445	10286988	ortholog_one2one	97.8571	35.7702	75	100.00	0.0097	0.6266	0
MGP_CAROLIEiJ_G0028483	6	68168536	68182452	ENSMMUG00000041136	13	89452894	89455536	ortholog_one2one	73.4375	72.5869	100		0.144	0.3002	1
MGP_CAROLIEiJ_G0014081	1	35077980	35113016	ENSMMUG00000009244	13	97763134	97806286	ortholog_one2one	63.9405	63.8219	100	95.12	0.2602	0.8337	1
MGP_CAROLIEiJ_G0017417	11	111662692	111670989	ENSMMUG00000022123	16	69218960	69228195	ortholog_one2one	72.7619	73.8878	100	95.20	0.1505	0.7317	1
MGP_CAROLIEiJ_G0021753	17	52527626	52534475												
MGP_CAROLIEiJ_G0032335	9	60815017	60925455	ENSMMUG00000015455	7	43884295	44009269	ortholog_one2one	96.4706	94.47	50	57.01	0.0103	0.6059	0
MGP_CAROLIEiJ_G0019317	14	47184002	47185790	ENSMMUG00000010046	7	85722425	85725203	ortholog_one2one	90.5556	91.0615	100	100.00	0.0444	0.8308	1
MGP_CAROLIEiJ_G0031710	8	115868550	115880027	ENSMMUG00000005892	1	207200379	207220823	ortholog_one2one	80.8271	79.3358	100		0.108	0.8114	1
MGP_CAROLIEiJ_G0026474	4	116070556	116097880	ENSMMUG00000012031	1	35280921	35285889	ortholog_one2one	86.5906	95.1411	100	96.11	0.032	0.3399	1
MGP_CAROLIEiJ_G0018724	13	69277419	69291191												
MGP_CAROLIEiJ_G0031537	8	98571543	98689571	ENSMMUG00000048562	20	54225045	54382301	ortholog_one2one	95.2874	95.2874	50	87.90	0.0218	0.5234	1
MGP_CAROLIEiJ_G0027057	5	24871974	24966300	ENSMMUG00000014292	13	26723411	26745436	ortholog_one2one	60.691	92.4485	100	53.95	0.0403	0.7852	1
MGP_CAROLIEiJ_G0032915	X	2301433	2324334	ENSMMUG00000018335	X	48759403	48781584	ortholog_one2one	86.7924	93.6047	100		0.0335	0.552	1
MGP_CAROLIEiJ_G0022298	18	55422826	55442684	ENSMMUG00000037456	6	126742471	126764566	ortholog_one2one	95.2862	94.9664	100	80.64	0.0279	0.6629	1
MGP_CAROLIEiJ_G0023085	19	51784911	52094562												
MGP_CAROLIEiJ_G0016276	11	44546796	44548299	ENSMMUG00000018692	6	179317966	179319251	ortholog_one2one	55.7692	50.4348	100		0.3313	2.918	1
MGP_CAROLIEiJ_G0030278	7	110272648	110273758												
MGP_CAROLIEiJ_G0020808	16	52358230	52393146	ENSMMUG00000015062	2	22667316	22699007	ortholog_one2one	78.4543	77.4566	75		0.1334	0.5713	1
MGP_CAROLIEiJ_G0018272	13	16668494	16669958												
MGP_CAROLIEiJ_G0024678	2	156909617	156948171	ENSMMUG00000016553	10	18438845	18477548	ortholog_one2one	97.1905	97.619	100	100.00	0.012	0.557	1
MGP_CAROLIEiJ_G0018360	13	21031354	21050012	ENSMMUG00000008451	4	24620995	24642183	ortholog_one2one	91.3265	91.7949	100	85.23	0.0462	0.5257	1
MGP_CAROLIEiJ_G0028018	5	138740521	138805226												
MGP_CAROLIEiJ_G0020366	15	96815610	96865806												
MGP_CAROLIEiJ_G0029022	6	138286384	138462050	ENSMMUG00000016550	11	20006449	20259945	ortholog_one2one	78.2575	84.7069	50	8.43	0.0836	0.5708	0
MGP_CAROLIEiJ_G0014871	1	161676419	161684345	ENSMMUG00000002003	1	135769045	135775516	ortholog_one2one	79.0323	97.6096	100	99.49	0.0094	0.5068	1
MGP_CAROLIEiJ_G0026810	4	138993853	138995583												
MGP_CAROLIEiJ_G0014032	1	30916782	30926460	ENSMMUG00000000006	13	92226913	92233643	ortholog_one2one	67.3228	65.2672	50	14.04	0.1954	1.2825	0
MGP_CAROLIEiJ_G0029051	6	143647761	143655059												
MGP_CAROLIEiJ_G0023701	2	74340629	74378582	ENSMMUG00000014277	12	68957590	68998532	ortholog_one2one	80.6864	80.3018	100	98.74	0.1171	0.6518	1
MGP_CAROLIEiJ_G0015571	10	74214444	74231272	ENSMMUG00000003043	19	1153894	1176137	ortholog_one2one	56.4516	53.6212	100	17.84	0.3294	1.3569	1
MGP_CAROLIEiJ_G0019121	14	26712628	26803610	ENSMMUG00000011852	9	45351814	45400853	ortholog_one2many	97.9323	97.9323	100	99.14	0.0097	0.3905	1
MGP_CAROLIEiJ_G0019121	14	26712628	26803610	ENSMMUG00000031530	2	159585781	159587348	ortholog_one2many	65.2256	79.2237	0		0.1322	0.5013	0
MGP_CAROLIEiJ_G0021810	17	53802779	53828080	ENSMMUG00000008693	19	6864412	6905838	ortholog_one2one	77.6173	77.5707	100		0.132	0.9203	1
MGP_CAROLIEiJ_G0032931	X	4018891	4148251	ENSMMUG00000013491	X	38054854	38125359	ortholog_one2one	40.5014	42.042	100		0.5281	0.9701	0
MGP_CAROLIEiJ_G0033191	X	70600112	70614027	ENSMMUG00000005768	X	148096476	148109678	ortholog_one2one	86.5546	79.845	75	100.00	0.0591	0.4807	1
MGP_CAROLIEiJ_G0022736	19	9320241	9321312												
MGP_CAROLIEiJ_G0023094	19	53257649	53292583	ENSMMUG00000022514	9	110022226	110073128	ortholog_one2one	82.0065	83.7416	100	100.00	0.09	0.8419	1
MGP_CAROLIEiJ_G0015566	10	74125345	74132537												
MGP_CAROLIEiJ_G0026763	4	133075276	133081005												
MGP_CAROLIEiJ_G0014522	1	112213776	112290970	ENSMMUG00000039972	12	11922719	11962355	ortholog_one2one	82.5095	87.1486	100	84.30	0.0711	1.0777	1
MGP_CAROLIEiJ_G0025682	3	131899483	131904291												
MGP_CAROLIEiJ_G0024860	3	11040179	11090242	ENSMMUG00000037533	10	34408567	34435203	ortholog_one2many	21.547	44.8276	25		0.3448	0.7084	0
MGP_CAROLIEiJ_G0026178	4	88829664	88862869												
MGP_CAROLIEiJ_G0024578	2	149526921	149529316												
MGP_CAROLIEiJ_G0026890	4	145379863	145381610	ENSMMUG00000012393	1	949443	951096	ortholog_one2one	71.4286	68.9655	100		0.1826	0.7376	1
MGP_CAROLIEiJ_G0026920	4	146002804	146022041	ENSMMUG00000018699	1	181002	206769	ortholog_one2one	61	33.5165	100	98.37	0.2912	0.9772	0
MGP_CAROLIEiJ_G0031620	8	110671111	110725126	ENSMMUG00000020053	20	68757053	68822857	ortholog_one2one	96.0076	95.8254	100	73.56	0.0203	0.5359	1
MGP_CAROLIEiJ_G0031640	8	111814393	111829598	ENSMMUG00000006762	20	70549583	70571697	ortholog_one2one	93.7198	92.381	75	100.00	0.0295	0.7326	1
MGP_CAROLIEiJ_G0028617	6	83885926	83909051												
MGP_CAROLIEiJ_G0029695	7	47018530	47027112	ENSMMUG00000009787	19	44925680	44943655	ortholog_one2one	88.7195	90.6542	100		0.042	1.3161	1
MGP_CAROLIEiJ_G0016106	11	13128437	13156962	ENSMMUG00000046992	13	69356890	69389092	ortholog_one2one	67.4699	68.2927	100		0.2174	1.0857	1
MGP_CAROLIEiJ_G0015299	10	40912969	41001650	ENSMMUG00000014470	4	105181317	105295368	ortholog_one2one	78.2288	85.4839	75	76.51	0.0717	0.462	1
MGP_CAROLIEiJ_G0029554	7	30159212	30174034	ENSMMUG00000011294	19	31178365	31195948	ortholog_one2one	71.1636	73.5192	100		0.1181	0.9811	1
MGP_CAROLIEiJ_G0016619	11	64915420	64921817	ENSMMUG00000021177	16	7033496	7037812	ortholog_one2one	50.4854	18.1185	100		0.3118	1.5114	0
MGP_CAROLIEiJ_G0026442	4	113674427	113681757	ENSMMUG00000007311	X	83906321	83906630	ortholog_one2many	78.6408	86.1702	0		0.0734	0.1041	0
MGP_CAROLIEiJ_G0026442	4	113674427	113681757	ENSMMUG00000039765	1	38053134	38070981	ortholog_one2many	93.2039	87.2727	75		0.0445	0.151	1
MGP_CAROLIEiJ_G0026442	4	113674427	113681757	ENSMMUG00000040656	20	56479937	56480243	ortholog_one2many	75.7282	82.9787	0		0.0859	0.2061	0
MGP_CAROLIEiJ_G0015158	10	16399736	16414476	ENSMMUG00000003709	4	131044521	131067984	ortholog_one2one	63.0854	59.3264	75		0.2078	0.5425	1
MGP_CAROLIEiJ_G0021074	17	9061083	9081860	ENSMMUG00000029352	4	168888899	168914537	ortholog_one2many	16.6234	18.3908	100		1.4888	4.4507	0
MGP_CAROLIEiJ_G0019967	15	71630085	71640170												
MGP_CAROLIEiJ_G0023839	2	81979480	81980413												
MGP_CAROLIEiJ_G0015469	10	70515063	70561932	ENSMMUG00000022331	3	485664	537590	ortholog_one2one	76.7324	78.5603	100	100.00	0.1272	0.642	1
MGP_CAROLIEiJ_G0019792	15	48913938	48922008	ENSMMUG00000005631	8	118611935	118620213	ortholog_one2one	80.791	80.112	100	99.22	0.1004	0.6733	1
MGP_CAROLIEiJ_G0015966	10	121355595	121356628												
MGP_CAROLIEiJ_G0014116	1	40812856	40839097												
MGP_CAROLIEiJ_G0024326	2	124022444	124036455												
MGP_CAROLIEiJ_G0020185	15	85529382	85670621	ENSMMUG00000015857	11	37964328	38110234	ortholog_one2one	86.4662	86.4662	100	73.58	0.0751	0.6696	1
MGP_CAROLIEiJ_G0029402	7	26437511	26447297	ENSMMUG00000022024	19	36516124	36531461	ortholog_one2one	97.193	98.227	100	67.02	0.0062	0.7491	1
