Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Chimpanzee gene stable ID	Chimpanzee chromosome/scaffold name	Chimpanzee chromosome/scaffold start (bp)	Chimpanzee chromosome/scaffold end (bp)	Chimpanzee homology type	%id. target Chimpanzee gene identical to query gene	%id. query gene identical to target Chimpanzee gene	Chimpanzee Gene-order conservation score	Chimpanzee Whole-genome alignment coverage	dN with Chimpanzee	dS with Chimpanzee	Chimpanzee orthology confidence [0 low, 1 high]
ENSRNOG00000042286	13	109669680	109696918	ENSPTRG00000001966	1	191683195	191748361	ortholog_one2one	68.3274	68.3274	100	100.00	0.2057	0.6578	1
ENSRNOG00000003073	13	83531018	83571505	ENSPTRG00000001643	AACZ04039328.1	18	1346	ortholog_one2many	79.3561	94.5824	0		0.0268	0.5567	0
ENSRNOG00000003073	13	83531018	83571505	ENSPTRG00000047288	1	146342891	146393715	ortholog_one2many	91.4773	88.9503	100	100.00	0.0424	0.568	1
ENSRNOG00000021693	16	50049828	50107856	ENSPTRG00000049170	4	190453654	190518950	ortholog_one2one	56.962	58.0645	100	15.91	0.31	0.8521	1
ENSRNOG00000005151	6	7900972	7933796	ENSPTRG00000011877	2A	44763788	44799759	ortholog_one2one	89.4587	89.4587	100	100.00	0.0564	0.7221	1
ENSRNOG00000006703	4	77519028	77545589	ENSPTRG00000050853	KV420901.1	8557	45120	ortholog_one2many	90.5132	87.9154	50		0.0486	0.5213	0
ENSRNOG00000006703	4	77519028	77545589	ENSPTRG00000023917	7	153656040	153693529	ortholog_one2many	89.2691	81.883	100	100.00	0.0584	0.5556	1
ENSRNOG00000018567	3	121725859	121739173	ENSPTRG00000012368	2A	110754790	110773675	ortholog_one2one	91.0426	91.3108	100	88.33	0.0472	0.3784	1
ENSRNOG00000004356	13	85672014	85695421	ENSPTRG00000001614	1	143755901	143776885	ortholog_one2one	75.4777	75.7188	100	98.28	0.1561	0.5722	1
ENSRNOG00000025619	15	33759001	33766438	ENSPTRG00000006181	14	7309292	7317555	ortholog_one2one	87.2611	87.2611	100	100.00	0.0712	0.5032	1
ENSRNOG00000039601	16	15105839	15111585												
ENSRNOG00000003633	10	54246250	54253996	ENSPTRG00000008762	17	46738664	46750461	ortholog_one2one	87.1287	88	100	100.00	0.0627	0.7429	1
ENSRNOG00000015444	1	168028367	168029293	ENSPTRG00000003226	11	4622262	4623233	ortholog_one2one	80.5195	76.7802	75		0.1153	0.5251	1
ENSRNOG00000018767	17	70586394	70603267	ENSPTRG00000051854	15	15624325	15624743	ortholog_one2many	21.2346	80.3738	0		0.1196	0.5724	0
ENSRNOG00000018767	17	70586394	70603267	ENSPTRG00000002265	10	6261256	6306990	ortholog_one2many	98.5185	99.5012	75	96.38	0.0023	0.475	1
ENSRNOG00000027506	17	65497359	65503912	ENSPTRG00000002151	1	217030259	217039993	ortholog_one2one	60.367	60.8133	75	0.00	0.2784	0.7859	1
ENSRNOG00000019575	18	31094965	31098536	ENSPTRG00000017349	5	141675949	141683765	ortholog_one2one	82.7815	80.6452	100	100.00	0.1034	0.386	1
ENSRNOG00000030830	7	12192088	12198551	ENSPTRG00000010208	19	1544986	1557326	ortholog_one2one	67.9758	76.5306	100	50.00	0.133	1.946	1
ENSRNOG00000001959	11	37891156	37914983												
ENSRNOG00000000954	12	9693779	9727489												
ENSRNOG00000009450	8	63600663	63639654	ENSPTRG00000007258	15	54317628	54367066	ortholog_one2one	95.8376	78.4705	100	0.00	0.0202	0.6343	1
ENSRNOG00000008345	5	164811816	164844586	ENSPTRG00000000154	1	11281060	11317954	ortholog_one2one	94.5977	86.4496	100	100.00	0.0283	0.5693	1
ENSRNOG00000050876	3	75088126	75089064												
ENSRNOG00000012718	9	38396449	38451656	ENSPTRG00000018306	6	57814099	57891904	ortholog_one2one	77.5665	76.9811	100	99.36	0.1265	0.544	1
ENSRNOG00000047085	18	28012877	28017925	ENSPTRG00000017292	5	138885972	138891596	ortholog_one2one	98.2524	98.062	100	100.00	0.0085	0.1495	1
ENSRNOG00000028248	11	36512974	36533073	ENSPTRG00000013916	21	25902999	25925858	ortholog_one2one	56.3847	50.7463	75	66.10	0.3647	1.4071	1
ENSRNOG00000057153	11	64882288	64919579	ENSPTRG00000015258	3	122748211	122779459	ortholog_one2one	79.6053	79.6053	100	100.00	0.1239	0.5509	1
ENSRNOG00000001647	11	36075709	36092495	ENSPTRG00000013908	21	25310310	25325105	ortholog_one2one	91.9149	92.1109	100	62.90	0.0386	0.7448	1
ENSRNOG00000017330	1	190964507	190965115												
ENSRNOG00000017265	9	43358588	43454078	ENSPTRG00000012260	2A	96607592	96849053	ortholog_one2one	89.9669	86.6702	50	74.09	0.0537	0.4804	0
ENSRNOG00000009675	6	135746754	135830086	ENSPTRG00000006748	14	88220014	88364767	ortholog_one2one	83.5377	89.8305	100	100.00	0.0555	0.7882	1
ENSRNOG00000015850	5	166278187	166282831	ENSPTRG00000000125	1	9398759	9429463	ortholog_one2one	88.0597	88.0597	100	100.00	0.0607	0.7385	1
ENSRNOG00000028865	2	193132222	193136520	ENSPTRG00000030383	1	130815004	130816743	ortholog_one2one	51.3591	62.0035	100	0.00	0.2688	0.7079	1
ENSRNOG00000010008	16	716683	755990	ENSPTRG00000002664	10	79230382	79293576	ortholog_one2one	97.9137	97.9137	0	100.00	0.01	0.5509	1
ENSRNOG00000034107	7	118023628	118025287	ENSPTRG00000020721	8	147898031	147901674	ortholog_one2one	62.1622	60.262	25	0.00	0.299	0.6472	0
ENSRNOG00000024780	10	102199837	102210764	ENSPTRG00000009597	17	72706992	72723612	ortholog_one2one	48.7759	42.5287	100	100.00	0.436	0.7003	0
ENSRNOG00000013963	2	44289393	44314944	ENSPTRG00000016887	5	58639085	58678579	ortholog_one2one	77.8495	78.8671	100	98.00	0.1213	0.7324	1
ENSRNOG00000010807	7	74723179	74735650												
ENSRNOG00000028869	8	32431580	32431987												
ENSRNOG00000016631	19	56054212	56067581	ENSPTRG00000008487	16	81207637	81227691	ortholog_one2one	81.1166	80.456	100	93.79	0.1086	0.6716	1
ENSRNOG00000008519	8	102088505	102159828	ENSPTRG00000015492	3	147419520	147439830	ortholog_one2one	29.0016	42.5581	100	54.99	0.0201	0.2947	0
ENSRNOG00000024331	1	89060581	89068348	ENSPTRG00000010855	19	37600731	37613009	ortholog_one2one	76.3285	57.4545	100	100.00	0.1747	1.2184	1
ENSRNOG00000047768	8	117268337	117280517	ENSPTRG00000014912	3	50185049	50196674	ortholog_one2one	88.3398	88.4872	100	100.00	0.0646	0.5236	1
ENSRNOG00000015415	6	10533151	10568581	ENSPTRG00000049858	2B	17718348	17718969	ortholog_one2many	83.9024	91.4894	0		0.0517	0.3399	0
ENSRNOG00000015415	6	10533151	10568581	ENSPTRG00000050585	KV420797.1	8687	9442	ortholog_one2many	90.2439	76.7635	0		0.0242	0.2886	0
ENSRNOG00000015415	6	10533151	10568581	ENSPTRG00000044328	2A	47594055	47635523	ortholog_one2many	99.5122	99.5122	100	100.00	0.0023	0.2682	1
ENSRNOG00000029613	15	27407962	27408258												
ENSRNOG00000037217	2	198831546	198834925	ENSPTRG00000001207	1	111809716	111812594	ortholog_one2one	71.8213	63.9144	100	100.00	0.1692	0.401	1
ENSRNOG00000027232	18	30904498	30906924												
ENSRNOG00000038024	4	112357080	112357484	ENSPTRG00000044393	16	49415544	49422725	ortholog_one2many	70.1493	78.9916	0		0.1272	0.5885	0
ENSRNOG00000010804	7	140054592	140055527												
ENSRNOG00000024801	X	15453186	15461713	ENSPTRG00000021874	X	48995446	49003959	ortholog_one2one	84.949	85.6041	100	100.00	0.0497	0.4393	1
ENSRNOG00000011492	16	21399553	21402858												
ENSRNOG00000026527	1	220874717	220878059	ENSPTRG00000003894	11	65901173	65920927	ortholog_one2one	88.5856	88.3663	100	95.04	0.0621	0.725	1
ENSRNOG00000030736	2	198360301	198360678												
ENSRNOG00000028518	6	36876165	36876805	ENSPTRG00000011679	2A	18149528	18150109	ortholog_one2one	80.2139	77.7202	100	100.00	0.1059	0.7568	1
ENSRNOG00000015105	5	78334284	78356460	ENSPTRG00000021277	9	91309884	91331534	ortholog_one2one	69.1964	77.1144	100	100.00	0.1283	0.6495	1
ENSRNOG00000019212	1	170588035	170594168	ENSPTRG00000003299	11	6418347	6423877	ortholog_one2one	88.0995	88.0995	100	100.00	0.0657	0.4593	1
ENSRNOG00000031555	X	24059516	24061857												
ENSRNOG00000020939	1	227136154	227149748	ENSPTRG00000003718	11	60546195	60562189	ortholog_one2one	65.3386	65.6	50	0.00	0.2505	0.5989	0
ENSRNOG00000001430	12	23587222	23592774												
ENSRNOG00000002208	14	16622760	16903242	ENSPTRG00000016190	4	53724532	54068680	ortholog_one2one	67.992	69.4602	100	100.00	0.1792	0.705	1
ENSRNOG00000000693	12	48292273	48351084	ENSPTRG00000005416	12	111901143	112015674	ortholog_one2one	94.3431	93.4901	100	93.82	0.0266	0.6716	1
ENSRNOG00000060066	KL567939.1	74712	78732	ENSPTRG00000039535	7	26320261	26322626	ortholog_many2many	96.5665	96.5665	50		0.0142	0.3254	0
ENSRNOG00000060066	KL567939.1	74712	78732	ENSPTRG00000049275	KV420913.1	213796	216161	ortholog_many2many	96.9957	96.9957	25		0.0124	0.3271	0
ENSRNOG00000054513	14	86652365	86661441	ENSPTRG00000019150	7	44236720	44256843	ortholog_many2many	91.5217	91.5217	50	75.43	0.0433	0.447	1
ENSRNOG00000054513	14	86652365	86661441	ENSPTRG00000045405	KV420891.1	93552	114121	ortholog_many2many	91.5217	91.5217	50	100.00	0.0433	0.447	1
ENSRNOG00000020182	1	198420806	198450047	ENSPTRG00000007971	16	28800816	28828618	ortholog_one2one	90.0115	87.794	100	100.00	0.0485	0.6723	1
ENSRNOG00000049674	19	28263095	28266488												
ENSRNOG00000011762	15	61826711	61868343	ENSPTRG00000005811	13	25774735	25859037	ortholog_one2one	87.1545	86.5913	50	100.00	0.0687	0.447	1
ENSRNOG00000028130	4	71588974	71589933	ENSPTRG00000032460	7	147911786	147912757	ortholog_one2many	63.9498	63.1579	100	100.00	0.2271	0.6849	1
ENSRNOG00000028130	4	71588974	71589933	ENSPTRG00000046948	KV420904.1	347096	348067	ortholog_one2many	63.9498	63.1579	75		0.2271	0.6849	1
ENSRNOG00000045816	10	42614713	42760200	ENSPTRG00000017441	5	153725832	154053185	ortholog_one2one	92.7798	84.1703	100	78.54	0.0508	0.649	1
ENSRNOG00000050468	1	175586209	175586802												
ENSRNOG00000021657	10	46142801	46145548	ENSPTRG00000008825	17	40420971	40426322	ortholog_one2one	81.5315	71.8254	75	100.00	0.1019	1.3048	1
ENSRNOG00000039543	15	27973491	27975471												
ENSRNOG00000057043	11	43486904	43487827	ENSPTRG00000039436	3	100795030	100796063	ortholog_many2many	67.101	66.4516	50		0.2114	0.7774	0
ENSRNOG00000057043	11	43486904	43487827	ENSPTRG00000040605	3	100774166	100960521	ortholog_many2many	68.4039	67.3077	50		0.2162	0.8679	0
ENSRNOG00000024707	5	171355876	171415354	ENSPTRG00000000062	1	2806851	2888845	ortholog_one2one	83.1871	89.4654	100	95.91	0.0543	0.9854	1
ENSRNOG00000011634	15	46784963	47173335	ENSPTRG00000048764	8	10274219	10585416	ortholog_one2one	93.0818	92.3557	100	34.62	0.0321	0.2725	1
ENSRNOG00000011222	12	47074200	47076572	ENSPTRG00000005536	12	123737783	123740208	ortholog_one2one	100	100	75		0	0	1
ENSRNOG00000028919	16	21518873	21524286												
ENSRNOG00000050105	1	81643816	81650094												
ENSRNOG00000027343	6	2886764	2895118	ENSPTRG00000045161	2A	39546657	39548103	ortholog_one2one	52.8146	75.0588	100	100.00	0.1573	0.6311	1
ENSRNOG00000057389	9	100076958	100078788	ENSPTRG00000051613	2B	131732827	131733599	ortholog_one2one	76.0736	70.4545	100		0.123	1.2315	1
ENSRNOG00000032009	2	178117466	178231479	ENSPTRG00000016556	4	162789150	162930922	ortholog_one2one	18.7629	48.9247	75	56.74	0.4482	1.2857	0
ENSRNOG00000052383	KL568472.1	9356	10892												
ENSRNOG00000026941	4	83967696	83972540	ENSPTRG00000043675	7	28126101	28128536	ortholog_one2one	88.1628	88.1628	100	100.00	0.0547	0.8884	1
ENSRNOG00000010846	X	15742978	15754925	ENSPTRG00000021889	X	49406145	49421243	ortholog_one2one	87.8788	87.8788	75	100.00	0.0643	0.5585	1
ENSRNOG00000046516	8	20993743	20994660	ENSPTRG00000048915	19	9710573	9711536	ortholog_one2many	61.4379	68.3636	75		0.178	0.6282	1
ENSRNOG00000026503	1	164849974	164914499	ENSPTRG00000004071	11	74841218	74953265	ortholog_one2one	72.0457	71.5909	100	100.00	0.178	0.5392	1
ENSRNOG00000057338	5	137873745	137874692												
ENSRNOG00000006139	14	77402953	77492910	ENSPTRG00000015870	17	27030985	27032064	ortholog_one2many	77.8443	87.2483	0		0.0622	0.5513	0
ENSRNOG00000006139	14	77402953	77492910	ENSPTRG00000047154	4	4827261	4971721	ortholog_one2many	90.1198	89.5833	75	100.00	0.0587	0.6275	1
ENSRNOG00000039305	X	17250687	17252877												
ENSRNOG00000045945	9	8898896	8899144	ENSPTRG00000021516	18	36524183	36524434	ortholog_many2many	72.2892	72.2892	0	0.00	0.1983	0.0914	0
ENSRNOG00000045945	9	8898896	8899144	ENSPTRG00000044802	4	115867915	115868226	ortholog_many2many	71.0843	57.2816	0		0.2083	0.0553	0
ENSRNOG00000045945	9	8898896	8899144	ENSPTRG00000043448	15	28301836	28303560	ortholog_many2many	72.2892	74.0741	0		0.1765	0.0538	0
ENSRNOG00000024499	17	25228437	25439938												
ENSRNOG00000050553	6	42585934	42630983	ENSPTRG00000011652	2A	10878703	10943241	ortholog_one2one	90.9774	83.0664	100	99.47	0.0546	0.5803	1
ENSRNOG00000004505	7	11152038	11177664	ENSPTRG00000010261	19	3470567	3628002	ortholog_one2one	94.0774	77.1963	100	87.20	0.0268	0.9741	1
ENSRNOG00000056144	1	150209396	150210403	ENSPTRG00000030071	1	227336991	227337932	ortholog_one2many	45.0746	48.2428	25		0.4282	2.3885	0
ENSRNOG00000019019	15	34251606	34253073	ENSPTRG00000006193	14	7809537	7812115	ortholog_one2one	95.5479	95.5479	100	100.00	0.0244	0.6092	1
ENSRNOG00000013579	5	59911431	59913348	ENSPTRG00000050553	5	127388250	127389631	ortholog_one2many	77.3218	85.8513	0		0.077	0.3333	0
ENSRNOG00000013579	5	59911431	59913348	ENSPTRG00000042775	2B	25857225	25858613	ortholog_one2many	79.6976	88.2775	0		0.0579	0.3076	0
ENSRNOG00000006353	3	81276028	81282157	ENSPTRG00000050910	11	46121937	46128056	ortholog_one2one	84.4928	80.8599	100	88.33	0.083	0.6522	1
ENSRNOG00000050514	2	210115784	210116038	ENSPTRG00000045461	KV421313.1	127308	133098	ortholog_many2many	80.9524	80.9524	0		0.1217	0.6925	0
ENSRNOG00000050514	2	210115784	210116038	ENSPTRG00000028890	19	56461707	56467497	ortholog_many2many	80.9524	80.9524	0	0.00	0.1217	0.6925	0
ENSRNOG00000013855	5	145105997	145123861	ENSPTRG00000000516	1	34411034	34438801	ortholog_one2one	63.6181	54.0102	100	98.56	0.2334	0.7038	1
ENSRNOG00000046227	5	171456302	171459488	ENSPTRG00000000063	1	2775339	2780462	ortholog_one2one	92.4812	90.4412	100	98.79	0.0378	0.7748	1
ENSRNOG00000018047	8	128610291	128622337	ENSPTRG00000014766	3	39876205	39887971	ortholog_one2one	79.1111	80.9091	100	100.00	0.1081	0.5527	1
ENSRNOG00000054828	3	19772056	19772382												
ENSRNOG00000060665	14	79919717	79988110	ENSPTRG00000015897	4	8255182	8368169	ortholog_one2one	89.3817	81.6953	100	63.11	0.056	0.9917	1
ENSRNOG00000014230	3	113251778	113272186	ENSPTRG00000006995	15	24097912	24118568	ortholog_one2one	80.9887	80.2696	100	100.00	0.1115	0.4812	1
ENSRNOG00000032132	X	37026408	37026872												
ENSRNOG00000001592	11	27130172	27141881	ENSPTRG00000048063	21	15457529	15474844	ortholog_one2one	96.1679	96.1679	100		0.0189	0.5254	1
ENSRNOG00000025938	20	50486809	50564987	ENSPTRG00000018453	6	108376022	108518486	ortholog_one2one	77.8598	81.7829	100	92.22	0.0875	0.4867	1
ENSRNOG00000001928	11	77463954	77593207	ENSPTRG00000015740	3	194743662	194888728	ortholog_one2one	89.0511	88.7918	100	100.00	0.0608	0.563	1
ENSRNOG00000046260	10	109911922	109913879												
ENSRNOG00000008680	8	63067300	63092009	ENSPTRG00000007264	15	54923627	54949321	ortholog_one2one	85.3618	89.948	100	0.00	0.0487	0.827	1
ENSRNOG00000031899	1	72183354	72184265												
ENSRNOG00000033372	11	84615760	84633504	ENSPTRG00000015669	3	187603623	187649431	ortholog_one2one	99.1653	99	50	59.56	0.0038	0.4414	0
ENSRNOG00000049797	9	101307764	101319845	ENSPTRG00000051175	2B	133064538	133074011	ortholog_one2many	60.6272	60.4167	25		0.287	0.849	0
ENSRNOG00000049482	15	30018481	30019055	ENSPTRG00000047741	14	5825425	5825727	ortholog_one2many	49.6552	72	25		0.2125	0.4851	0
ENSRNOG00000007359	3	48626038	48661317	ENSPTRG00000012583	2B	52402779	52448353	ortholog_one2one	79.5455	80.6452	100	100.00	0.1108	0.5827	1
ENSRNOG00000048837	9	105246120	105282292												
ENSRNOG00000032558	10	78416946	78417317	ENSPTRG00000046220	KV420913.1	337889	338268	ortholog_many2many	64.2276	65.8333	0		0.1923	1.7625	0
ENSRNOG00000032558	10	78416946	78417317	ENSPTRG00000052529	7	26444383	26444762	ortholog_many2many	64.2276	65.8333	0		0.1923	1.7625	0
ENSRNOG00000004588	7	129749714	129787093	ENSPTRG00000014522	22	36753656	36757171	ortholog_one2one	82.152	82.152	100	100.00	0.0972	0.9271	1
ENSRNOG00000050654	3	74411668	74412633	ENSPTRG00000047047	11	55773369	55774307	ortholog_many2many	70.405	72.4359	50		0.1838	0.6821	0
ENSRNOG00000050654	3	74411668	74412633	ENSPTRG00000052210	11	55793995	55794933	ortholog_many2many	71.6511	73.7179	50		0.1726	0.7571	0
ENSRNOG00000048275	1	213577122	213580542												
ENSRNOG00000022890	5	122766879	122828398	ENSPTRG00000030574	1	67092082	67126281	ortholog_one2one	35.3741	39	50	99.29	0.523	0.6778	0
ENSRNOG00000029479	10	76280933	76281283												
ENSRNOG00000029773	8	58015940	58120045	ENSPTRG00000004250	11	108523080	108684102	ortholog_one2one	83.6815	83.9005	100	76.81	0.0906	0.5429	1
ENSRNOG00000004649	3	121876263	121882726	ENSPTRG00000012372	2A	110944596	110952514	ortholog_one2one	67.1642	66.9145	50	0.00	0.2405	0.5816	0
ENSRNOG00000052232	2	210988869	210991509	ENSPTRG00000001052	1	109996622	110004979	ortholog_one2one	84.2795	76.8924	100	100.00	0.0987	0.3509	1
ENSRNOG00000050521	9	14513037	14514416	ENSPTRG00000018143	6	41512892	41514735	ortholog_one2one	70.3704	67.0588	100	0.00	0.2029	0.7259	1
ENSRNOG00000037124	3	118268739	118427851	ENSPTRG00000007055	15	29914437	30207038	ortholog_one2one	53.0541	60.198	75	81.45	0.2708	0.7075	1
ENSRNOG00000045918	17	20184245	20364714	ENSPTRG00000017743	6	15400792	15681102	ortholog_one2one	92.7877	91.8941	50	64.97	0.0345	0.3914	0
ENSRNOG00000014834	17	57304933	57394985	ENSPTRG00000002410	10	33297766	33407867	ortholog_one2one	93.832	85.5263	0	85.97	0.0309	0.3927	1
ENSRNOG00000003357	9	52023295	52059217	ENSPTRG00000012728	2B	79516935	79555218	ortholog_one2one	90.5673	90.382	75	100.00	0.0585	0.4504	1
ENSRNOG00000020460	1	220744195	220746224	ENSPTRG00000050685	1	153217817	153218089	ortholog_one2many	69.6629	80.5195	0		0.0911	0.2442	0
ENSRNOG00000020460	1	220744195	220746224	ENSPTRG00000003907	2B	121817105	121817374	ortholog_one2many	93.2584	93.2584	0		0.0276	0.2924	0
ENSRNOG00000020460	1	220744195	220746224	ENSPTRG00000045262	11	66097000	66099070	ortholog_one2many	96.6292	96.6292	100		0.0161	0.3079	1
ENSRNOG00000046741	6	30098380	30187337	ENSPTRG00000011713	2A	24665781	24784983	ortholog_one2one	91.4918	93.2304	50	100.00	0.0314	0.4334	1
ENSRNOG00000013225	9	23503236	23527496	ENSPTRG00000018262	6	50230322	50293071	ortholog_one2one	67.4897	59.2058	0		0.198	0.7509	0
ENSRNOG00000032310	1	129227595	129228068	ENSPTRG00000046562	7	44283663	44311257	ortholog_one2one	69.7368	64.2424	0		0.1945	0.354	0
ENSRNOG00000019592	9	97183214	97290639	ENSPTRG00000013070	2B	127427819	127622793	ortholog_one2one	69.2488	71.0843	100	100.00	0.1996	1.1684	1
ENSRNOG00000011745	1	183733567	183744586	ENSPTRG00000003385	11	14370481	14506686	ortholog_one2one	97.3384	95.1673	25	87.51	0.0124	0.4499	1
ENSRNOG00000001271	2	54810110	54824033	ENSPTRG00000016823	5	73382308	73401027	ortholog_one2one	53.5524	58.1485	75	100.00	0.2966	0.6119	1
ENSRNOG00000020821	1	88750462	88765220	ENSPTRG00000010880	19	37956022	37986124	ortholog_one2many	98.5375	98.5375	100	100.00	0.0068	0.5154	1
ENSRNOG00000021274	3	125566643	125607735	ENSPTRG00000044305	20	5945622	5994379	ortholog_one2one	88.6263	88.6263	100	5.66	0.0614	0.5926	1
ENSRNOG00000014187	1	128924966	129206516	ENSPTRG00000007489	15	79651129	79959024	ortholog_one2one	94.2941	94.5015	25	99.77	0.0303	0.6329	1
ENSRNOG00000016100	7	144503534	144503839	ENSPTRG00000049061	1	13811247	13811737	ortholog_one2many	75.4902	76.2376	0		0.122	1.2356	0
ENSRNOG00000003210	10	45939178	45940137												
ENSRNOG00000004438	7	133400485	133586677	ENSPTRG00000004834	12	49047113	49222799	ortholog_one2one	93.9275	93.2879	100	98.96	0.0341	0.7726	1
