Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gorilla gene stable ID	Gorilla chromosome/scaffold name	Gorilla chromosome/scaffold start (bp)	Gorilla chromosome/scaffold end (bp)	Gorilla homology type	%id. target Gorilla gene identical to query gene	%id. query gene identical to target Gorilla gene	Gorilla Gene-order conservation score	Gorilla Whole-genome alignment coverage	dN with Gorilla	dS with Gorilla	Gorilla orthology confidence [0 low, 1 high]
MGP_CAROLIEiJ_G0019798	15	49469509	49678739	ENSGGOG00000004015	8	121387844	121691451	ortholog_one2one	89.6552	89.755	100	97.24	0.0545	0.517	1
MGP_CAROLIEiJ_G0029143	7	1696978	1709633												
MGP_CAROLIEiJ_G0018253	13	14932753	14957897												
MGP_CAROLIEiJ_G0028743	6	109393641	109428107	ENSGGOG00000000382	3	11264900	11292597	ortholog_one2one	97.9967	97.9967	100	85.82	0.0093	0.8019	1
MGP_CAROLIEiJ_G0030036	7	102535218	102597235	ENSGGOG00000014505	11	73952001	74061777	ortholog_one2one	72.2646	71.7172	75	96.75	0.1721	0.4895	1
MGP_CAROLIEiJ_G0021718	17	44974847	44984915	ENSGGOG00000007534	6	42046519	42065223	ortholog_one2one	36.4035	33.3333	100		0.7065	0.85	0
MGP_CAROLIEiJ_G0022258	18	43727538	43736889	ENSGGOG00000041345	5	98987597	99000960	ortholog_one2many	89.3617	69.6133	50		0.0519	0.6049	0
MGP_CAROLIEiJ_G0022258	18	43727538	43736889	ENSGGOG00000016888	5	9979512	9983473	ortholog_one2many	75.8865	70.8609	0		0.0803	0.6148	0
MGP_CAROLIEiJ_G0030557	7	132540342	132581376	ENSGGOG00000010663	10	137035177	137050438	ortholog_one2one	62.4672	72.561	100		0.1935	0.5948	1
MGP_CAROLIEiJ_G0016585	11	64418614	64421572	ENSGGOG00000011530	17	7579400	7582766	ortholog_one2one	82.9167	79.6	100	100.00	0.0985	0.499	1
MGP_CAROLIEiJ_G0025953	4	37816584	37818035	ENSGGOG00000036981	9	13581026	13581373	ortholog_one2one	54.1284	51.3043	100	100.00	0.387	1.1901	1
MGP_CAROLIEiJ_G0024060	2	104328989	104329927												
MGP_CAROLIEiJ_G0031909	9	18492742	18899258	ENSGGOG00000008112	7	33385009	33918862	ortholog_one2one	77.7778	14.2052	100	53.40	0.1571	0.9157	0
MGP_CAROLIEiJ_G0019833	15	56006532	56011549	ENSGGOG00000012135	8	129150874	129156244	ortholog_one2one	90.7489	90.7489	75	43.28	0.0433	0.676	1
MGP_CAROLIEiJ_G0020012	15	73347718	73359115	ENSGGOG00000021932	22	21772341	21773366	ortholog_one2one	84.6154	80.4878	100		0.0485	0.8132	1
MGP_CAROLIEiJ_G0015559	10	73978450	73997375	ENSGGOG00000011229	19	825808	849626	ortholog_one2one	76.2806	77.5328	100		0.1392	1.1986	1
MGP_CAROLIEiJ_G0032748	9	106198078	106200404	ENSGGOG00000042124	3	47555294	47569418	ortholog_one2one	69.7917	75.2809	75		0.0668	1.1956	1
MGP_CAROLIEiJ_G0031328	8	76419182	76419577												
MGP_CAROLIEiJ_G0016045	11	1905187	1915828	ENSGGOG00000012228	22	12850693	12856466	ortholog_one2one	87.1681	86.7841	75	100.00	0.0687	0.7492	1
MGP_CAROLIEiJ_G0018461	13	36954503	36955335												
MGP_CAROLIEiJ_G0017054	11	93138361	93174209	ENSGGOG00000010961	5	45129667	45170171	ortholog_one2one	56.5744	80.344	100		0.159	0.5074	1
MGP_CAROLIEiJ_G0030669	7	143143585	143144869	ENSGGOG00000044147	CABD030170070.1	53	720	ortholog_one2one	58.209	72.8972	25		0.186	0.8895	0
MGP_CAROLIEiJ_G0014403	1	81562368	81643107	ENSGGOG00000013506	2B	128391562	128415294	ortholog_one2one	92.2037	92.108	100	100.00	0.0372	0.8986	1
MGP_CAROLIEiJ_G0015303	10	45955257	46041925	ENSGGOG00000017108	6	102460571	102542745	ortholog_one2one	95.817	95.5671	50	92.75	0.0234	0.5685	1
MGP_CAROLIEiJ_G0031685	8	114420621	114435926	ENSGGOG00000010960	16	81013960	81030406	ortholog_one2one	79.6417	79.6417	100	94.05	0.112	0.7656	1
MGP_CAROLIEiJ_G0016259	11	43886286	43939884												
MGP_CAROLIEiJ_G0028055	5	143168365	143190691	ENSGGOG00000015313	13	12769565	12795547	ortholog_one2one	93.3566	93.3566	100	100.00	0.0354	0.6801	1
MGP_CAROLIEiJ_G0020137	15	80129207	80171844	ENSGGOG00000003731	22	30342471	30404920	ortholog_one2one	67.0433	72.8016	100	100.00	0.1781	1.0927	1
MGP_CAROLIEiJ_G0029911	7	83459382	83469791	ENSGGOG00000014625	15	63290642	63301925	ortholog_one2one	79.0795	50.8064	75	48.52	0.1254	0.3999	1
MGP_CAROLIEiJ_G0018945	14	1518907	1540952	ENSGGOG00000015452	3	59654843	59718253	ortholog_one2one	90.9722	74.8571	100	50.00	0.0404	1.23	1
MGP_CAROLIEiJ_G0028068	6	21391	62101	ENSGGOG00000002483	7	84918323	84956307	ortholog_one2one	85.5292	81.6495	50	100.00	0.0844	0.4602	1
MGP_CAROLIEiJ_G0028075	6	983823	1020458	ENSGGOG00000006024	7	83726937	83762321	ortholog_one2one	89.7959	90.1903	100	76.43	0.0616	0.3815	1
MGP_CAROLIEiJ_G0026630	4	124525533	124557051	ENSGGOG00000017174	1	25348461	25391629	ortholog_one2many	49.2823	50.2439	25		0.4207	1.0923	0
MGP_CAROLIEiJ_G0026630	4	124525533	124557051	ENSGGOG00000039842	1	25442482	25493008	ortholog_one2many	34.689	43.6747	25		0.5226	1.1414	0
MGP_CAROLIEiJ_G0031486	8	96691836	96758731	ENSGGOG00000012981	16	58574471	58575713	ortholog_one2one	79.3893	78.7879	100		0.121	0.4726	1
MGP_CAROLIEiJ_G0018440	13	33507728	33553321	ENSGGOG00000013213	6	7623658	7668973	ortholog_one2one	94.4502	94.9442	100	94.46	0.0233	0.7024	1
MGP_CAROLIEiJ_G0029345	7	23940251	23944430	ENSGGOG00000016818	19	42643096	42657712	ortholog_one2one	53.2	49.8127	50	27.59	0.3519	0.9765	0
MGP_CAROLIEiJ_G0018346	13	19763416	19763805												
MGP_CAROLIEiJ_G0029482	7	28530537	28544343	ENSGGOG00000005852	19	37718317	37738613	ortholog_one2one	98.4925	98.4925	100	2.07	0.0064	0.3854	1
MGP_CAROLIEiJ_G0021439	17	30361345	30368150	ENSGGOG00000009823	6	33853445	33860536	ortholog_one2one	96.3947	94.5996	100	100.00	0.0172	0.3142	1
MGP_CAROLIEiJ_G0013949	1	7082427	7385938	ENSGGOG00000025407	8	47189756	47471391	ortholog_one2one	93.8048	93.3375	100	89.11	0.03	0.6377	1
MGP_CAROLIEiJ_G0025314	3	88656015	88670157	ENSGGOG00000021973	1	130737194	130751984	ortholog_one2many	92.4949	98.4881	100		0.0049	0.2762	1
MGP_CAROLIEiJ_G0025314	3	88656015	88670157	ENSGGOG00000023049	1	130724941	130729695	ortholog_one2many	77.2819	98.4496	25		0.0059	0.2788	0
MGP_CAROLIEiJ_G0020589	16	17878471	17883109	ENSGGOG00000002912	3	187455253	187482321	ortholog_one2one	83.3333	100	50	100.00	0	0	1
MGP_CAROLIEiJ_G0024019	2	97072795	97106301	ENSGGOG00000010997	11	34191157	34235420	ortholog_one2one	86.9873	97.1564	100	27.50	0.0125	0.3445	1
MGP_CAROLIEiJ_G0022819	19	19300245	20137321	ENSGGOG00000016086	9	52152830	53189059	ortholog_one2one	97.0947	97.6622	100	57.16	0.0106	0.4246	1
MGP_CAROLIEiJ_G0023051	19	43783555	43817294	ENSGGOG00000011652	10	118110574	118116695	ortholog_one2one	91.9505	91.9505	100	100.00	0.0423	0.9175	1
MGP_CAROLIEiJ_G0023610	2	62001429	62080557	ENSGGOG00000037600	2B	59210617	59573366	ortholog_one2one	62.959	67.1268	100	98.06	0.1667	0.6374	1
MGP_CAROLIEiJ_G0028756	6	110832084	110874503	ENSGGOG00000028438	3	12992852	13018514	ortholog_one2one	45.7364	75.9657	75		0.125	0.6781	0
MGP_CAROLIEiJ_G0019002	14	13702409	13799287	ENSGGOG00000011101	10	35640549	35761205	ortholog_one2one	99.2495	93.2981	100	99.40	0.0031	0.3856	1
MGP_CAROLIEiJ_G0015333	10	52878078	52981921	ENSGGOG00000037791	2A	14982834	14990863	ortholog_one2many	26.5152	89.7436	0		0.0579	0.5647	0
MGP_CAROLIEiJ_G0015333	10	52878078	52981921	ENSGGOG00000039755	2A	15442697	15450720	ortholog_one2many	26.5152	89.7436	0		0.0579	0.5674	0
MGP_CAROLIEiJ_G0015333	10	52878078	52981921	ENSGGOG00000012512	2A	13639855	13702139	ortholog_one2many	49.2424	63.7255	25		0.2422	1.4014	0
MGP_CAROLIEiJ_G0025222	3	82761036	82819042	ENSGGOG00000016753	1	133301221	133351841	ortholog_one2one	93.705	93.6208	75	47.80	0.0301	0.232	1
MGP_CAROLIEiJ_G0027913	5	131021860	131028127	ENSGGOG00000006843	7	77898618	77901129	ortholog_one2many	18.4801	79.8507	75		0.1538	0.42	0
MGP_CAROLIEiJ_G0015623	10	75181946	75183160												
MGP_CAROLIEiJ_G0031234	8	66955877	66965868	ENSGGOG00000000861	22	19154375	19167130	ortholog_one2one	95.1128	95.1128	50		0.024	2.0026	0
MGP_CAROLIEiJ_G0023149	2	1851962	1896668	ENSGGOG00000014718	10	13335653	13395279	ortholog_one2one	76.1986	77.123	100	30.54	0.1312	0.7726	1
MGP_CAROLIEiJ_G0024720	2	160196493	160218090	ENSGGOG00000000844	20	49910877	49930521	ortholog_one2one	92.8016	92.9825	100	63.98	0.0292	1.818	1
MGP_CAROLIEiJ_G0021325	17	24431030	24439313	ENSGGOG00000012128	6	36449774	36467307	ortholog_one2one	98.1735	98.1735	100		0.0077	0.8643	1
MGP_CAROLIEiJ_G0015434	10	68994723	69044833	ENSGGOG00000016405	22	6417219	6469523	ortholog_one2one	98.3099	98.3099	75	93.16	0.0068	0.8365	1
MGP_CAROLIEiJ_G0014837	1	160448717	160470872	ENSGGOG00000002032	1	141419030	141445085	ortholog_one2one	99.0909	78.043	75		0.0042	0.3109	1
MGP_CAROLIEiJ_G0025936	4	37571601	37573233	ENSGGOG00000042116	CABD030168792.1	38890	40542	ortholog_one2one	76.1111	69.898	50	75.33	0.1343	0.4665	1
MGP_CAROLIEiJ_G0033170	X	69031721	69090754	ENSGGOG00000042467	X	154370762	154444963	ortholog_one2one	94.6108	95.1807	100	11.26	0.0252	0.3625	1
MGP_CAROLIEiJ_G0020003	15	73072345	73091445	ENSGGOG00000027682	22	21450574	21490952	ortholog_one2one	99.6454	92.5865	100		0.0015	0.9562	1
MGP_CAROLIEiJ_G0031133	8	62358402	62375060	ENSGGOG00000009730	19	19007762	19032493	ortholog_one2many	71.9198	68.2065	100		0.1702	1.0309	1
MGP_CAROLIEiJ_G0015533	10	73647208	73654429	ENSGGOG00000003252	19	285693	297142	ortholog_one2one	83.4984	87.2414	100	100.00	0.0695	2.4931	1
MGP_CAROLIEiJ_G0025126	3	78984943	79575672	ENSGGOG00000014034	4	162650940	163382911	ortholog_one2one	90.5046	90.22	25	49.83	0.0523	0.431	0
MGP_CAROLIEiJ_G0026770	4	134195967	134214425	ENSGGOG00000013621	1	12513171	12528178	ortholog_one2one	73.9796	74.7423	75		0.1607	0.6375	1
MGP_CAROLIEiJ_G0016953	11	84247322	84267720	ENSGGOG00000011793	5	26470304	26497070	ortholog_one2one	72.126	72.6984	50	86.48	0.1696	0.9816	1
MGP_CAROLIEiJ_G0032788	9	113915752	113995845	ENSGGOG00000023859	3	37907595	38031470	ortholog_one2one	71.2908	69.193	50	96.36	0.1996	0.9862	1
MGP_CAROLIEiJ_G0019778	15	41786311	42983212	ENSGGOG00000006309	8	113415567	114645765	ortholog_one2one	97.5014	95.7917	100	100.00	0.0116	0.4408	1
MGP_CAROLIEiJ_G0030602	7	137702181	137852211	ENSGGOG00000004177	10	142829294	142917470	ortholog_one2one	93.133	93	75	83.98	0.0329	0.7266	1
MGP_CAROLIEiJ_G0023471	2	30758708	30776955												
MGP_CAROLIEiJ_G0018021	12	94817343	94827713												
MGP_CAROLIEiJ_G0020379	15	97247862	97267023	ENSGGOG00000016063	12	31686596	31704134	ortholog_one2one	79.2746	91.6168	100		0.0449	0.333	1
MGP_CAROLIEiJ_G0021652	17	42355501	42382700	ENSGGOG00000003071	6	44960845	44989990	ortholog_one2one	98.3173	98.3173	100	88.13	0.0077	0.4345	1
MGP_CAROLIEiJ_G0015597	10	74683220	74699574	ENSGGOG00000011201	19	1835700	1871797	ortholog_one2one	91.2442	85.3448	100	82.90	0.0443	44.3295	1
MGP_CAROLIEiJ_G0015471	10	70602590	70608771	ENSGGOG00000012943	21	37348727	37370420	ortholog_one2one	84.5029	85	100	9.58	0.0748	1.6372	1
MGP_CAROLIEiJ_G0024961	3	35439148	35479819	ENSGGOG00000011012	4	139992825	140047970	ortholog_one2one	94.3925	24.3961	100	4.74	0.0192	0.3122	0
MGP_CAROLIEiJ_G0030677	7	143290961	143300421	ENSGGOG00000026709	11	206125	209984	ortholog_one2one	73.1051	60.0402	100	100.00	0.1869	1.0479	1
MGP_CAROLIEiJ_G0028440	6	52347801	52348821	ENSGGOG00000002427	1	227321178	227322251	ortholog_one2many	26.3699	21.5686	25		0.7516	1.2744	0
MGP_CAROLIEiJ_G0024632	2	156024920	156026209	ENSGGOG00000023468	20	43953077	43953679	ortholog_one2one	51.7647	40	100		0.5226	1.2762	0
MGP_CAROLIEiJ_G0015239	10	32582731	32610622	ENSGGOG00000005428	6	116213480	116248157	ortholog_one2one	99.5902	99.5902	100	100.00	0.0018	0.4467	1
MGP_CAROLIEiJ_G0022354	18	62435323	62489225												
MGP_CAROLIEiJ_G0032415	9	68982362	69241246	ENSGGOG00000008166	15	35282791	35650307	ortholog_one2one	95.1841	95.1841	100	61.33	0.0232	0.3319	1
MGP_CAROLIEiJ_G0019443	14	58018251	58020386												
MGP_CAROLIEiJ_G0029962	7	89074921	89075942												
MGP_CAROLIEiJ_G0028457	6	59193833	59195966	ENSGGOG00000001096	4	105046490	105047554	ortholog_one2one	88.3191	87.5706	75	100.00	0.057	0.5765	1
MGP_CAROLIEiJ_G0017902	12	75259645	75314777	ENSGGOG00000000300	14	53201558	53258618	ortholog_one2one	82.9721	88.4488	100	92.05	0.0554	0.352	1
MGP_CAROLIEiJ_G0028087	6	2969533	2995866												
MGP_CAROLIEiJ_G0028725	6	108494560	108498545	ENSGGOG00000013120	3	10113523	10119711	ortholog_one2one	72.6744	71.2251	100	100.00	0.1829	0.6143	1
MGP_CAROLIEiJ_G0022623	19	3646864	3649610	ENSGGOG00000012201	11	63415058	63417530	ortholog_one2one	97.1429	95.7747	75		0.0127	0.5765	1
MGP_CAROLIEiJ_G0028483	6	68168536	68182452	ENSGGOG00000011851	2A	19095171	19095950	ortholog_one2one	73.0469	72.2008	100	4.33	0.1509	0.3136	1
MGP_CAROLIEiJ_G0014081	1	35077980	35113016	ENSGGOG00000012879	2A	7347067	7389647	ortholog_one2one	62.8253	62.4769	100	96.24	0.2664	0.838	1
MGP_CAROLIEiJ_G0017417	11	111662692	111670989	ENSGGOG00000009417	5	7520174	7528254	ortholog_one2one	76.9524	79.5276	100		0.1235	0.6435	1
MGP_CAROLIEiJ_G0021753	17	52527626	52534475												
MGP_CAROLIEiJ_G0032335	9	60815017	60925455	ENSGGOG00000043207	CABD030167406.1	8060	34752	ortholog_one2one	83.7647	100	0	57.94	0	0	0
MGP_CAROLIEiJ_G0019317	14	47184002	47185790	ENSGGOG00000041622	14	21087063	21088232	ortholog_one2one	91.6667	84.8329	75		0.0386	0.816	1
MGP_CAROLIEiJ_G0031710	8	115868550	115880027	ENSGGOG00000028598	1	210687392	210708961	ortholog_one2one	80.0752	78.5978	100		0.1112	0.8434	1
MGP_CAROLIEiJ_G0026474	4	116070556	116097880	ENSGGOG00000003772	1	36419478	36439470	ortholog_one2one	93.7233	93.4566	100	100.00	0.0375	0.3581	1
MGP_CAROLIEiJ_G0018724	13	69277419	69291191												
MGP_CAROLIEiJ_G0031537	8	98571543	98689571	ENSGGOG00000004167	16	60790878	60971567	ortholog_one2one	95.6322	95.6322	50	87.57	0.0203	0.5197	1
MGP_CAROLIEiJ_G0027057	5	24871974	24966300	ENSGGOG00000000008	2A	80853579	80954944	ortholog_one2one	94.7421	94.7421	100	100.00	0.0241	0.7234	1
MGP_CAROLIEiJ_G0032915	X	2301433	2324334	ENSGGOG00000039233	X	49149130	49173143	ortholog_one2one	81.1321	90.6627	100		0.0553	0.616	1
MGP_CAROLIEiJ_G0022298	18	55422826	55442684	ENSGGOG00000012773	5	112421061	112440481	ortholog_one2one	94.6128	94.2953	100	100.00	0.0294	0.6455	1
MGP_CAROLIEiJ_G0023085	19	51784911	52094562	ENSGGOG00000037713	10	127367108	127735156	ortholog_one2one	95.3917	95.3917	100	99.42	0.0211	0.4537	1
MGP_CAROLIEiJ_G0016276	11	44546796	44548299	ENSGGOG00000009375	5	164657890	164663773	ortholog_one2one	55.7692	53.211	100		0.3815	1.6236	1
MGP_CAROLIEiJ_G0030278	7	110272648	110273758												
MGP_CAROLIEiJ_G0020808	16	52358230	52393146	ENSGGOG00000025229	3	102991787	103040654	ortholog_one2one	77.6347	76.7361	50		0.1365	0.5733	0
MGP_CAROLIEiJ_G0018272	13	16668494	16669958	ENSGGOG00000000690	6	28865449	28866657	ortholog_one2one	67.4242	66.4179	100		0.1907	0.7661	1
MGP_CAROLIEiJ_G0024678	2	156909617	156948171	ENSGGOG00000013584	20	44897084	44928176	ortholog_one2one	94.9956	93.3563	100	24.47	0.0288	0.6055	1
MGP_CAROLIEiJ_G0018360	13	21031354	21050012	ENSGGOG00000023987	6	24767259	24788482	ortholog_one2one	91.3265	91.7949	100	100.00	0.0435	0.5717	1
MGP_CAROLIEiJ_G0028018	5	138740521	138805226												
MGP_CAROLIEiJ_G0020366	15	96815610	96865806	ENSGGOG00000001629	12	32134365	32136677	ortholog_one2one	99.0991	99.0991	0	100.00	0.004	0.0526	1
MGP_CAROLIEiJ_G0029022	6	138286384	138462050	ENSGGOG00000003917	12	19004118	19271218	ortholog_one2one	82.2606	85.4116	50	53.48	0.0804	0.5622	0
MGP_CAROLIEiJ_G0014871	1	161676419	161684345	ENSGGOG00000003935	1	140072645	140079333	ortholog_one2one	97.7419	97.7419	100	99.49	0.0092	0.4043	1
MGP_CAROLIEiJ_G0026810	4	138993853	138995583												
MGP_CAROLIEiJ_G0014032	1	30916782	30926460	ENSGGOG00000017067	2A	1606110	1615259	ortholog_one2one	69.685	67.5573	50	14.33	0.1831	1.2142	0
MGP_CAROLIEiJ_G0029051	6	143647761	143655059	ENSGGOG00000015498	12	58886267	58889015	ortholog_one2one	66.0976	64.6778	50	100.00	0.162	0.6837	1
MGP_CAROLIEiJ_G0023701	2	74340629	74378582	ENSGGOG00000002179	2B	74489676	74534727	ortholog_one2one	80.2075	79.8253	100	98.79	0.1213	0.6513	1
MGP_CAROLIEiJ_G0015571	10	74214444	74231272	ENSGGOG00000002798	19	1156106	1178212	ortholog_one2one	56.5982	53.022	100	99.12	0.323	1.4137	1
MGP_CAROLIEiJ_G0019121	14	26712628	26803610	ENSGGOG00000003720	10	101104571	101190945	ortholog_one2one	97.7444	97.7444	100	98.96	0.0106	0.393	1
MGP_CAROLIEiJ_G0021810	17	53802779	53828080	ENSGGOG00000013159	19	6476769	6519408	ortholog_one2one	77.6173	77.5707	100		0.1295	0.926	1
MGP_CAROLIEiJ_G0032931	X	4018891	4148251	ENSGGOG00000023793	X	38707328	38785828	ortholog_one2one	40.9836	38.6364	100		0.6028	1.1391	0
MGP_CAROLIEiJ_G0033191	X	70600112	70614027	ENSGGOG00000001045	X	155077787	155091725	ortholog_one2one	88.4454	81.9066	50		0.0464	0.4337	0
MGP_CAROLIEiJ_G0022736	19	9320241	9321312												
MGP_CAROLIEiJ_G0023094	19	53257649	53292583	ENSGGOG00000008337	10	129056768	129107084	ortholog_one2one	81.5703	83.2962	100	100.00	0.0896	0.818	1
MGP_CAROLIEiJ_G0015566	10	74125345	74132537	ENSGGOG00000002334	19	1037529	1040981	ortholog_one2one	87.5	87.5	100		0.0696	1.9872	1
MGP_CAROLIEiJ_G0026763	4	133075276	133081005												
MGP_CAROLIEiJ_G0014522	1	112213776	112290970	ENSGGOG00000012147	2B	8035720	8077661	ortholog_one2one	82.1293	86.747	100	65.80	0.0733	1.001	1
MGP_CAROLIEiJ_G0025682	3	131899483	131904291												
MGP_CAROLIEiJ_G0024860	3	11040179	11090242												
MGP_CAROLIEiJ_G0026178	4	88829664	88862869												
MGP_CAROLIEiJ_G0024578	2	149526921	149529316												
MGP_CAROLIEiJ_G0026890	4	145379863	145381610	ENSGGOG00000010765	1	1589832	1590800	ortholog_one2one	55.6122	56.1856	100		0.317	0.8228	1
MGP_CAROLIEiJ_G0026920	4	146002804	146022041	ENSGGOG00000014169	1	720217	755856	ortholog_one2one	73	38.4211	100	83.19	0.1634	0.7841	0
MGP_CAROLIEiJ_G0031620	8	110671111	110725126	ENSGGOG00000010784	16	75280347	75329777	ortholog_one2one	95.8175	95.8175	75	81.97	0.0212	0.506	1
MGP_CAROLIEiJ_G0031640	8	111814393	111829598	ENSGGOG00000016978	16	77040910	77061957	ortholog_one2one	93.7198	92.381	100	100.00	0.03	0.8701	1
MGP_CAROLIEiJ_G0028617	6	83885926	83909051	ENSGGOG00000027408	3	131004878	131038894	ortholog_one2one	91.4286	90.566	50		0.0415	0.8581	0
MGP_CAROLIEiJ_G0029695	7	47018530	47027112	ENSGGOG00000008781	19	48825344	48841337	ortholog_one2one	92.3781	82.1138	100		0.0354	1.0186	1
MGP_CAROLIEiJ_G0016106	11	13128437	13156962	ENSGGOG00000022874	2A	38592252	38629192	ortholog_one2one	67.4699	68.2927	75		0.2177	1.0997	1
